#x_m,y_m,z_m,kappa
72.980000,209.980000,-23.940000,0.000497
77.947099,210.551593,-23.939095,0.000437
82.914198,211.123187,-23.938190,0.000391
87.881316,211.694676,-23.939534,0.000354
92.849626,212.255846,-23.932206,0.000324
97.818719,212.810241,-23.914410,0.000296
102.787690,213.365720,-23.896613,0.000265
107.756380,213.923775,-23.896757,0.000232
112.724832,214.483888,-23.906261,0.000196
117.693177,215.044934,-23.916893,0.000159
122.661555,215.605684,-23.927770,0.000124
127.629384,216.171214,-23.937576,0.000092
132.597267,216.736426,-23.944264,0.000065
137.565510,217.298904,-23.942564,0.000043
142.533989,217.859277,-23.940863,0.000025
147.501957,218.423894,-23.950549,0.000012
152.469548,218.991351,-23.972640,0.000002
157.437077,219.559359,-23.994654,-0.000005
162.404258,220.130480,-24.015235,-0.000010
167.371671,220.700011,-24.025938,-0.000013
172.339904,221.262263,-24.030324,-0.000014
177.308682,221.819679,-24.023759,-0.000013
182.277888,222.372809,-23.999188,-0.000011
187.246970,222.926976,-23.971439,-0.000007
192.215405,223.486816,-23.950631,-0.000003
197.183817,224.046918,-23.936051,0.000001
202.151691,224.611958,-23.935472,0.000005
207.120100,225.172268,-23.946130,0.000008
212.088804,225.730146,-23.944266,0.000010
217.057447,226.288584,-23.947347,0.000011
222.025970,226.848156,-23.941733,0.000010
226.994349,227.409082,-23.933373,0.000009
231.961818,227.978219,-23.931321,0.000006
236.929030,228.549638,-23.929869,0.000003
241.896449,229.119133,-23.929488,0.000000
246.864842,229.679588,-23.936892,-0.000003
251.833235,230.240043,-23.944295,-0.000005
256.801683,230.800348,-23.955465,-0.000007
261.770165,231.360629,-23.963587,-0.000009
266.738086,231.925834,-23.966956,-0.000010
271.705960,232.491446,-23.970325,-0.000012
276.674524,233.051109,-23.974070,-0.000014
281.643132,233.610339,-23.982310,-0.000018
286.611681,234.170099,-23.990119,-0.000024
291.580370,234.728574,-23.993708,-0.000032
296.548587,235.291136,-23.992251,-0.000044
301.517035,235.851735,-23.985525,-0.000057
306.485669,236.410427,-23.971636,-0.000070
311.454122,236.970851,-23.961969,-0.000080
316.422089,237.535455,-23.949042,-0.000080
321.389740,238.102782,-23.935253,-0.000064
326.357450,238.669425,-23.916637,-0.000021
331.325288,239.234563,-23.887093,0.000061
336.294005,239.789397,-23.860296,0.000196
341.265547,240.315423,-23.837329,0.000398
346.237947,240.833799,-23.812563,0.000683
351.211617,241.341187,-23.792752,0.001066
356.185091,241.852782,-23.768496,0.001561
361.162309,242.325718,-23.759999,0.002179
366.141584,242.776522,-23.755605,0.002927
371.113934,243.260386,-23.738812,0.003808
376.078012,243.804460,-23.709972,0.004821
381.035279,244.416543,-23.671251,0.005955
385.988435,245.069321,-23.633289,0.007195
390.910916,245.834602,-23.584609,0.008514
395.725481,246.911780,-23.554928,0.009878
400.499955,248.201188,-23.514323,0.011245
405.230932,249.687926,-23.469721,0.012564
409.903194,251.300976,-23.426154,0.013780
414.258904,253.448026,-23.380961,0.014835
418.425518,256.046382,-23.337464,0.015676
422.380288,258.872614,-23.298875,0.016257
425.881725,262.258820,-23.271334,0.016546
429.073842,265.906683,-23.258872,0.016528
431.688571,270.038198,-23.217406,0.016209
