#x_m,y_m,z_m,kappa
-132.660000,-120.900000,8.380000,-0.000004
-136.281234,-117.452425,8.354293,-0.000010
-139.902467,-114.004850,8.328586,-0.000016
-143.523701,-110.557276,8.302878,-0.000022
-147.145590,-107.110382,8.278308,-0.000025
-150.768574,-103.664700,8.248057,-0.000028
-154.393744,-100.221383,8.214962,-0.000028
-158.015971,-96.774934,8.187116,-0.000025
-161.638144,-93.328373,8.165105,-0.000021
-165.260026,-89.881436,8.148317,-0.000015
-168.879607,-86.432149,8.122270,-0.000008
-172.498646,-82.982331,8.089399,-0.000001
-176.116833,-79.531630,8.054466,0.000006
-179.738107,-76.084181,8.017655,0.000011
-183.361114,-72.638525,7.983384,0.000016
-186.983863,-69.192546,7.954547,0.000018
-190.606494,-65.746419,7.928861,0.000018
-194.231395,-62.302647,7.909079,0.000017
-197.856295,-58.858875,7.889297,0.000014
-201.482853,-55.416876,7.864710,0.000010
-205.110762,-51.976326,7.835970,0.000006
-208.737823,-48.534883,7.807151,0.000003
-212.365734,-45.094319,7.780507,0.000000
-215.992486,-41.652513,7.758856,-0.000001
-219.619562,-38.211069,7.734979,-0.000001
-223.245755,-34.768680,7.715166,0.000002
-226.866941,-31.321024,7.696220,0.000006
-230.484637,-27.869676,7.679522,0.000011
-234.104506,-24.420609,7.663719,0.000016
-237.725192,-20.972402,7.647860,0.000020
-241.350654,-17.529216,7.630041,0.000024
-244.976116,-14.086030,7.612223,0.000026
-248.602130,-10.643428,7.593818,0.000025
-252.230825,-7.203684,7.571410,0.000023
-255.859520,-3.763940,7.549003,0.000020
-259.488160,-0.324123,7.531847,0.000015
-263.122427,3.109804,7.530230,0.000011
-266.757495,6.542891,7.530477,0.000007
-270.393642,9.974842,7.533338,0.000003
-274.025809,13.410972,7.541332,-0.000003
-277.651112,16.854326,7.553763,-0.000011
-281.270277,20.304136,7.567720,-0.000026
-284.888349,23.755099,7.581677,-0.000052
-288.508701,27.203690,7.590339,-0.000093
-292.133702,30.647398,7.595816,-0.000155
-295.764337,34.085123,7.605553,-0.000244
-299.395836,37.521935,7.615291,-0.000365
-303.033211,40.952515,7.624601,-0.000526
-306.684334,44.368426,7.645386,-0.000730
-310.335567,47.784215,7.666989,-0.000982
-313.973005,51.214311,7.690806,-0.001288
-317.606288,54.648496,7.732865,-0.001650
-321.205682,58.117497,7.773218,-0.002073
-324.780151,61.610905,7.817886,-0.002560
-328.354096,65.104857,7.862739,-0.003114
-331.872838,68.650166,7.897844,-0.003735
-335.357477,72.229110,7.935973,-0.004422
-338.738791,75.889404,7.974770,-0.005173
-342.031117,79.631270,7.996230,-0.005978
-345.278313,83.414312,8.016959,-0.006822
-348.433377,87.276358,8.036541,-0.007686
-351.364733,91.256457,8.057941,-0.008540
-354.162220,95.341494,8.068402,-0.009350
-356.825457,99.515690,8.069972,-0.010075
-359.110901,103.855707,8.063307,-0.010670
-361.161570,108.296068,8.047524,-0.011093
-362.841907,112.863443,8.034289,-0.011305
-364.307037,117.521754,8.047133,-0.011276
-365.254722,122.298905,8.060369,-0.010990
-365.930472,127.155554,8.090202,-0.010443
-366.136441,132.097207,8.125375,-0.009651
-365.933114,137.046802,8.161829,-0.008641
-365.430736,141.988885,8.207511,-0.007452
-364.635363,146.916224,8.250429,-0.006133
-363.719809,151.824423,8.262472,-0.004731
-362.708450,156.717264,8.251162,-0.003298
-361.725668,161.614958,8.248061,-0.001875
-360.699098,166.499650,8.229819,-0.000502
-359.766103,171.399393,8.213780,0.000793
-358.888565,176.301311,8.212219,0.001989
-358.174075,181.212234,8.214007,0.003073
-357.519978,186.136932,8.218743,0.004036
-356.941855,191.076011,8.225216,0.004878
-356.406914,196.022635,8.232148,0.005599
-356.173789,200.989071,8.256047,0.006206
-356.212266,205.954604,8.292364,0.006705
-356.441826,210.925256,8.312314,0.007105
-356.671385,215.895908,8.332265,0.007416
-357.398324,220.807700,8.351923,0.007646
-358.371663,225.688313,8.371053,0.007805
-359.345002,230.568926,8.390184,0.007901
-360.462931,235.418547,8.414147,0.007939
-361.982054,240.135990,8.443671,0.007924
