#x_m,y_m,z_m,kappa
109.100000,-121.120000,721.480000,-0.000002
104.272043,-122.420191,721.473763,-0.000004
99.443708,-123.718923,721.463250,-0.000005
94.615206,-125.017015,721.450860,-0.000005
89.788014,-126.320038,721.442264,-0.000005
84.960734,-127.622717,721.430470,-0.000004
80.133558,-128.925812,721.420417,-0.000002
75.305897,-130.227117,721.410364,0.000000
70.477692,-131.526462,721.406224,0.000003
65.649552,-132.826052,721.402360,0.000005
60.821952,-134.127640,721.400000,0.000007
55.994994,-135.431589,721.400000,0.000009
51.168276,-136.736422,721.400000,0.000010
46.342328,-138.044119,721.400000,0.000010
41.515166,-139.347351,721.400000,0.000011
36.687312,-140.648025,721.400000,0.000010
31.860659,-141.953145,721.402535,0.000010
27.034271,-143.259243,721.405627,0.000009
22.208248,-144.566683,721.409242,0.000008
17.381667,-145.872036,721.416035,0.000007
12.554909,-147.176740,721.422828,0.000006
7.728144,-148.481418,721.429621,0.000004
2.901402,-149.786166,721.433447,0.000003
-1.925197,-151.091427,721.431815,0.000001
-6.751567,-152.397405,721.437699,-0.000001
-11.577608,-153.704523,721.448069,-0.000003
-16.403656,-155.011432,721.473132,-0.000006
-21.229819,-156.317844,721.504725,-0.000008
-26.055582,-157.625612,721.543902,-0.000010
-30.881513,-158.932450,721.590875,-0.000011
-35.707502,-160.239062,721.638172,-0.000012
-40.533938,-161.543947,721.687857,-0.000011
-45.361044,-162.846251,721.741111,-0.000010
-50.188240,-164.147665,721.805841,-0.000007
-55.015138,-165.449532,721.883424,-0.000003
-59.841847,-166.751973,721.963103,0.000003
-64.669294,-168.051237,722.049982,0.000010
-69.496367,-169.351723,722.139487,0.000019
-74.323311,-170.652691,722.228900,0.000029
-79.148665,-171.957780,722.337943,0.000041
-83.973983,-173.261751,722.461819,0.000054
-88.799146,-174.564813,722.601054,0.000069
-93.624170,-175.867416,722.749504,0.000083
-98.448961,-177.170570,722.900460,0.000097
-103.273550,-178.474113,723.054247,0.000109
-108.098129,-179.777677,723.208187,0.000118
-112.922571,-181.081946,723.360407,0.000123
-117.742225,-182.401670,723.529550,0.000124
-122.560524,-183.725257,723.705806,0.000120
-127.374496,-185.061936,723.893630,0.000111
-132.186969,-186.403070,724.095385,0.000098
-136.998502,-187.746356,724.304494,0.000081
-141.809286,-189.091297,724.520541,0.000062
-146.617449,-190.441130,724.762355,0.000041
-151.426109,-191.786359,725.019584,0.000019
-156.236672,-193.125225,725.275027,-0.000002
-161.047199,-194.463263,725.535298,-0.000023
-165.857680,-195.797680,725.813698,-0.000044
-170.667691,-197.131436,726.102693,-0.000065
-175.475452,-198.472726,726.392616,-0.000088
-180.283722,-199.811083,726.688106,-0.000114
-185.093694,-201.139650,727.002179,-0.000146
-189.902626,-202.469314,727.327586,-0.000185
-194.710611,-203.800525,727.660860,-0.000236
-199.518897,-205.130489,727.994672,-0.000304
-204.329020,-206.452569,728.332938,-0.000394
-209.141724,-207.762999,728.679978,-0.000515
-213.954807,-209.071972,729.027335,-0.000676
-218.768465,-210.376496,729.383326,-0.000887
-223.582714,-211.677962,729.742586,-0.001159
-228.399628,-212.966114,730.112131,-0.001504
-233.218802,-214.240384,730.498961,-0.001933
-238.041654,-215.498500,730.891209,-0.002455
-242.867922,-216.739789,731.293530,-0.003076
-247.697565,-217.966579,731.694503,-0.003801
-252.541278,-219.129187,732.109119,-0.004626
-257.391459,-220.267728,732.519105,-0.005546
-262.254959,-221.322389,732.933448,-0.006548
-267.155221,-222.160188,733.343115,-0.007612
-272.072302,-222.848161,733.752690,-0.008714
-276.997352,-223.477151,734.170165,-0.009822
-281.930341,-223.689816,734.593666,-0.010901
-286.881750,-223.698309,735.015915,-0.011909
-291.790424,-223.362996,735.461587,-0.012805
-296.655386,-222.592305,735.912914,-0.013543
-301.473167,-221.495646,736.361700,-0.014082
-306.156726,-220.029661,736.814275,-0.014385
-310.673414,-218.177830,737.193975,-0.014423
-314.877254,-215.672629,737.513786,-0.014179
-318.860051,-212.742240,737.751872,-0.013651
-322.726148,-209.689311,737.975653,-0.012852
-326.357863,-206.389725,738.184730,-0.011811
-329.479829,-202.573859,738.374410,-0.010573
-332.303291,-198.501414,738.562284,-0.009194
-334.842594,-194.201916,738.760873,-0.007737
-337.325742,-189.871078,738.946167,-0.006269
-339.797670,-185.533821,739.128575,-0.004854
-342.210408,-181.161463,739.303658,-0.003547
-344.578744,-176.761622,739.469363,-0.002392
-347.051033,-172.421628,739.596964,-0.001421
-349.588283,-168.118882,739.699491,-0.000648
-352.202007,-163.861923,739.793817,-0.000073
-354.895162,-159.654617,739.892111,0.000316
-357.684817,-155.506839,739.966177,0.000542
-360.476580,-151.360235,740.022584,0.000635
-363.289239,-147.227232,740.072702,0.000628
-366.110660,-143.099767,740.113255,0.000553
-368.923460,-138.966552,740.152831,0.000439
-371.744455,-134.838821,740.169194,0.000310
-374.551095,-130.701015,740.191582,0.000186
-377.350628,-126.558380,740.214108,0.000077
-380.141945,-122.410208,740.241897,-0.000009
-382.927269,-118.258063,740.255561,-0.000070
-385.696966,-114.095550,740.258072,-0.000107
-388.455273,-109.925482,740.249052,-0.000124
-391.209334,-105.752470,740.224792,-0.000125
-393.965617,-101.580882,740.201847,-0.000116
-396.716920,-97.406097,740.172507,-0.000101
-399.469431,-93.232129,740.139580,-0.000084
-402.222891,-89.058948,740.088255,-0.000067
-404.978446,-84.887238,740.029161,-0.000053
-407.735829,-80.716715,739.971294,-0.000042
-410.498411,-76.549567,739.917069,-0.000035
-413.261005,-72.382427,739.862897,-0.000030
-416.023911,-68.215452,739.813043,-0.000028
-418.783316,-64.046110,739.768150,-0.000027
-421.538745,-59.874141,739.723063,-0.000026
-424.290865,-55.699979,739.679562,-0.000026
-427.035734,-51.520980,739.645680,-0.000027
-429.779026,-47.340923,739.614973,-0.000027
-432.535297,-43.169384,739.600000,-0.000029
-435.290905,-38.997291,739.600000,-0.000034
-438.044069,-34.823569,739.600000,-0.000041
-440.794563,-30.648083,739.600318,-0.000052
-443.543961,-26.471878,739.604192,-0.000069
-446.297505,-22.298423,739.611895,-0.000091
-449.051049,-18.124968,739.619598,-0.000120
-451.804594,-13.951513,739.627300,-0.000155
-454.559796,-9.779161,739.639136,-0.000197
-457.305514,-5.600777,739.671343,-0.000247
-460.050636,-1.422076,739.711925,-0.000303
-462.796542,2.756058,739.758654,-0.000366
-465.534469,6.939223,739.821277,-0.000434
-468.263091,11.128369,739.886972,-0.000508
-470.978364,15.326062,739.960389,-0.000585
-473.690936,19.525471,740.036431,-0.000665
-476.395382,23.730123,740.114440,-0.000745
-479.084037,27.944691,740.195849,-0.000823
-481.724656,32.189037,740.291652,-0.000897
-484.358177,36.437849,740.388997,-0.000963
-486.991698,40.686662,740.486342,-0.001019
-489.604452,44.948305,740.583874,-0.001063
-492.173158,49.236143,740.680920,-0.001092
-494.689720,53.554485,740.796040,-0.001106
-497.205996,57.872986,740.911857,-0.001104
-499.710319,62.198152,741.029684,-0.001087
-502.117869,66.578197,741.148860,-0.001055
-504.501871,70.971477,741.269334,-0.001012
-506.885874,75.364757,741.389808,-0.000959
-509.264170,79.761031,741.509652,-0.000900
-511.635510,84.160954,741.628727,-0.000835
-513.976910,88.576611,741.750668,-0.000769
-516.283796,93.010591,741.874744,-0.000703
-518.576383,97.452207,742.000866,-0.000639
-520.862025,101.897496,742.122988,-0.000578
-523.144820,106.344338,742.241284,-0.000521
-525.418516,110.795756,742.361182,-0.000469
-527.673239,115.256662,742.486428,-0.000423
-529.910805,119.726125,742.616375,-0.000384
-532.151388,124.194219,742.740724,-0.000352
-534.391972,128.662314,742.865073,-0.000327
-536.630176,133.131596,742.989896,-0.000310
-538.859868,137.605260,743.110956,-0.000299
-541.086491,142.080629,743.224649,-0.000294
-543.310615,146.557272,743.336599,-0.000292
-545.533746,151.034390,743.449244,-0.000293
-547.747437,155.516077,743.565441,-0.000294
-549.951782,160.002403,743.681074,-0.000294
-552.151570,164.490937,743.797779,-0.000292
-554.342854,168.983476,743.917809,-0.000286
-556.512808,173.486314,744.038993,-0.000276
-558.667383,177.996529,744.161999,-0.000263
-560.817669,182.508812,744.285890,-0.000247
-562.967955,187.021095,744.409781,-0.000228
-565.125306,191.530071,744.524953,-0.000206
-567.274286,196.042957,744.648809,-0.000182
-569.415636,200.559462,744.773376,-0.000155
-571.555240,205.076808,744.897542,-0.000125
-573.694807,209.594167,745.021889,-0.000090
-575.828920,214.113720,745.159922,-0.000050
-577.959239,218.634612,745.311653,-0.000003
-580.082226,223.158477,745.476463,0.000053
-582.201335,227.683887,745.648391,0.000118
-584.317816,232.210320,745.825612,0.000194
-586.435228,236.735983,746.011014,0.000281
-588.559681,241.258033,746.203557,0.000380
-590.695505,245.774182,746.408011,0.000491
-592.831696,250.290104,746.613784,0.000613
-594.970493,254.804737,746.819846,0.000743
-597.130487,259.308777,747.033225,0.000880
-599.309894,263.802712,747.262699,0.001020
-601.494879,268.293794,747.495390,0.001158
-603.713412,272.767298,747.739704,0.001290
-605.975225,277.216928,748.022676,0.001414
-608.238043,281.666010,748.306672,0.001524
-610.516990,286.106234,748.601375,0.001619
-612.883069,290.497036,748.902663,0.001700
-615.330904,294.842102,749.210763,0.001766
-617.838692,299.153701,749.524461,0.001820
-620.388503,303.442088,749.848841,0.001866
-622.944596,307.726301,750.174950,0.001907
-625.522420,311.996130,750.506722,0.001947
-628.127450,316.249219,750.838311,0.001988
-630.752734,320.489899,751.171880,0.002034
-633.479418,324.665379,751.529167,0.002083
-636.207207,328.840096,751.887012,0.002136
-638.978808,332.983352,752.263367,0.002189
-641.776152,337.108046,752.643951,0.002239
-644.672600,341.161862,753.048948,0.002281
-647.619244,345.177051,753.463450,0.002311
-650.623407,349.147967,753.890520,0.002322
-653.627569,353.118884,754.317591,0.002311
-656.643487,357.080518,754.748012,0.002274
-659.729359,360.984475,755.192912,0.002210
-662.920461,364.801683,755.657176,0.002118
-666.158391,368.578500,756.131768,0.002002
-669.479154,372.281531,756.617478,0.001866
-672.826341,375.961187,757.110119,0.001715
-676.195567,379.621328,757.608439,0.001556
-679.585496,383.262226,758.107396,0.001397
-682.979689,386.896914,758.621271,0.001245
-686.386251,390.520068,759.134490,0.001104
-689.803650,394.133943,759.641554,0.000981
-693.229300,397.740621,760.144306,0.000876
-696.679395,401.325311,760.637301,0.000791
-700.140404,404.898656,761.135530,0.000724
-703.601414,408.472000,761.633759,0.000673
-707.080088,412.024880,762.154451,0.000633
-710.565346,415.570307,762.682158,0.000601
