#x_m,y_m,z_m,kappa
129.360000,-49.660000,-24.460000,-0.000016
133.975012,-47.736127,-24.450929,0.000010
138.590025,-45.812254,-24.441858,0.000034
143.205037,-43.888382,-24.432787,0.000056
147.820050,-41.964509,-24.423716,0.000074
152.434500,-40.039306,-24.413470,0.000086
157.048254,-38.112452,-24.401768,0.000092
161.659557,-36.179719,-24.388610,0.000090
166.268702,-34.241806,-24.377039,0.000081
170.877721,-32.303593,-24.365468,0.000066
175.486539,-30.364901,-24.353896,0.000047
180.095358,-28.426210,-24.342325,0.000026
184.702532,-26.483629,-24.330009,0.000006
189.310278,-24.542444,-24.319132,-0.000010
193.918622,-22.602687,-24.308967,-0.000021
198.528373,-20.666273,-24.301251,-0.000026
203.140969,-18.736559,-24.300000,-0.000024
207.754284,-16.808542,-24.300000,-0.000014
212.370232,-14.886853,-24.300000,0.000003
216.987538,-12.968424,-24.301510,0.000024
221.604903,-11.050142,-24.305417,0.000049
226.221991,-9.131195,-24.310982,0.000074
230.839241,-7.212641,-24.318552,0.000094
235.456504,-5.294129,-24.328588,0.000107
240.072271,-3.372067,-24.343359,0.000107
244.688037,-1.450006,-24.358129,0.000091
249.300363,0.480150,-24.371218,0.000058
253.903948,2.430728,-24.380971,0.000006
258.495705,4.408986,-24.386676,-0.000062
263.081894,6.400302,-24.392996,-0.000141
267.668852,8.389877,-24.406504,-0.000221
272.256297,10.378319,-24.421525,-0.000290
276.847635,12.357752,-24.436131,-0.000332
281.445160,14.322851,-24.451144,-0.000327
286.041124,16.291568,-24.466755,-0.000255
290.653878,18.217883,-24.489538,-0.000094
295.292049,20.080505,-24.518458,0.000177
299.930740,21.941966,-24.545099,0.000577
304.590660,23.748880,-24.564330,0.001119
309.268305,25.508045,-24.578588,0.001815
313.978894,27.180223,-24.584862,0.002666
318.669440,28.907956,-24.601884,0.003671
323.350099,30.663160,-24.623984,0.004818
328.003880,32.488152,-24.652238,0.006092
332.626580,34.380614,-24.667949,0.007469
337.182011,36.401375,-24.667759,0.008918
341.638218,38.621528,-24.634584,0.010404
345.965614,41.066763,-24.630480,0.011885
350.124912,43.743619,-24.625658,0.013313
354.000292,46.751314,-24.561634,0.014637
357.466405,50.176818,-24.547527,0.015802
360.786784,53.778075,-24.510734,0.016755
363.681882,57.662244,-24.510678,0.017444
366.098777,61.779201,-24.524534,0.017829
368.033993,66.131241,-24.549110,0.017883
369.366636,70.696630,-24.548152,0.017595
370.098992,75.376234,-24.485853,0.016977
370.303668,80.102281,-24.444986,0.016059
369.952930,84.853866,-24.432579,0.014888
369.295379,89.637144,-24.431537,0.013525
368.427267,94.361164,-24.439362,0.012038
367.036153,99.078137,-24.419922,0.010495
365.555299,103.762514,-24.393670,0.008961
363.809808,108.406846,-24.356677,0.007491
