#x_m,y_m,z_m,kappa
-35.200000,142.360000,-16.100000,0.000004
-34.992508,147.355669,-16.094450,0.000002
-34.785015,152.351338,-16.088900,0.000001
-34.577523,157.347007,-16.083350,-0.000000
-34.370538,162.342696,-16.077795,-0.000002
-34.164446,167.338419,-16.072245,-0.000003
-33.957881,172.334121,-16.066261,-0.000004
-33.743218,177.329473,-16.057813,-0.000006
-33.530522,182.324881,-16.061879,-0.000006
-33.318741,187.320320,-16.069152,-0.000007
-33.104605,192.315702,-16.068512,-0.000007
-32.889850,197.311067,-16.065793,-0.000007
-32.681483,202.306681,-16.071748,-0.000006
-32.475155,207.302373,-16.073660,-0.000006
-32.267993,212.298036,-16.074064,-0.000005
-32.051786,217.293330,-16.066478,-0.000004
-31.833272,222.288500,-16.054038,-0.000003
-31.619472,227.283876,-16.038174,-0.000002
-31.408516,232.279380,-16.022738,-0.000001
-31.196513,237.274846,-16.023118,-0.000000
-30.985464,242.270350,-16.026080,0.000001
-30.774339,247.265852,-16.029869,0.000001
-30.562887,252.261345,-16.043047,0.000002
-30.351112,257.256830,-16.051885,0.000003
-30.137358,262.252231,-16.053752,0.000003
-29.923605,267.247631,-16.055618,0.000004
-29.709958,272.243036,-16.057420,0.000004
-29.501649,277.238657,-16.058197,0.000005
-29.291524,282.234200,-16.069318,0.000005
-29.080497,287.229691,-16.071686,0.000006
-28.866093,292.225036,-16.067087,0.000006
-28.651689,297.220382,-16.062489,0.000005
-28.440938,302.215909,-16.063458,0.000005
-28.231887,307.211509,-16.056054,0.000004
-28.022837,312.207108,-16.048649,0.000004
-27.813787,317.202707,-16.041244,0.000002
-27.604337,322.198286,-16.041436,0.000001
-27.396743,327.193933,-16.051243,-0.000000
-27.185284,332.189399,-16.051644,-0.000002
-26.973266,337.184846,-16.050982,-0.000004
-26.757974,342.180177,-16.044936,-0.000006
-26.547834,347.175746,-16.044971,-0.000007
-26.338058,352.171331,-16.044261,-0.000009
-26.128419,357.166919,-16.037198,-0.000009
-25.921685,362.162589,-16.026701,-0.000009
-25.715871,367.158205,-16.027944,-0.000009
-25.507635,372.153717,-16.029187,-0.000007
-25.291297,377.148936,-16.026342,-0.000005
-25.070516,382.144034,-16.017880,-0.000003
-24.850384,387.139155,-16.018132,-0.000000
-24.635774,392.134515,-16.019665,0.000002
-24.422782,397.129950,-16.021198,0.000004
-24.209126,402.125361,-16.022731,0.000004
-23.997877,407.120881,-16.021468,0.000004
-23.789233,412.116509,-16.022853,0.000003
-23.581565,417.112164,-16.032577,0.000001
-23.373896,422.107819,-16.042302,-0.000001
-23.165942,427.103474,-16.046852,-0.000003
-22.957752,432.099129,-16.047160,-0.000004
-22.744695,437.094572,-16.044441,-0.000005
-22.529524,442.089923,-16.040348,-0.000004
-22.314353,447.085273,-16.036254,-0.000003
-22.098363,452.080581,-16.028408,-0.000001
-21.881489,457.075841,-16.015130,0.000001
-21.666519,462.071184,-16.002367,0.000003
-21.453897,467.066626,-15.989605,0.000005
-21.243015,472.062131,-15.973965,0.000007
-21.032479,477.057646,-15.957519,0.000007
-20.822658,482.053190,-15.940787,0.000007
-20.612046,487.048670,-15.919298,0.000006
-20.398657,492.043999,-15.889893,0.000005
-20.185245,497.039319,-15.858946,0.000004
-19.976421,502.034748,-15.815821,0.000003
-19.768982,507.030219,-15.770624,0.000002
-19.561940,512.025706,-15.725194,0.000002
-19.351753,517.021091,-15.681884,0.000002
-19.140569,522.016424,-15.637493,0.000002
-18.927348,527.011626,-15.588663,0.000003
-18.710232,532.006666,-15.540959,0.000003
-18.492820,537.001717,-15.495842,0.000002
-18.275409,541.996767,-15.450724,0.000001
-18.063527,546.992049,-15.404841,-0.000001
-17.860706,551.987733,-15.361624,-0.000002
-17.661568,556.983604,-15.322503,-0.000003
-17.461681,561.979432,-15.282144,-0.000002
-17.260336,566.975188,-15.240052,0.000000
-17.034347,571.969668,-15.187776,0.000005
-16.821852,576.964961,-15.148580,0.000014
-16.607431,581.960174,-15.108942,0.000026
-16.389031,586.955223,-15.070670,0.000041
-16.170585,591.950261,-15.030062,0.000060
-15.951401,596.945253,-14.986759,0.000081
-15.734675,601.940389,-14.947149,0.000104
-15.525664,606.935829,-14.904635,0.000129
-15.321018,611.931425,-14.859990,0.000155
-15.116041,616.926968,-14.812277,0.000182
-14.911065,621.922510,-14.764564,0.000209
-14.714545,626.918336,-14.714661,0.000238
-14.534929,631.914750,-14.660867,0.000266
-14.359631,636.911337,-14.606633,0.000296
-14.185511,641.908015,-14.557377,0.000325
-14.012280,646.904761,-14.511874,0.000354
-13.841947,651.901612,-14.467760,0.000381
-13.684955,656.898953,-14.430866,0.000406
-13.550918,661.896991,-14.396434,0.000428
-13.416882,666.895028,-14.362001,0.000445
-13.298149,671.893337,-14.330190,0.000457
-13.208678,676.892165,-14.283955,0.000463
-13.138143,681.891321,-14.236498,0.000462
-13.068274,686.890488,-14.189188,0.000455
-13.005522,691.889826,-14.149412,0.000440
-12.959675,696.889385,-14.116144,0.000418
-12.925792,701.889101,-14.085890,0.000387
-12.908450,706.888928,-14.055828,0.000347
-12.907806,711.888791,-14.022684,0.000294
-12.910260,716.888660,-13.989205,0.000226
-12.914744,721.888533,-13.955506,0.000137
-12.925655,726.888365,-13.919579,0.000023
-12.941439,731.888165,-13.883233,-0.000124
-12.970242,736.887817,-13.839412,-0.000312
-13.015502,741.887418,-13.799120,-0.000553
-13.064144,746.887025,-13.761426,-0.000859
-13.110295,751.886651,-13.724006,-0.001246
-13.136249,756.886335,-13.685017,-0.001731
-13.154475,761.886070,-13.644640,-0.002334
-13.162387,766.885753,-13.603526,-0.003081
-13.122846,771.884805,-13.564326,-0.003995
-13.051595,776.883235,-13.526167,-0.005104
-12.923000,781.880011,-13.486492,-0.006436
-12.714022,786.872085,-13.438754,-0.008015
-12.317311,791.845085,-13.399809,-0.009856
-11.856312,796.815702,-13.350861,-0.011964
-11.315994,801.777069,-13.292860,-0.014318
-10.459557,806.675711,-13.230958,-0.016868
-9.242927,811.474059,-13.185729,-0.019524
-7.664849,816.132237,-13.171980,-0.022156
-5.638423,820.546026,-13.180231,-0.024599
-3.051320,824.579443,-13.159234,-0.026664
0.170173,827.923773,-13.192431,-0.028164
3.875907,830.523047,-13.283675,-0.028938
8.085066,832.126260,-13.398160,-0.028878
12.506003,832.770142,-13.500862,-0.027950
17.097949,832.300702,-13.642049,-0.026193
21.614135,830.783062,-13.811026,-0.023718
25.876018,828.365381,-13.933814,-0.020683
29.885732,825.474046,-14.056744,-0.017271
33.691958,822.276631,-14.171961,-0.013663
37.314569,818.847660,-14.280548,-0.010020
40.828527,815.298833,-14.372951,-0.006472
44.311965,811.715871,-14.470638,-0.003115
47.758888,808.101001,-14.544752,-0.000019
51.314993,804.610424,-14.601532,0.002771
54.927052,801.184165,-14.663664,0.005222
58.797753,798.114677,-14.722487,0.007312
62.840036,795.234723,-14.779063,0.009028
67.053979,792.624044,-14.843472,0.010362
71.389676,790.218949,-14.913083,0.011316
75.969484,788.406318,-14.917621,0.011900
80.746538,787.149688,-14.865639,0.012134
85.558957,786.103153,-14.817305,0.012051
90.483293,785.488242,-14.697074,0.011689
95.394851,785.179249,-14.582436,0.011097
100.339766,785.266303,-14.453380,0.010323
105.298799,785.806585,-14.320804,0.009417
110.237649,786.500566,-14.188165,0.008423
115.172020,787.218726,-14.054688,0.007381
120.054504,788.253641,-13.918165,0.006318
124.916101,789.401967,-13.775294,0.005257
129.774099,790.566463,-13.623493,0.004209
134.613407,791.806114,-13.464112,0.003180
139.431022,793.130034,-13.315252,0.002174
144.227922,794.525014,-13.162351,0.001193
149.001211,796.001630,-12.998167,0.000240
153.771047,797.490907,-12.835666,-0.000675
158.544267,798.970447,-12.678682,-0.001540
163.311287,800.468688,-12.525421,-0.002339
168.092650,801.913699,-12.372683,-0.003053
172.915290,803.199721,-12.232766,-0.003664
177.778295,804.259838,-12.084818,-0.004157
182.681895,805.144512,-11.938572,-0.004522
187.585811,806.022047,-11.791889,-0.004755
192.540266,806.464879,-11.640425,-0.004862
197.525479,806.666224,-11.489802,-0.004853
202.511050,806.864970,-11.339154,-0.004749
207.500554,806.968083,-11.182608,-0.004569
212.493483,806.961767,-11.022669,-0.004337
217.487184,806.809766,-10.862589,-0.004074
222.475854,806.552460,-10.702121,-0.003799
227.461312,806.231275,-10.541142,-0.003526
232.445453,805.888980,-10.380635,-0.003263
237.420763,805.432043,-10.216760,-0.003015
242.388628,804.905832,-10.060262,-0.002782
247.348247,804.312097,-9.902575,-0.002561
252.302025,803.668133,-9.751625,-0.002349
257.250932,802.982323,-9.596520,-0.002142
262.188194,802.215214,-9.439739,-0.001937
267.120657,801.419788,-9.286291,-0.001733
272.042907,800.562041,-9.139641,-0.001528
276.949830,799.616050,-8.998460,-0.001326
281.850742,798.636405,-8.858560,-0.001130
286.751655,797.656760,-8.718660,-0.000943
291.653486,796.680956,-8.583620,-0.000769
296.552972,795.691513,-8.461684,-0.000612
301.449988,794.689069,-8.342660,-0.000475
306.348163,793.692240,-8.224364,-0.000359
311.247870,792.703007,-8.106547,-0.000265
316.148668,791.719302,-7.987781,-0.000191
321.050153,790.737863,-7.879478,-0.000135
325.950718,789.751731,-7.771986,-0.000095
330.849249,788.755331,-7.665590,-0.000066
335.747753,787.758426,-7.562482,-0.000047
340.646649,786.762736,-7.466700,-0.000033
345.546319,785.769969,-7.379969,-0.000023
350.445740,784.776172,-7.291289,-0.000014
355.345241,783.783242,-7.197703,-0.000007
360.244736,782.790660,-7.099831,0.000000
365.143408,781.794185,-7.000603,0.000008
370.040854,780.792069,-6.898329,0.000015
374.938425,779.790778,-6.794622,0.000022
379.837003,778.794301,-6.692284,0.000029
384.736335,777.800418,-6.600033,0.000035
389.636530,776.810563,-6.509922,0.000040
394.537022,775.822121,-6.420234,0.000045
399.437422,774.833915,-6.323405,0.000048
404.337352,773.843512,-6.225203,0.000050
409.237637,772.854660,-6.128992,0.000051
414.138536,771.868459,-6.036545,0.000051
419.039434,770.882257,-5.944097,0.000051
423.941401,769.901154,-5.854503,0.000050
428.844151,768.924041,-5.764409,0.000048
433.746733,767.946335,-5.672073,0.000047
438.649316,766.968629,-5.579737,0.000046
443.551209,765.987906,-5.482402,0.000046
448.453707,765.010303,-5.384218,0.000046
453.356871,764.036083,-5.285501,0.000047
458.259903,763.061146,-5.187426,0.000049
463.162954,762.086477,-5.088169,0.000052
468.065980,761.111693,-4.988850,0.000055
472.968000,760.132071,-4.887288,0.000059
477.871973,759.162784,-4.783815,0.000064
482.776834,758.197423,-4.685686,0.000070
487.681338,757.228963,-4.598124,0.000077
492.586067,756.261638,-4.510586,0.000085
497.491879,755.300088,-4.419518,0.000094
502.398083,754.341084,-4.322888,0.000104
507.304117,753.381091,-4.227919,0.000114
512.209874,752.419308,-4.136944,0.000124
517.115522,751.457176,-4.043929,0.000133
522.021946,750.499204,-3.948793,0.000140
526.928722,749.543139,-3.852721,0.000146
531.838515,748.602912,-3.754904,0.000148
536.748986,747.666178,-3.657553,0.000148
541.661162,746.738238,-3.562104,0.000145
546.574767,745.818419,-3.460983,0.000140
551.488529,744.899338,-3.360672,0.000132
556.402009,743.978535,-3.262180,0.000123
561.316469,743.062922,-3.164674,0.000114
566.231407,742.149902,-3.067034,0.000104
571.146349,741.236907,-2.969400,0.000094
576.061254,740.323703,-2.871838,0.000085
580.975848,739.408588,-2.776203,0.000076
585.891147,738.497131,-2.681784,0.000067
590.807967,737.593488,-2.591844,0.000059
595.725810,736.695145,-2.504238,0.000052
600.644141,735.799486,-2.416242,0.000045
605.562180,734.902309,-2.327452,0.000037
610.479675,734.002445,-2.235699,0.000029
615.396461,733.099158,-2.139567,0.000018
620.313053,732.195101,-2.040796,0.000003
625.229645,731.291044,-1.942025,-0.000020
630.146485,730.388469,-1.842456,-0.000056
635.063639,729.487735,-1.742331,-0.000109
639.981006,728.587561,-1.648849,-0.000188
644.899253,727.691371,-1.562532,-0.000301
649.818574,726.801375,-1.473984,-0.000456
654.738000,725.913499,-1.371516,-0.000665
659.657347,725.024892,-1.272005,-0.000938
664.575260,724.128531,-1.171470,-0.001286
669.492827,723.229167,-1.080140,-0.001718
674.410952,722.332319,-0.993567,-0.002245
679.327876,721.429015,-0.912976,-0.002872
684.233577,720.470890,-0.828361,-0.003608
689.131215,719.478959,-0.736812,-0.004454
694.015365,718.425342,-0.640684,-0.005415
698.892939,717.338340,-0.546185,-0.006489
703.725523,716.100864,-0.443846,-0.007671
708.505830,714.701414,-0.345751,-0.008952
713.155860,712.930031,-0.265903,-0.010316
717.793598,711.123060,-0.187250,-0.011736
722.371287,709.161973,-0.108158,-0.013178
726.719469,706.769563,-0.018163,-0.014597
730.970837,704.222644,0.072567,-0.015940
734.950826,701.304577,0.123019,-0.017151
738.508434,697.956090,0.187437,-0.018173
741.573043,694.291173,0.258918,-0.018961
744.325011,690.286361,0.312553,-0.019479
746.551634,686.026956,0.350141,-0.019713
747.836505,681.311563,0.400689,-0.019669
748.771397,676.502121,0.432565,-0.019369
749.086793,671.605672,0.454867,-0.018852
748.834843,666.659423,0.434518,-0.018163
748.202317,661.763261,0.383466,-0.017351
747.208635,656.900485,0.309119,-0.016458
745.681586,652.198021,0.164711,-0.015519
744.003274,647.534691,0.007863,-0.014557
741.967108,643.024588,-0.142522,-0.013589
739.344258,638.813548,-0.301872,-0.012620
736.676575,634.637184,-0.458315,-0.011653
733.858016,630.559391,-0.597942,-0.010687
730.587138,626.810560,-0.735982,-0.009723
727.170432,623.184266,-0.887408,-0.008763
723.644355,619.658671,-1.019177,-0.007810
719.949820,616.302340,-1.129137,-0.006870
716.147655,613.066109,-1.216521,-0.005949
712.260493,609.930349,-1.266566,-0.005057
708.305417,606.877458,-1.306606,-0.004201
704.297874,603.891698,-1.361362,-0.003389
700.255986,600.952564,-1.412698,-0.002629
696.178094,598.060752,-1.456280,-0.001925
692.075695,595.202962,-1.496225,-0.001282
687.975865,592.341654,-1.536447,-0.000703
683.888551,589.462241,-1.559350,-0.000189
679.803991,586.578863,-1.583813,0.000262
675.730532,583.680079,-1.626620,0.000653
671.687407,580.739693,-1.670563,0.000989
667.673354,577.760918,-1.714585,0.001279
663.707318,574.719976,-1.750618,0.001530
659.776236,571.633554,-1.784790,0.001752
655.871150,568.512967,-1.819610,0.001955
651.992100,565.360962,-1.857315,0.002145
648.115671,562.205796,-1.895309,0.002330
644.260653,559.024005,-1.939118,0.002512
640.435766,555.806437,-1.986163,0.002691
636.721369,552.466260,-2.043696,0.002866
633.010375,549.122261,-2.101971,0.003030
629.326930,545.749950,-2.153940,0.003175
625.738450,542.274074,-2.203295,0.003295
622.211289,538.741648,-2.257682,0.003382
618.733101,535.165264,-2.316311,0.003428
615.319141,531.526359,-2.378075,0.003429
612.037134,527.761063,-2.450248,0.003383
608.899876,523.874265,-2.533398,0.003288
605.811531,519.946565,-2.622036,0.003144
602.754111,515.993847,-2.713103,0.002951
599.742884,512.004358,-2.809230,0.002709
596.753649,507.998461,-2.902527,0.002418
593.877572,503.913491,-2.970769,0.002076
591.067628,499.781201,-3.028760,0.001678
588.257683,495.648910,-3.086751,0.001221
585.523247,491.464104,-3.120002,0.000702
582.838549,487.246535,-3.143354,0.000118
580.177853,483.013547,-3.172304,-0.000532
577.505964,478.787675,-3.201502,-0.001246
574.847757,474.553414,-3.229127,-0.002019
572.203096,470.312431,-3.255990,-0.002841
569.505581,466.107505,-3.283208,-0.003702
566.760715,461.932338,-3.301882,-0.004588
563.867591,457.866196,-3.318210,-0.005483
560.869213,453.890822,-3.339329,-0.006370
557.790193,449.981403,-3.366675,-0.007229
554.468182,446.253553,-3.411078,-0.008040
551.091468,442.580700,-3.457397,-0.008782
547.396519,439.252858,-3.507985,-0.009433
543.646372,435.995230,-3.556141,-0.009969
539.765328,432.894431,-3.603973,-0.010370
535.567861,430.225236,-3.663048,-0.010616
531.295540,427.703563,-3.724876,-0.010691
526.899158,425.479049,-3.794641,-0.010584
522.322531,423.689743,-3.871435,-0.010290
517.561689,422.288521,-3.965573,-0.009812
512.736844,421.064937,-4.067833,-0.009159
507.884807,420.040113,-4.172268,-0.008350
502.952078,419.358165,-4.277231,-0.007405
497.978184,419.001668,-4.388100,-0.006350
492.995341,418.754250,-4.502484,-0.005215
488.003322,418.620095,-4.621797,-0.004028
483.010386,418.562078,-4.756927,-0.002816
