#x_m,y_m,z_m,kappa
132.940000,-32.440000,170.720000,0.000105
130.254289,-36.657396,170.733313,0.000103
127.568577,-40.874792,170.746626,0.000105
124.882789,-45.092149,170.757916,0.000110
122.201660,-49.312498,170.767481,0.000115
119.519061,-53.531917,170.774378,0.000118
116.835432,-57.750683,170.779619,0.000117
114.151453,-61.969226,170.784860,0.000112
111.469026,-66.188760,170.790101,0.000102
108.787668,-70.408984,170.792473,0.000089
106.107031,-74.629667,170.793859,0.000074
103.427684,-78.851169,170.795245,0.000058
100.748149,-83.072552,170.796631,0.000042
98.068198,-87.293670,170.798016,0.000028
95.392181,-91.517270,170.799402,0.000016
92.719332,-95.742873,170.800000,0.000005
90.043245,-99.966423,170.800000,-0.000003
87.367732,-104.190334,170.800000,-0.000009
84.690223,-108.412981,170.800000,-0.000013
82.007870,-112.632558,170.799005,-0.000015
79.328686,-116.854132,170.791933,-0.000016
76.647946,-121.074715,170.782986,-0.000014
73.964377,-125.293499,170.771628,-0.000011
71.280809,-129.512283,170.760271,-0.000006
68.597880,-133.731467,170.750702,-0.000001
65.911871,-137.948671,170.744646,0.000004
63.225340,-142.165549,170.741380,0.000009
60.541759,-146.384322,170.738382,0.000013
57.860256,-150.604424,170.735737,0.000015
55.180330,-154.825523,170.737773,0.000017
52.502221,-159.047774,170.746058,0.000017
49.823605,-163.269703,170.754344,0.000016
47.146124,-167.492354,170.762091,0.000014
44.471956,-171.717109,170.768220,0.000012
41.797127,-175.941431,170.779143,0.000009
39.119692,-180.164105,170.789757,0.000006
36.437349,-184.383691,170.794722,0.000001
33.754893,-188.603206,170.799688,-0.000004
31.073966,-192.823704,170.800000,-0.000010
28.395543,-197.045787,170.799010,-0.000019
25.721004,-201.270324,170.794867,-0.000029
23.046381,-205.494809,170.790724,-0.000042
20.371758,-209.719293,170.786581,-0.000057
17.697162,-213.943793,170.782036,-0.000075
15.020256,-218.166807,170.770990,-0.000095
12.337059,-222.385795,170.755036,-0.000117
9.653862,-226.604783,170.739082,-0.000140
6.971187,-230.824119,170.727641,-0.000163
4.288687,-235.043571,170.717715,-0.000185
1.603676,-239.261410,170.706796,-0.000205
-1.093281,-243.471567,170.693542,-0.000223
-3.795727,-247.678202,170.682131,-0.000236
-6.499801,-251.883790,170.669406,-0.000244
-9.212690,-256.083680,170.650403,-0.000248
-11.937008,-260.276041,170.620562,-0.000246
-14.669198,-264.463290,170.590982,-0.000239
-17.415466,-268.641304,170.548307,-0.000228
-20.161734,-272.819318,170.505632,-0.000213
-22.910568,-276.995640,170.462317,-0.000195
-25.663155,-281.169515,170.420625,-0.000177
-28.415841,-285.343293,170.375825,-0.000158
-31.171299,-289.515229,170.329752,-0.000140
-33.932395,-293.683464,170.285687,-0.000124
-36.698944,-297.848056,170.237851,-0.000111
-39.466870,-302.011725,170.189098,-0.000101
-42.233918,-306.175960,170.138990,-0.000093
-44.999944,-310.340860,170.087880,-0.000088
-47.762664,-314.507925,170.034478,-0.000085
-50.525602,-318.674805,169.978684,-0.000084
-53.289952,-322.840725,169.921745,-0.000082
-56.054302,-327.006646,169.864807,-0.000081
-58.820893,-331.171062,169.806792,-0.000079
-61.601612,-335.325927,169.741187,-0.000075
-64.388732,-339.476342,169.667017,-0.000070
-67.173241,-343.628351,169.584153,-0.000063
-69.957720,-347.780375,169.500936,-0.000056
-72.740765,-351.933276,169.413494,-0.000048
-75.523278,-356.086543,169.325423,-0.000040
-78.305791,-360.239810,169.237353,-0.000033
-81.089150,-364.392447,169.145816,-0.000027
-83.873167,-368.544708,169.057078,-0.000023
-86.658864,-372.695816,168.967185,-0.000020
-89.444560,-376.846924,168.877291,-0.000018
-92.230067,-380.998088,168.784339,-0.000017
-95.012407,-385.151155,168.681808,-0.000017
-97.794057,-389.304628,168.576950,-0.000017
-100.576376,-393.457579,168.469373,-0.000017
-103.358696,-397.610531,168.361796,-0.000016
-106.145446,-401.760360,168.248727,-0.000015
-108.935575,-405.907965,168.137365,-0.000012
-111.726208,-410.055261,168.027116,-0.000008
-114.517051,-414.202432,167.917453,-0.000002
-117.306479,-418.350515,167.806518,0.000005
-120.092907,-422.500723,167.699753,0.000014
-122.879472,-426.650679,167.587169,0.000026
-125.666661,-430.800140,167.472004,0.000040
-128.453702,-434.949553,167.351292,0.000058
-131.241425,-439.098463,167.228811,0.000079
-134.030066,-443.246808,167.108222,0.000105
-136.818307,-447.395381,166.986196,0.000136
-139.605302,-451.544873,166.867223,0.000171
-142.389252,-455.696383,166.747500,0.000213
-145.172775,-459.848157,166.627007,0.000260
-147.947214,-464.005905,166.504258,0.000312
-150.719339,-468.165179,166.380902,0.000369
-153.491464,-472.324452,166.257545,0.000430
-156.258363,-476.487130,166.135137,0.000493
-158.997715,-480.668057,166.021370,0.000556
-161.729026,-484.854509,165.914255,0.000617
-164.458402,-489.042333,165.809962,0.000674
