#x_m,y_m,z_m,kappa
-49.640000,139.900000,413.900000,-0.000002
-52.388063,144.075912,413.996780,-0.000001
-55.136126,148.251824,414.093561,0.000001
-57.890721,152.423448,414.189565,0.000002
-60.653097,156.590167,414.276329,0.000003
-63.418929,160.754623,414.362192,0.000003
-66.183753,164.919725,414.449203,0.000003
-68.948420,169.084792,414.542189,0.000002
-71.712032,173.250553,414.635504,-0.000000
-74.475644,177.416314,414.728819,-0.000003
-77.240165,181.581540,414.819108,-0.000005
-80.002541,185.748194,414.908828,-0.000007
-82.758482,189.919003,415.002633,-0.000008
-85.510478,194.092229,415.104685,-0.000008
-88.268361,198.261401,415.212678,-0.000008
-91.029640,202.428226,415.324293,-0.000007
-93.790725,206.595546,415.422539,-0.000005
-96.556587,210.759606,415.524633,-0.000002
-99.315935,214.928163,415.617970,0.000001
-102.074240,219.097481,415.709047,0.000004
-104.832138,223.267111,415.799383,0.000007
-107.588858,227.437525,415.889365,0.000010
-110.345401,231.608009,415.981515,0.000012
-113.101943,235.778492,416.073664,0.000013
-115.859428,239.948370,416.164488,0.000012
-118.620162,244.116122,416.253647,0.000011
-121.382932,248.282404,416.348076,0.000009
-124.147796,252.447318,416.441094,0.000006
-126.918207,256.608495,416.535636,0.000002
-129.686997,260.770759,416.629983,-0.000000
-132.453100,264.934767,416.726555,-0.000003
-135.213079,269.102757,416.828376,-0.000004
-137.969489,273.273113,416.929484,-0.000004
-140.724288,277.444555,417.029488,-0.000004
-143.478815,281.616162,417.130028,-0.000003
-146.238167,285.784726,417.222266,-0.000002
-149.001305,289.950772,417.315420,-0.000002
-151.763459,294.117345,417.415469,-0.000003
-154.525394,298.284091,417.514308,-0.000004
-157.287328,302.450838,417.613147,-0.000008
-160.049027,306.617767,417.711127,-0.000013
-162.811328,310.784223,417.811945,-0.000020
-165.576581,314.948425,417.923173,-0.000029
-168.343135,319.111719,418.036205,-0.000040
-171.103878,323.278733,418.153909,-0.000057
-173.858838,327.449299,418.280292,-0.000079
-176.612576,331.620609,418.408538,-0.000110
-179.368919,335.789165,418.568147,-0.000154
-182.125478,339.957433,418.732022,-0.000214
-184.880874,344.126273,418.900847,-0.000297
-187.637574,348.293981,419.076005,-0.000409
-190.391412,352.462847,419.266930,-0.000560
-193.144877,356.631845,419.460214,-0.000758
-195.894196,360.802754,419.670785,-0.001016
-198.637375,364.977412,419.887156,-0.001347
-201.372975,369.156920,420.105500,-0.001767
-204.090273,373.348579,420.316215,-0.002294
-206.789473,377.552088,420.524508,-0.002946
-209.484036,381.758373,420.734871,-0.003746
-212.104184,386.009362,420.962382,-0.004713
-214.685237,390.284946,421.187019,-0.005868
-217.214277,394.591311,421.393802,-0.007231
-219.656872,398.946771,421.584403,-0.008816
-221.980902,403.367007,421.741608,-0.010632
-224.160418,407.859101,421.897390,-0.012675
-226.150427,412.420279,422.034565,-0.014923
-227.850324,417.106878,422.162694,-0.017329
-229.206273,421.885132,422.239857,-0.019817
-230.079096,426.781651,422.262813,-0.022275
-230.449422,431.685316,422.242803,-0.024563
-230.189175,436.624709,422.169055,-0.026521
-228.986456,441.344530,422.040838,-0.027991
-226.951019,445.691307,421.822766,-0.028836
-223.933276,449.391769,421.812199,-0.028966
-220.054803,452.223713,421.856747,-0.028353
-215.495683,453.891134,421.686197,-0.027041
-210.618621,454.460211,421.480021,-0.025136
-205.683092,454.157303,421.269629,-0.022792
-200.780714,453.343431,421.038186,-0.020183
-195.974944,452.005450,420.804417,-0.017482
-191.217453,450.508565,420.548089,-0.014836
-186.512636,448.842389,420.314941,-0.012361
-181.876039,446.989387,420.101840,-0.010130
-177.264942,445.079757,419.834541,-0.008182
-172.708698,443.047930,419.520432,-0.006524
-168.179377,440.956753,419.198771,-0.005143
-163.677350,438.808752,418.863611,-0.004013
-159.203177,436.601998,418.532359,-0.003102
-154.739109,434.375429,418.196793,-0.002375
-150.284863,432.131440,417.848679,-0.001801
-145.840982,429.867902,417.494072,-0.001353
-141.400682,427.590584,417.189542,-0.001008
-136.961606,425.312310,416.869469,-0.000747
-132.522234,423.033572,416.557028,-0.000557
-128.086801,420.750054,416.222819,-0.000426
-123.649422,418.470520,415.887047,-0.000344
-119.207654,416.199206,415.553130,-0.000304
-114.764846,413.929959,415.219051,-0.000299
-110.313334,411.677398,414.887784,-0.000323
-105.861813,409.425248,414.553863,-0.000369
-101.414072,407.164924,414.225205,-0.000433
-96.970066,404.897552,413.894998,-0.000509
-92.529730,402.622957,413.566205,-0.000594
-88.106223,400.317231,413.228595,-0.000685
-83.699580,397.978702,412.895511,-0.000779
-79.295744,395.634506,412.565176,-0.000874
-74.901152,393.273477,412.234205,-0.000969
-70.520215,390.885861,411.912207,-0.001062
-66.147998,388.482330,411.588455,-0.001153
-61.777096,386.076459,411.264003,-0.001240
-57.416813,383.652589,410.932045,-0.001321
-53.064653,381.214571,410.597508,-0.001396
-48.759928,378.694303,410.273356,-0.001462
-44.506418,376.085765,409.956049,-0.001520
-40.252908,373.477226,409.638742,-0.001566
-36.005821,370.858254,409.320454,-0.001602
-31.770554,368.220284,409.002267,-0.001626
-27.561168,365.541842,408.690198,-0.001639
-23.391871,362.801144,408.376790,-0.001640
-19.255507,360.010045,408.066860,-0.001631
-15.128558,357.204744,407.757258,-0.001613
-11.028586,354.362068,407.436537,-0.001589
-6.943929,351.497896,407.112377,-0.001559
-2.894190,348.583420,406.796020,-0.001527
1.116920,345.612854,406.511786,-0.001496
5.109125,342.614374,406.247131,-0.001470
9.101330,339.615894,405.982476,-0.001451
13.078871,336.598596,405.714762,-0.001442
17.029468,333.546483,405.444477,-0.001445
20.953606,330.459987,405.175215,-0.001460
24.862202,327.353716,404.906409,-0.001484
28.770799,324.247446,404.637603,-0.001515
