#x_m,y_m,z_m,kappa
-165.560000,134.100000,196.420000,-0.001879
-162.471278,138.031386,196.443779,-0.001402
-159.381524,141.961935,196.472858,-0.001062
-156.283722,145.886262,196.501798,-0.000823
-153.170990,149.799074,196.523396,-0.000645
-150.059785,153.713129,196.541601,-0.000497
-146.967539,157.641643,196.573591,-0.000358
-143.894410,161.584725,196.609319,-0.000218
-140.847177,165.547738,196.645311,-0.000079
-137.826057,169.530838,196.693710,0.000053
-134.809310,173.517288,196.744195,0.000166
-131.792563,177.503738,196.794679,0.000254
-128.809648,181.515717,196.848575,0.000311
-125.845379,185.541741,196.899311,0.000337
-122.885245,189.570771,196.951307,0.000337
-119.943444,193.613315,197.005967,0.000316
-117.003661,197.657433,197.056576,0.000281
-114.068223,201.704648,197.110018,0.000241
-111.130646,205.750294,197.165640,0.000200
-108.191315,209.794696,197.220663,0.000165
-105.253406,213.840107,197.278242,0.000136
-102.315503,217.885454,197.339749,0.000118
-99.377707,221.930837,197.403692,0.000111
-96.436040,225.973287,197.473781,0.000115
-93.497186,230.017791,197.544053,0.000130
-90.556990,234.061344,197.613426,0.000155
-87.616535,238.104698,197.683355,0.000188
-84.677311,242.148991,197.750192,0.000228
-81.742253,246.196406,197.810701,0.000272
-78.808047,250.244409,197.873163,0.000317
-75.873842,254.292411,197.935624,0.000362
-72.955579,258.351728,198.001235,0.000402
-70.045914,262.417186,198.068927,0.000436
-67.143035,266.487515,198.136012,0.000461
-64.253429,270.567289,198.205478,0.000475
-61.397361,274.670419,198.271187,0.000477
-58.560090,278.786662,198.338760,0.000466
-55.722818,282.902906,198.406334,0.000442
-52.891580,287.023188,198.475942,0.000405
-50.081251,291.157767,198.544571,0.000355
-47.272677,295.293552,198.612226,0.000293
-44.476647,299.437969,198.678569,0.000219
-41.689145,303.588247,198.746966,0.000134
-38.902984,307.739399,198.816371,0.000040
-36.123197,311.894614,198.896609,-0.000062
-33.350211,316.054361,198.978824,-0.000172
-30.579815,320.215849,199.061011,-0.000288
-27.801406,324.372036,199.136732,-0.000407
-25.012686,328.521322,199.208049,-0.000529
-22.216131,332.665344,199.275630,-0.000653
-19.392983,336.791158,199.343296,-0.000777
-16.569806,340.916952,199.410973,-0.000901
-13.701299,345.011238,199.467611,-0.001024
-10.812849,349.091499,199.528772,-0.001147
-7.922408,353.170300,199.591708,-0.001271
-5.016884,357.238130,199.657204,-0.001397
-2.071658,361.277053,199.726763,-0.001527
0.933205,365.271558,199.804099,-0.001666
3.952708,369.255370,199.886034,-0.001815
7.000500,373.216973,199.973072,-0.001979
10.062169,377.167300,200.062801,-0.002162
13.186847,381.065280,200.161609,-0.002366
16.337986,384.942226,200.262334,-0.002594
19.552570,388.767953,200.365458,-0.002847
22.847555,392.524923,200.462434,-0.003124
26.148585,396.276903,200.558908,-0.003424
29.449614,400.028883,200.655382,-0.003746
32.757902,403.774292,200.751818,-0.004086
36.212978,407.373732,200.836208,-0.004440
39.789128,410.840490,200.911492,-0.004804
43.507606,414.163224,200.962491,-0.005171
47.268442,417.443646,201.013499,-0.005535
51.095341,420.643429,201.064463,-0.005887
54.980545,423.777882,201.108528,-0.006215
58.954568,426.789779,201.148277,-0.006510
62.988078,429.700992,201.186434,-0.006760
67.182179,432.365245,201.214768,-0.006957
71.449191,434.891286,201.244584,-0.007093
75.909784,437.092052,201.280067,-0.007166
80.370377,439.292818,201.315551,-0.007174
84.929425,441.298239,201.351676,-0.007124
89.647032,442.889851,201.389086,-0.007020
94.419125,444.295208,201.424258,-0.006874
99.215360,445.598130,201.458375,-0.006693
104.011595,446.901052,201.492492,-0.006487
108.853995,448.081084,201.524501,-0.006261
113.718695,449.183763,201.555639,-0.006019
118.643868,449.946613,201.585802,-0.005763
123.592051,450.557733,201.623814,-0.005493
128.563699,450.988563,201.671202,-0.005207
133.539724,451.360578,201.722337,-0.004903
138.529496,451.583809,201.779210,-0.004582
143.519234,451.638486,201.835747,-0.004243
148.507721,451.633665,201.892994,-0.003888
153.498589,451.514590,201.955594,-0.003519
158.489857,451.313445,202.021337,-0.003137
163.474960,451.004980,202.089292,-0.002744
168.459264,450.686610,202.157417,-0.002340
173.440815,450.287859,202.228807,-0.001926
178.417725,449.821647,202.294274,-0.001502
183.391701,449.331939,202.350816,-0.001067
188.362891,448.819264,202.405927,-0.000623
193.325224,448.223028,202.455441,-0.000172
198.291011,447.655169,202.507324,0.000282
203.259713,447.111532,202.555622,0.000733
208.223414,446.519817,202.595857,0.001177
213.187923,445.935779,202.636647,0.001608
218.164540,445.478092,202.682221,0.002023
223.146817,445.098627,202.727172,0.002419
228.129762,444.729360,202.772143,0.002794
233.111883,444.496776,202.825747,0.003151
238.099866,444.425081,202.892377,0.003491
243.092192,444.451747,202.955924,0.003815
248.084550,444.479166,203.019425,0.004124
253.078687,444.600504,203.086597,0.004420
258.071203,444.773743,203.159135,0.004701
263.055197,445.036829,203.232674,0.004963
268.023746,445.498144,203.308642,0.005204
