#x_m,y_m,z_m,kappa
337.260000,77.120000,12.920000,-0.002230
337.678704,72.138329,12.891162,-0.002477
338.097408,67.156659,12.862323,-0.002782
338.502438,62.174297,12.833485,-0.003107
338.836765,57.188315,12.804647,-0.003404
339.053558,52.194348,12.795965,-0.003628
339.192417,47.196619,12.791750,-0.003743
339.328754,42.198794,12.787535,-0.003733
339.406643,37.201348,12.785998,-0.003605
339.434908,32.203836,12.786782,-0.003382
339.333242,27.207088,12.801009,-0.003099
339.152571,22.210944,12.819788,-0.002793
338.971901,17.214800,12.838566,-0.002494
338.787129,12.218787,12.857282,-0.002220
338.533757,7.225722,12.874741,-0.001978
338.227514,2.235746,12.890580,-0.001769
337.898790,-2.752865,12.904495,-0.001583
337.500233,-7.736116,12.919586,-0.001411
337.045746,-12.714588,12.934191,-0.001245
336.553471,-17.690006,12.947660,-0.001077
336.050755,-22.664417,12.962932,-0.000902
335.530943,-27.637179,12.981158,-0.000714
334.979744,-32.606558,12.997665,-0.000512
334.403501,-37.573130,13.017406,-0.000290
333.825995,-42.539560,13.036900,-0.000046
333.245566,-47.505681,13.054847,0.000227
332.662276,-52.471469,13.076298,0.000535
332.083278,-57.437754,13.097704,0.000885
331.516442,-62.405356,13.121137,0.001289
330.953926,-67.373434,13.143464,0.001755
330.415446,-72.344057,13.165460,0.002293
329.923113,-77.319110,13.192137,0.002913
329.466029,-82.297378,13.224331,0.003620
329.049848,-87.279367,13.255207,0.004415
328.674561,-92.264407,13.286815,0.005296
328.426626,-97.256339,13.330235,0.006250
328.270358,-102.249697,13.368397,0.007259
328.287700,-107.241590,13.388155,0.008293
328.471412,-112.232980,13.391303,0.009314
328.842410,-117.207604,13.373312,0.010276
329.537896,-122.150314,13.331225,0.011126
330.492815,-127.029433,13.312590,0.011806
331.754731,-131.829216,13.301756,0.012256
333.619336,-136.423330,13.300000,0.012417
335.830373,-140.874361,13.312544,0.012233
338.423356,-145.076819,13.331258,0.011655
341.498500,-148.958408,13.357360,0.010645
344.774399,-152.699797,13.388142,0.009176
348.316163,-156.185046,13.416559,0.007240
352.007041,-159.495879,13.439917,0.004846
356.029170,-162.429160,13.452618,0.002029
360.239960,-165.113890,13.463218,-0.001153
364.521131,-167.685503,13.455739,-0.004614
368.833947,-170.208587,13.454314,-0.008238
373.159613,-172.709153,13.483768,-0.011892
377.359793,-175.383889,13.498782,-0.015422
381.183401,-178.468149,13.500000,-0.018679
384.240338,-182.238624,13.500000,-0.021525
386.564293,-186.419009,13.511547,-0.023853
387.842186,-190.920088,13.530935,-0.025594
387.991533,-195.759399,13.573987,-0.026728
387.373746,-200.622874,13.622852,-0.027274
385.908005,-205.340622,13.702230,-0.027283
383.899533,-209.848619,13.793042,-0.026823
381.275065,-214.007747,13.922347,-0.025970
378.141442,-217.799844,14.062617,-0.024795
374.255353,-220.666878,14.171384,-0.023366
370.059704,-223.178096,14.264997,-0.021745
365.497882,-224.971349,14.395421,-0.019994
360.663188,-226.006179,14.553107,-0.018174
355.731298,-226.644864,14.727120,-0.016344
350.766997,-227.028960,14.914630,-0.014562
345.779138,-227.211701,15.099545,-0.012880
340.789390,-227.137842,15.326095,-0.011335
335.803162,-226.900095,15.551421,-0.009954
330.824242,-226.545972,15.768702,-0.008747
325.858801,-226.052675,15.964909,-0.007710
320.908124,-225.408297,16.145076,-0.006829
315.966358,-224.700932,16.317842,-0.006086
311.072408,-223.715084,16.472778,-0.005460
306.205590,-222.589122,16.629924,-0.004931
301.379105,-221.298727,16.773247,-0.004486
296.564476,-219.966054,16.912978,-0.004112
291.773243,-218.549338,17.045223,-0.003806
286.987690,-217.113534,17.161515,-0.003563
282.232228,-215.573381,17.232070,-0.003382
277.482125,-214.016818,17.254684,-0.003261
272.746480,-212.421001,17.328548,-0.003194
268.029550,-210.774132,17.470797,-0.003175
263.337059,-209.054459,17.542561,-0.003193
258.652974,-207.312229,17.613198,-0.003236
254.020549,-205.440008,17.693331,-0.003289
249.399548,-203.539078,17.768223,-0.003340
244.851846,-201.471388,17.800000,-0.003376
240.348316,-199.300333,17.800000,-0.003386
235.860135,-197.100391,17.800000,-0.003365
231.398602,-194.850300,17.800000,-0.003309
227.008321,-192.470364,17.795297,-0.003218
222.703995,-189.928702,17.788511,-0.003095
218.436434,-187.325787,17.773414,-0.002945
214.180039,-184.704803,17.755819,-0.002776
209.966547,-182.015901,17.740927,-0.002595
205.800998,-179.251238,17.719510,-0.002410
201.658763,-176.451690,17.693855,-0.002226
197.518861,-173.648738,17.666528,-0.002050
193.430730,-170.770515,17.651071,-0.001885
189.360783,-167.866827,17.638484,-0.001731
