#x_m,y_m,z_m,kappa
31.860000,-149.480000,14.300000,0.000003
26.976138,-150.550972,14.286748,0.000005
22.092361,-151.622330,14.273497,0.000007
17.208708,-152.694254,14.260245,0.000009
12.324895,-153.765451,14.246993,0.000010
7.440731,-154.834443,14.224011,0.000011
2.556104,-155.900672,14.191839,0.000011
-2.328547,-156.966789,14.159666,0.000011
-7.213410,-158.031933,14.132993,0.000010
-12.098446,-159.096279,14.113770,0.000009
-16.983599,-160.160090,14.094546,0.000007
-21.868844,-161.223856,14.076164,0.000004
-26.754217,-162.287913,14.062828,0.000002
-31.638158,-163.358490,14.049492,-0.000001
-36.521809,-164.430372,14.034666,-0.000004
-41.404820,-165.505093,14.014639,-0.000007
-46.287856,-166.579694,13.994211,-0.000009
-51.172343,-167.647744,13.972716,-0.000011
-56.058329,-168.709272,13.966126,-0.000011
-60.944316,-169.770800,13.959536,-0.000011
-65.830108,-170.833080,13.956968,-0.000010
-70.715389,-171.897369,13.966851,-0.000008
-75.601026,-172.960469,13.960689,-0.000006
-80.486334,-174.025154,13.949765,-0.000004
-85.371644,-175.089826,13.938841,-0.000002
-90.256872,-176.154886,13.929500,-0.000001
-95.142052,-177.220171,13.921134,0.000000
-100.027570,-178.283981,13.920000,0.000001
-104.913134,-179.347586,13.920000,0.000001
-109.798078,-180.414012,13.920000,0.000001
-114.682741,-181.481716,13.920000,0.000001
-119.567473,-182.549091,13.920356,0.000001
-124.452166,-183.616288,13.932882,0.000002
-129.337089,-184.682568,13.938205,0.000003
-134.223135,-185.743910,13.934046,0.000004
-139.109290,-186.804762,13.929888,0.000005
-143.995355,-187.866027,13.925729,0.000006
-148.881321,-188.927743,13.921571,0.000007
-153.766577,-189.992717,13.924071,0.000007
-158.651393,-191.059696,13.929793,0.000007
-163.535515,-192.129837,13.935516,0.000006
-168.419564,-193.200310,13.941238,0.000005
-173.303620,-194.270752,13.947113,0.000003
-178.187849,-195.340358,13.956994,0.000002
-183.072691,-196.407133,13.962463,-0.000000
-187.958313,-197.470287,13.965797,-0.000002
-192.844505,-198.530825,13.968340,-0.000004
-197.730580,-199.591942,13.971220,-0.000006
-202.615923,-200.656503,13.975379,-0.000008
-207.500082,-201.726420,13.979537,-0.000010
-212.382630,-202.803650,13.980341,-0.000012
-217.266999,-203.872616,13.984345,-0.000013
-222.152100,-204.938299,13.988350,-0.000013
-227.037352,-206.003281,13.992355,-0.000012
-231.923263,-207.065246,13.996360,-0.000011
-236.809506,-208.125698,14.000000,-0.000008
-241.695720,-209.186308,14.000000,-0.000005
-246.582327,-210.245086,13.997943,-0.000002
-251.468502,-211.305821,13.993785,0.000002
-256.354266,-212.368447,13.989626,0.000005
-261.239981,-213.431294,13.985505,0.000008
-266.125423,-214.495397,13.982985,0.000010
-271.010515,-215.561092,13.986580,0.000011
-275.895446,-216.627518,13.992983,0.000012
-280.780378,-217.693944,13.999387,0.000012
-285.665309,-218.760369,14.005791,0.000012
-290.550247,-219.826766,14.015492,0.000011
-295.435559,-220.891472,14.024261,0.000011
-300.320870,-221.956178,14.033030,0.000010
-305.206182,-223.020884,14.041799,0.000008
-310.091493,-224.085590,14.050568,0.000007
-314.976572,-225.151359,14.059337,0.000006
-319.861081,-226.219736,14.068106,0.000004
-324.744955,-227.291011,14.074207,0.000002
-329.629220,-228.360496,14.073541,0.000001
-334.513790,-229.428595,14.072419,-0.000001
-339.398195,-230.497451,14.069924,-0.000002
-344.282527,-231.566652,14.066804,-0.000003
-349.167728,-232.631638,14.054377,-0.000004
-354.053463,-233.694010,14.031928,-0.000005
-358.939601,-234.754510,14.006664,-0.000006
-363.824529,-235.820578,13.983854,-0.000009
-368.708522,-236.891181,13.970752,-0.000014
-373.592349,-237.962579,13.959095,-0.000023
-378.476969,-239.030370,13.947438,-0.000039
-383.362183,-240.095459,13.935781,-0.000066
-388.247955,-241.157997,13.928236,-0.000109
-393.133242,-242.222814,13.927908,-0.000174
-398.018528,-243.287631,13.927579,-0.000270
-402.903113,-244.355594,13.933215,-0.000406
-407.787626,-245.423860,13.940934,-0.000591
-412.671778,-246.492948,13.965851,-0.000834
-417.556851,-247.557598,14.000655,-0.001142
-422.441690,-248.623058,14.038725,-0.001521
-427.327663,-249.682423,14.088625,-0.001972
-432.215472,-250.732677,14.145726,-0.002493
-437.104782,-251.775691,14.204275,-0.003079
-441.995008,-252.814489,14.260542,-0.003719
-446.885746,-253.849920,14.317069,-0.004400
-451.802698,-254.702942,14.385365,-0.005106
-456.689151,-255.323923,14.533975,-0.005820
-461.641677,-255.747019,14.629572,-0.006522
-466.595015,-256.131416,14.725181,-0.007194
-471.562340,-256.366054,14.828949,-0.007822
-476.527143,-256.352760,14.941324,-0.008391
-481.497265,-256.106401,15.083184,-0.008892
-486.431989,-255.590632,15.242068,-0.009319
-491.311905,-254.670847,15.400878,-0.009669
-496.145844,-253.571076,15.567848,-0.009945
-500.918544,-252.252193,15.735953,-0.010150
-505.598101,-250.649563,15.907392,-0.010293
-510.176679,-248.695308,16.101297,-0.010384
-514.697906,-246.629759,16.300439,-0.010434
-519.077946,-244.304746,16.483259,-0.010456
-523.271810,-241.676640,16.627202,-0.010461
-527.337689,-238.820907,16.758811,-0.010461
-531.361755,-235.888956,16.900563,-0.010465
-535.185208,-232.696441,17.050153,-0.010481
-538.723133,-229.197599,17.202447,-0.010513
-542.134543,-225.570251,17.335661,-0.010563
-545.348334,-221.803696,17.460159,-0.010629
-548.477039,-217.978939,17.594019,-0.010709
-551.397390,-213.982948,17.735341,-0.010798
-554.029281,-209.745546,17.886978,-0.010890
-556.347623,-205.357417,18.033236,-0.010981
-558.576478,-200.931295,18.170459,-0.011068
-560.358073,-196.306280,18.318349,-0.011149
-561.901781,-191.586216,18.464853,-0.011227
-563.424516,-186.863418,18.626277,-0.011307
-564.276099,-181.980483,18.804731,-0.011396
-564.978729,-177.073754,18.958281,-0.011504
-565.541788,-172.141031,19.113845,-0.011643
-565.796489,-167.183173,19.315843,-0.011823
-565.752930,-162.209327,19.483642,-0.012053
-565.454376,-157.258797,19.681198,-0.012338
-564.678284,-152.352253,19.847458,-0.012679
-563.797847,-147.458518,20.005042,-0.013073
-562.751589,-142.609661,20.145083,-0.013511
-561.132435,-137.932415,20.250573,-0.013981
-559.412001,-133.275237,20.355472,-0.014465
-557.316862,-128.816347,20.457205,-0.014947
-554.775918,-124.607516,20.528559,-0.015411
-552.000928,-120.524430,20.606296,-0.015843
-548.837494,-116.765673,20.686195,-0.016237
-545.389247,-113.261409,20.744487,-0.016593
-541.539591,-110.182709,20.770773,-0.016915
-537.508844,-107.397448,20.789798,-0.017220
-533.198132,-105.041081,20.801741,-0.017523
-528.670997,-103.120824,20.797305,-0.017848
-524.046249,-101.456776,20.777241,-0.018215
-519.279290,-100.169435,20.728087,-0.018643
-514.403915,-99.407305,20.588018,-0.019146
-509.501306,-98.966499,20.433843,-0.019728
-504.581713,-99.088560,20.327730,-0.020384
-499.769023,-99.802276,20.210299,-0.021096
-495.001586,-100.772317,20.088057,-0.021828
-490.422800,-102.443181,19.992632,-0.022527
-485.982261,-104.458999,19.892007,-0.023121
-481.802161,-107.021623,19.782157,-0.023524
-478.420508,-110.484708,19.554667,-0.023637
-475.249214,-114.064790,19.280136,-0.023360
-472.719373,-117.923270,18.966936,-0.022604
-470.799988,-122.070093,18.576663,-0.021301
-469.327573,-126.448883,18.222320,-0.019415
-468.996754,-131.221158,17.818332,-0.016950
-469.260892,-135.985409,17.435698,-0.013948
-470.149132,-140.775810,17.039996,-0.010487
-471.418039,-145.478110,16.630389,-0.006672
-473.191584,-150.105386,16.295088,-0.002623
-475.013466,-154.735134,16.001779,0.001530
-476.639183,-159.424844,15.657023,0.005663
-477.994802,-164.161760,15.383179,0.009659
-479.123807,-168.915707,15.125105,0.013417
-479.499050,-173.713568,14.950037,0.016852
-479.108871,-178.373049,14.829855,0.019901
-478.094007,-182.865101,14.724197,0.022517
-476.347167,-187.292533,14.620645,0.024675
-474.005378,-191.457355,14.518263,0.026363
-471.127190,-195.362764,14.443671,0.027583
-467.744825,-198.652650,14.368698,0.028346
-463.703142,-201.129109,14.293676,0.028672
-459.363649,-203.118403,14.260197,0.028590
-454.938095,-203.715454,14.216627,0.028135
-450.406095,-203.519946,14.187042,0.027352
-445.729411,-202.904627,14.148968,0.026294
-441.013618,-202.017835,14.147443,0.025019
-436.542854,-200.450307,14.143063,0.023591
-432.533860,-197.697601,14.139568,0.022071
-428.572601,-194.844927,14.137006,0.020521
