#x_m,y_m,z_m,kappa
58.820000,397.340000,53.700000,-0.000203
60.706577,401.970416,53.700000,-0.000194
62.593155,406.600832,53.700000,-0.000194
64.480740,411.230837,53.700000,-0.000199
66.369348,415.860428,53.700000,-0.000204
68.259670,420.489318,53.700000,-0.000206
70.147392,425.119272,53.700000,-0.000201
72.037326,429.748321,53.700000,-0.000187
73.930075,434.376218,53.700000,-0.000165
75.824671,439.003360,53.700000,-0.000138
77.719726,443.630316,53.700000,-0.000107
79.615348,448.257040,53.700000,-0.000075
81.510531,452.883942,53.699362,-0.000045
83.403383,457.511784,53.693816,-0.000017
85.297239,462.139217,53.688270,0.000009
87.189748,466.767199,53.682724,0.000035
89.081128,471.395650,53.680000,0.000064
90.971562,476.024493,53.680000,0.000097
92.860554,480.653914,53.676153,0.000137
94.749446,485.283354,53.663505,0.000186
96.642080,489.911222,53.656898,0.000247
98.535195,494.538888,53.651364,0.000319
100.421396,499.169400,53.645080,0.000404
102.303263,503.801707,53.645979,0.000500
104.186079,508.433622,53.653497,0.000607
106.068895,513.065537,53.661016,0.000722
107.950627,517.697886,53.671728,0.000841
109.773063,522.352073,53.684769,0.000960
111.573450,527.015006,53.694447,0.001074
113.373838,531.677939,53.704126,0.001176
115.116620,536.362627,53.712762,0.001258
116.825761,541.060222,53.718445,0.001314
118.532756,545.758601,53.724127,0.001334
120.182564,550.477967,53.729809,0.001313
121.813331,555.203857,53.737196,0.001243
123.369608,559.953185,53.757472,0.001122
124.836113,564.731671,53.788852,0.000946
126.225053,569.534201,53.834519,0.000715
127.613994,574.336730,53.880186,0.000430
128.992249,579.142325,53.929034,0.000091
130.340136,583.956726,53.984789,-0.000301
131.665384,588.777439,54.048675,-0.000748
133.009801,593.592714,54.114396,-0.001255
134.356709,598.407282,54.180320,-0.001830
135.807138,603.180967,54.246079,-0.002484
137.352538,607.918153,54.323803,-0.003229
138.897938,612.655338,54.401528,-0.004076
140.473312,617.383657,54.477877,-0.005036
142.120961,622.089391,54.547894,-0.006114
143.807640,626.783206,54.601276,-0.007308
145.555447,631.456485,54.650893,-0.008609
147.479267,636.062812,54.692884,-0.010001
149.577246,640.597008,54.722347,-0.011459
151.957708,644.922268,54.738894,-0.012950
154.605753,649.031678,54.756786,-0.014440
157.520134,652.984885,54.783535,-0.015891
160.944571,656.483122,54.832579,-0.017269
164.486863,659.789010,54.884345,-0.018543
168.410814,662.663512,54.909346,-0.019691
172.550259,665.154758,54.950705,-0.020695
177.108534,666.793678,54.960000,-0.021545
181.743644,668.235597,54.958755,-0.022239
186.574677,668.689023,54.912892,-0.022773
191.428952,668.888659,54.866023,-0.023149
196.199369,668.311203,54.860162,-0.023364
200.883603,667.230507,54.818341,-0.023418
205.362314,665.571101,54.769091,-0.023309
209.587921,663.205497,54.746056,-0.023035
213.628298,660.606090,54.699027,-0.022599
216.996330,657.143348,54.630658,-0.022005
219.958902,653.304557,54.561754,-0.021262
222.557300,649.232307,54.497465,-0.020383
224.607873,644.767100,54.451181,-0.019384
226.510655,640.231192,54.402107,-0.018281
227.663683,635.472548,54.349958,-0.017095
228.505013,630.617488,54.332531,-0.015845
228.830964,625.691938,54.325191,-0.014552
228.779695,620.744488,54.304364,-0.013238
228.326757,615.800849,54.260921,-0.011926
227.467112,610.891389,54.228134,-0.010639
226.509549,605.995532,54.205348,-0.009399
225.446005,601.124710,54.181092,-0.008227
224.090715,596.321478,54.129662,-0.007140
222.623135,591.544662,54.066197,-0.006150
221.107835,586.783118,53.999700,-0.005263
219.499757,582.050686,53.923244,-0.004481
217.821460,577.342531,53.844452,-0.003798
216.089194,572.653921,53.761857,-0.003203
214.318747,567.980458,53.682291,-0.002681
212.497512,563.326198,53.587592,-0.002217
210.656625,558.679727,53.500399,-0.001792
208.754422,554.058210,53.422788,-0.001389
206.788062,549.462351,53.343162,-0.000992
204.803607,544.873942,53.272458,-0.000588
202.790943,540.297627,53.222699,-0.000165
200.762901,535.727820,53.181365,0.000282
198.727402,531.161590,53.158002,0.000759
196.686824,526.597499,53.145112,0.001264
194.656949,522.028672,53.159367,0.001794
192.690546,517.433848,53.182630,0.002343
190.776520,512.817314,53.228027,0.002898
188.866459,508.199577,53.273039,0.003445
187.068999,503.543681,53.312363,0.003969
185.363216,498.851769,53.374404,0.004449
183.758808,494.129491,53.429794,0.004867
182.291991,489.366210,53.463427,0.005200
181.035153,484.544819,53.475991,0.005431
180.002191,479.673931,53.485732,0.005542
179.019452,474.789712,53.500505,0.005518
178.290437,469.862629,53.481633,0.005348
177.904996,464.896524,53.436655,0.005024
177.551814,459.925292,53.388573,0.004541
177.394319,454.937687,53.331029,0.003898
177.257738,449.949101,53.271891,0.003096
177.453222,444.959847,53.207529,0.002139
177.747174,439.970932,53.139479,0.001036
178.034208,434.982455,53.077006,-0.000201
178.303270,429.998027,53.057134,-0.001556
