#x_m,y_m,z_m,kappa
-161.780000,-161.160000,78.620000,-0.000771
-166.771794,-161.445494,78.641282,-0.000462
-171.763588,-161.730987,78.662564,-0.000238
-176.755381,-162.016481,78.683846,-0.000083
-181.747232,-162.300942,78.704947,0.000019
-186.739559,-162.576843,78.724287,0.000079
-191.732004,-162.850630,78.743356,0.000107
-196.724639,-163.120730,78.766557,0.000111
-201.717234,-163.391472,78.790841,0.000094
-206.709572,-163.667061,78.813741,0.000063
-211.701662,-163.946895,78.836294,0.000021
-216.693776,-164.226315,78.858266,-0.000028
-221.685621,-164.510290,78.882237,-0.000080
-226.677429,-164.794925,78.905633,-0.000133
-231.669410,-165.076712,78.927795,-0.000184
-236.661325,-165.359472,78.951200,-0.000230
-241.653804,-165.631736,78.975020,-0.000269
-246.646423,-165.901235,78.998564,-0.000299
-251.639440,-166.163214,79.018027,-0.000319
-256.633576,-166.399573,79.030880,-0.000328
-261.628581,-166.617517,79.043351,-0.000326
-266.624743,-166.809608,79.061039,-0.000315
-271.621540,-166.985283,79.074390,-0.000297
-276.618251,-167.163595,79.089996,-0.000276
-281.615269,-167.333413,79.112118,-0.000257
-286.612526,-167.496200,79.139344,-0.000245
-291.609901,-167.655384,79.167106,-0.000246
-296.607188,-167.817753,79.191014,-0.000265
-301.604324,-167.985101,79.211690,-0.000308
-306.601380,-168.155246,79.228823,-0.000376
-311.598258,-168.330312,79.245923,-0.000474
-316.594730,-168.516975,79.261794,-0.000600
-321.591191,-168.703930,79.278021,-0.000754
-326.588227,-168.871332,79.294978,-0.000933
-331.585999,-169.015329,79.316496,-0.001132
-336.583926,-169.154069,79.341347,-0.001344
-341.582089,-169.283746,79.366926,-0.001561
-346.580660,-169.364901,79.390327,-0.001777
-351.579829,-169.366480,79.412581,-0.001982
-356.579108,-169.353161,79.434660,-0.002170
-361.576988,-169.286530,79.455372,-0.002333
-366.569618,-169.067119,79.474417,-0.002466
-371.561743,-168.826857,79.494913,-0.002565
-376.548511,-168.502027,79.517913,-0.002627
-381.525754,-168.036840,79.545215,-0.002651
-386.494885,-167.508242,79.572138,-0.002639
-391.464016,-166.979644,79.599060,-0.002592
-396.420703,-166.356074,79.628758,-0.002512
-401.368033,-165.654592,79.659198,-0.002404
-406.302477,-164.863537,79.688016,-0.002272
-411.218050,-163.953610,79.712598,-0.002121
-416.132991,-163.039713,79.737101,-0.001956
-421.038139,-162.072708,79.761053,-0.001781
-425.942064,-161.100425,79.789377,-0.001603
-430.831790,-160.060512,79.821984,-0.001425
-435.709452,-158.963182,79.846079,-0.001252
-440.585471,-157.858050,79.870538,-0.001087
-445.456772,-156.732488,79.903506,-0.000932
-450.327799,-155.605741,79.936966,-0.000789
-455.195564,-154.465015,79.971046,-0.000659
-460.056825,-153.296134,80.006954,-0.000540
-464.918086,-152.127253,80.042862,-0.000432
-469.777914,-150.952452,80.081019,-0.000332
-474.636063,-149.770688,80.121118,-0.000238
-479.494026,-148.588170,80.161367,-0.000147
-484.350516,-147.399610,80.200935,-0.000056
-489.206584,-146.209176,80.236362,0.000036
-494.061217,-145.012780,80.268978,0.000132
-498.916963,-143.821020,80.303879,0.000234
-503.772809,-142.629701,80.339750,0.000343
-508.627352,-141.432999,80.373357,0.000458
-513.481658,-140.235391,80.408448,0.000581
-518.339851,-139.054105,80.448285,0.000710
-523.207126,-137.912653,80.490504,0.000844
-528.079781,-136.795667,80.531709,0.000982
-532.955912,-135.693377,80.572327,0.001123
-537.836670,-134.611129,80.614060,0.001262
-542.722594,-133.551492,80.650296,0.001400
-547.608519,-132.491854,80.686532,0.001532
-552.502783,-131.473520,80.729807,0.001658
-557.420081,-130.574389,80.779379,0.001774
-562.342056,-129.700026,80.830931,0.001877
-567.274469,-128.888561,80.879520,0.001966
-572.215535,-128.129147,80.925602,0.002038
-577.156820,-127.371913,80.971466,0.002090
-582.109257,-126.707875,81.008246,0.002119
-587.065615,-126.072616,81.043282,0.002125
-592.030803,-125.503052,81.075427,0.002107
-597.007593,-125.026982,81.102011,0.002065
-601.987643,-124.590075,81.133746,0.002002
-606.974992,-124.259001,81.185801,0.001920
-611.966800,-123.990972,81.242644,0.001824
-616.961913,-123.784307,81.281814,0.001717
-621.957825,-123.595456,81.314212,0.001605
-626.953736,-123.406604,81.346610,0.001493
-631.949647,-123.217753,81.379009,0.001384
-636.947209,-123.081732,81.399709,0.001282
-641.946529,-123.018027,81.408859,0.001190
-646.946119,-122.974914,81.419395,0.001110
-651.945782,-122.942900,81.433507,0.001044
-656.945598,-122.936179,81.456111,0.000990
-661.945375,-122.945854,81.483264,0.000951
-666.945109,-122.975408,81.516413,0.000924
-671.944718,-123.017076,81.549222,0.000911
-676.944120,-123.077337,81.581357,0.000909
-681.943340,-123.156887,81.605660,0.000916
-686.942432,-123.247964,81.626947,0.000932
-691.940422,-123.374914,81.646293,0.000953
-696.937821,-123.522384,81.665187,0.000976
-701.935017,-123.677496,81.686696,0.000999
-706.931590,-123.848745,81.707984,0.001019
-711.925902,-124.083265,81.729074,0.001034
-716.919981,-124.322253,81.749955,0.001042
-721.910718,-124.619836,81.765988,0.001042
-726.899188,-124.951412,81.776356,0.001034
-731.886519,-125.301159,81.784086,0.001018
-736.872476,-125.670317,81.789929,0.000994
-741.856051,-126.070247,81.794165,0.000963
-746.838655,-126.484596,81.796936,0.000926
-751.821258,-126.898946,81.799706,0.000885
-756.797557,-127.382916,81.807403,0.000842
-761.771313,-127.893587,81.815366,0.000796
-766.742940,-128.424374,81.818332,0.000749
-771.713599,-128.964581,81.814341,0.000702
-776.685152,-129.493392,81.810350,0.000656
-781.653891,-130.049383,81.806359,0.000612
-786.621171,-130.619704,81.802368,0.000568
-791.585972,-131.211019,81.805824,0.000527
-796.549024,-131.817193,81.815182,0.000487
-801.511313,-132.429457,81.826348,0.000449
-806.470752,-133.064549,81.844173,0.000413
-811.430192,-133.699641,81.861998,0.000379
-816.389098,-134.338752,81.878289,0.000347
-821.347236,-134.983656,81.892371,0.000320
-826.303699,-135.641385,81.899971,0.000297
-831.257608,-136.318607,81.900000,0.000282
-836.211500,-136.995962,81.900000,0.000276
-841.164918,-137.676841,81.900000,0.000280
-846.118691,-138.355143,81.900000,0.000299
-851.072543,-139.032841,81.900000,0.000333
-856.026396,-139.710540,81.900000,0.000384
-860.980107,-140.389275,81.900000,0.000455
-865.932984,-141.074052,81.900000,0.000544
-870.884071,-141.771139,81.900000,0.000652
-875.834113,-142.475149,81.900000,0.000777
-880.782712,-143.189401,81.900000,0.000917
-885.727829,-143.927194,81.900000,0.001067
-890.672598,-144.667332,81.900000,0.001223
-895.614221,-145.428782,81.900000,0.001379
-900.555553,-146.192196,81.900000,0.001528
-905.475818,-147.063287,81.900000,0.001664
-910.383881,-147.997827,81.900000,0.001779
-915.286450,-148.960893,81.900000,0.001867
-920.181416,-149.965252,81.900000,0.001922
