#x_m,y_m,z_m,kappa
-163.640000,1.060000,238.800000,0.000399
-167.519933,4.213520,238.800000,0.000323
-171.391105,7.377901,238.800000,0.000268
-175.264660,10.539424,238.800000,0.000228
-179.134037,13.706067,238.800000,0.000198
-183.001230,16.875387,238.800000,0.000173
-186.868296,20.044863,238.800000,0.000149
-190.733569,23.216527,238.800000,0.000125
-194.596922,26.390543,238.800000,0.000100
-198.460274,29.564558,238.800000,0.000077
-202.322395,32.740078,238.800000,0.000057
-206.184679,35.915390,238.803075,0.000040
-210.047702,39.089791,238.809249,0.000028
-213.911516,42.263229,238.815423,0.000019
-217.771563,45.441231,238.818424,0.000013
-221.631878,48.618909,238.812332,0.000010
-225.492720,51.795943,238.807308,0.000007
-229.357565,54.968092,238.808049,0.000005
-233.221534,58.141339,238.814734,0.000002
-237.086083,61.313870,238.820662,-0.000001
-240.952796,64.483737,238.821956,-0.000004
-244.819656,67.653426,238.823251,-0.000007
-248.688066,70.821226,238.819928,-0.000009
-252.555016,73.990824,238.811670,-0.000010
-256.418557,77.164580,238.805525,-0.000010
-260.278700,80.342471,238.800000,-0.000009
-264.136426,83.523335,238.800000,-0.000006
-267.992881,86.705737,238.800000,-0.000003
-271.850096,89.887199,238.800000,0.000001
-275.711491,93.063577,238.800000,0.000004
-279.575586,96.236679,238.800000,0.000007
-283.440980,99.408222,238.800000,0.000009
-287.306963,102.579051,238.800000,0.000010
-291.173548,105.749146,238.800000,0.000010
-295.038721,108.920956,238.800000,0.000010
-298.901090,112.096173,238.800000,0.000009
-302.760901,115.274506,238.800000,0.000008
-306.621382,118.452027,238.800000,0.000006
-310.485351,121.625305,238.800000,0.000004
-314.349461,124.798414,238.800000,0.000002
-318.213610,127.971474,238.800000,-0.000001
-322.079937,131.141817,238.794199,-0.000003
-325.947246,134.310888,238.781583,-0.000004
-329.814532,137.479988,238.768967,-0.000005
-333.680349,140.650812,238.750082,-0.000004
-337.542698,143.825773,238.722931,-0.000000
-341.405195,147.000509,238.690268,0.000007
-345.266104,150.176964,238.634076,0.000017
-349.126506,153.354019,238.575618,0.000031
-352.986953,156.531031,238.517871,0.000048
-356.847800,159.707656,238.466461,0.000070
-360.708653,162.884273,238.414970,0.000094
-364.569470,166.060697,238.352939,0.000120
-368.432016,169.234573,238.268933,0.000148
-372.295406,172.407379,238.183242,0.000176
-376.158422,175.580477,238.092093,0.000204
-380.025761,178.748044,237.996596,0.000229
-383.903665,181.902399,237.896082,0.000251
-387.783759,185.053956,237.791367,0.000268
-391.668309,188.199868,237.680338,0.000280
-395.561379,191.335121,237.564826,0.000285
-399.458481,194.465242,237.444693,0.000284
-403.362947,197.586155,237.327012,0.000277
-407.271180,200.702362,237.210725,0.000262
-411.179923,203.817917,237.094199,0.000243
-415.101677,206.917174,236.978440,0.000218
-419.034249,210.003035,236.867973,0.000192
-422.966821,213.088897,236.757507,0.000164
-426.901561,216.172154,236.651305,0.000137
-430.835744,219.256027,236.542539,0.000112
-434.770099,222.339663,236.433261,0.000092
-438.702751,225.425394,236.322079,0.000076
-442.633380,228.513725,236.211598,0.000066
-446.559825,231.607464,236.103529,0.000062
-450.486850,234.700492,235.996370,0.000062
-454.415996,237.790823,235.889457,0.000066
-458.345142,240.881154,235.782544,0.000072
-462.276492,243.968757,235.677894,0.000078
-466.209716,247.054043,235.575208,0.000084
-470.143442,250.138712,235.473308,0.000087
-474.077378,253.223109,235.371361,0.000086
-478.021059,256.294924,235.267184,0.000080
-481.968354,259.362185,235.165108,0.000069
-485.915768,262.429170,235.059008,0.000052
-489.861061,265.498885,234.952355,0.000029
-493.808382,268.566007,234.846783,-0.000000
-497.758410,271.629635,234.740964,-0.000037
-501.710640,274.690443,234.635503,-0.000080
-505.663455,277.750601,234.533269,-0.000130
-509.612879,280.815127,234.431288,-0.000187
-513.561522,283.880595,234.327273,-0.000253
-517.509703,286.946620,234.222057,-0.000327
-521.456569,290.014295,234.116293,-0.000412
-525.394080,293.093682,234.006303,-0.000508
-529.324561,296.182066,233.897515,-0.000619
-533.244968,299.283071,233.785409,-0.000746
-537.163542,302.386463,233.674462,-0.000894
-541.071932,305.502895,233.568252,-0.001068
-544.973780,308.627756,233.469845,-0.001274
-548.854608,311.777520,233.365813,-0.001520
-552.708242,314.960479,233.261770,-0.001814
-556.549033,318.159470,233.159448,-0.002166
-560.377970,321.372075,233.054890,-0.002587
-564.175000,324.620899,232.943146,-0.003089
-567.930774,327.917059,232.821068,-0.003684
-571.637241,331.265556,232.692285,-0.004383
-575.301070,334.658410,232.560353,-0.005198
-578.923688,338.092955,232.425268,-0.006141
-582.488649,341.579629,232.279358,-0.007221
-585.998454,345.120484,232.130103,-0.008446
-589.272667,348.864664,231.991685,-0.009820
-592.444571,352.696207,231.840570,-0.011341
-595.363196,356.700593,231.680288,-0.012999
-598.105177,360.804322,231.551081,-0.014772
-600.604002,365.058398,231.428649,-0.016623
-602.728341,369.467439,231.304942,-0.018498
-604.442645,374.012120,231.166556,-0.020328
-605.622826,378.642431,231.020351,-0.022029
-606.267738,383.281940,230.885896,-0.023510
-606.186191,387.956574,230.769416,-0.024681
-605.400394,392.458406,230.654991,-0.025463
-603.709033,396.819038,230.527269,-0.025796
-601.403071,400.789563,230.395880,-0.025653
-598.621543,404.392972,230.260600,-0.025038
-595.274764,407.429982,230.183349,-0.023991
-591.507011,410.064368,230.104551,-0.022580
-587.183223,412.136167,230.015997,-0.020894
-582.545366,413.626078,229.970216,-0.019032
-577.723995,414.635109,229.874692,-0.017092
-572.823545,415.340510,229.785474,-0.015163
-567.877963,415.785184,229.685775,-0.013316
-562.907283,415.922777,229.590439,-0.011605
-557.926975,415.824407,229.479761,-0.010067
-552.946002,415.564710,229.349029,-0.008718
-547.969044,415.198840,229.234203,-0.007562
-542.999730,414.702070,229.123077,-0.006593
-538.038275,414.148997,228.999921,-0.005797
-533.094503,413.443990,228.874289,-0.005156
-528.160643,412.667170,228.751579,-0.004649
-523.240254,411.810199,228.634070,-0.004257
-518.335785,410.862367,228.532205,-0.003959
-513.451998,409.818934,228.426408,-0.003738
-508.581070,408.710898,228.299862,-0.003579
-503.730066,407.524255,228.176071,-0.003468
-498.897592,406.254068,228.058523,-0.003394
-494.085501,404.915336,227.945366,-0.003349
-489.281705,403.544130,227.834331,-0.003326
-484.516653,402.045810,227.720261,-0.003320
-479.777342,400.467503,227.609323,-0.003326
-475.052945,398.850403,227.505958,-0.003342
-470.387930,397.066449,227.417465,-0.003362
-465.733044,395.255067,227.330539,-0.003385
-461.091607,393.407935,227.243087,-0.003404
-456.480416,391.489843,227.151354,-0.003418
-451.918502,389.466930,227.060443,-0.003423
-447.392555,387.352796,226.982993,-0.003415
-442.890440,385.189780,226.907735,-0.003392
-438.465260,382.878216,226.835987,-0.003353
-434.081266,380.486969,226.762699,-0.003296
-429.731396,378.037333,226.695434,-0.003223
-425.432261,375.494274,226.631446,-0.003134
-421.154691,372.912806,226.570455,-0.003030
-416.925530,370.252228,226.510842,-0.002914
-412.722017,367.555060,226.450390,-0.002787
-408.574387,364.767786,226.394415,-0.002651
-404.466820,361.919447,226.340569,-0.002507
-400.383749,359.037351,226.288263,-0.002358
-396.335115,356.107764,226.229402,-0.002203
-392.339405,353.104679,226.177455,-0.002045
-388.370869,350.066705,226.127948,-0.001886
-384.432997,346.987574,226.080624,-0.001726
-380.503575,343.896995,226.031456,-0.001568
