#x_m,y_m,z_m,kappa
-135.800000,-49.100000,187.220000,-0.000195
-135.361285,-44.119384,187.248407,-0.000186
-134.922570,-39.138769,187.276813,-0.000187
-134.483965,-34.158141,187.304613,-0.000193
-134.043588,-29.177656,187.327229,-0.000198
-133.598921,-24.197561,187.351457,-0.000199
-133.155093,-19.217379,187.373384,-0.000192
-132.713049,-14.237017,187.392057,-0.000176
-132.269845,-9.256785,187.415690,-0.000151
-131.827224,-4.276500,187.437288,-0.000120
-131.384977,0.703797,187.464927,-0.000087
-130.944307,5.684241,187.494092,-0.000055
-130.506250,10.664933,187.521076,-0.000027
-130.068232,15.645629,187.548145,-0.000004
-129.631560,20.626445,187.575134,0.000012
-129.193544,25.607148,187.601184,0.000023
-128.754490,30.587764,187.626641,0.000029
-128.319923,35.568746,187.655775,0.000030
-127.889411,40.550090,187.683270,0.000029
-127.462224,45.531720,187.709800,0.000026
-127.039328,50.513713,187.736802,0.000022
-126.615766,55.495657,187.762482,0.000018
-126.187384,60.477212,187.784721,0.000014
-125.756804,65.458576,187.808014,0.000011
-125.326304,70.439945,187.831404,0.000008
-124.895685,75.421305,187.854859,0.000006
-124.462168,80.402362,187.883571,0.000004
-124.031609,85.383661,187.911578,0.000003
-123.602959,90.365141,187.938988,0.000002
-123.175185,95.346730,187.965730,0.000001
-122.747484,100.328327,187.992365,-0.000001
-122.319783,105.309923,188.019000,-0.000003
-121.890006,110.291351,188.043702,-0.000005
-121.462110,115.272943,188.067327,-0.000007
-121.034958,120.254599,188.090837,-0.000009
-120.608352,125.236293,188.115788,-0.000010
-120.182079,130.217983,188.146563,-0.000011
-119.755311,135.199609,188.180802,-0.000010
-119.323281,140.180792,188.212480,-0.000008
-118.890474,145.161913,188.243415,-0.000006
-118.455737,150.142874,188.273268,-0.000003
-118.016634,155.123485,188.295419,-0.000000
-117.577281,160.104087,188.315403,0.000002
-117.144000,165.085230,188.332267,0.000005
-116.719032,170.067081,188.348956,0.000006
-116.293503,175.048873,188.372670,0.000007
-115.867153,180.030592,188.397997,0.000007
-115.438926,185.012148,188.423568,0.000006
-115.009253,189.993579,188.449326,0.000005
-114.579580,194.975010,188.475084,0.000004
-114.147328,199.956213,188.501436,0.000003
-113.715107,204.937416,188.526752,0.000002
-113.285868,209.918877,188.551248,0.000002
-112.855556,214.900229,188.578230,0.000003
-112.428573,219.881874,188.604839,0.000004
-112.001728,224.863537,188.631118,0.000005
-111.570259,229.844801,188.658158,0.000006
-111.138789,234.826065,188.685198,0.000007
-110.708265,239.807431,188.709484,0.000008
-110.277670,244.788789,188.733895,0.000008
-109.845088,249.769923,188.766654,0.000007
-109.414317,254.751203,188.800203,0.000005
-108.988981,259.732959,188.829369,0.000003
-108.567188,264.715041,188.852586,0.000001
-108.144608,269.697072,188.874961,-0.000002
-107.720230,274.678941,188.901174,-0.000004
-107.293192,279.660563,188.930864,-0.000006
-106.866045,284.642178,188.959884,-0.000007
-106.434890,289.623467,188.986003,-0.000007
-106.000474,294.604474,189.012651,-0.000006
-105.569513,299.585814,189.033742,-0.000004
-105.138951,304.567192,189.054209,-0.000001
-104.709761,309.548684,189.075563,0.000002
-104.279828,314.530108,189.098016,0.000005
-103.849552,319.511503,189.120657,0.000008
-103.419276,324.492897,189.143299,0.000010
-102.989188,329.474308,189.165774,0.000012
-102.559470,334.455729,189.191819,0.000013
-102.131092,339.437218,189.225616,0.000012
-101.702714,344.418707,189.259412,0.000011
-101.274970,349.400251,189.293133,0.000008
-100.854098,354.382388,189.326019,0.000005
-100.431192,359.364381,189.353576,0.000001
-100.004845,364.346096,189.377995,-0.000003
-99.578497,369.327811,189.402414,-0.000007
-99.150727,374.309404,189.427059,-0.000011
-98.725724,379.291242,189.451325,-0.000014
-98.302694,384.273251,189.475691,-0.000016
-97.877845,389.255103,189.499952,-0.000018
-97.448610,394.236583,189.523135,-0.000018
-97.017179,399.217874,189.545849,-0.000018
-96.583692,404.198987,189.569645,-0.000017
-96.150206,409.180099,189.593441,-0.000015
-95.717792,414.161291,189.619628,-0.000013
-95.286203,419.142546,189.645984,-0.000011
-94.855019,424.123834,189.672261,-0.000009
-94.422088,429.104983,189.696076,-0.000007
-93.993079,434.086493,189.716918,-0.000005
-93.565422,439.068138,189.732529,-0.000003
-93.133576,444.049419,189.747204,-0.000000
-92.700829,449.030620,189.762430,0.000002
-92.266539,454.011664,189.783442,0.000005
-91.833168,458.992763,189.809768,0.000007
-91.398114,463.973706,189.838022,0.000010
-90.965127,468.954800,189.870562,0.000012
-90.535697,473.936177,189.906748,0.000014
-90.105134,478.917481,189.939971,0.000015
-89.673985,483.898776,189.965118,0.000015
-89.239933,488.879825,189.988642,0.000015
-88.809266,493.861175,190.009878,0.000013
-88.384816,498.843060,190.032060,0.000011
-87.961082,503.824998,190.056591,0.000010
-87.538973,508.807076,190.081633,0.000008
-87.116863,513.789154,190.106674,0.000006
-86.687933,518.770649,190.128271,0.000006
-86.257798,523.752038,190.149436,0.000006
-85.821801,528.732926,190.165612,0.000006
-85.389782,533.714155,190.185142,0.000006
-84.959921,538.695568,190.206102,0.000007
-84.534738,543.677362,190.233413,0.000007
-84.108370,548.659058,190.259144,0.000006
-83.681989,553.640751,190.285488,0.000006
-83.255474,558.622410,190.318161,0.000005
-82.833350,563.604447,190.349391,0.000005
-82.411313,568.586500,190.379076,0.000004
-81.986789,573.568337,190.409409,0.000005
-81.559647,578.549962,190.438978,0.000007
-81.132290,583.531568,190.468321,0.000010
-80.704489,588.513140,190.497194,0.000015
-80.274862,593.494551,190.527190,0.000020
-79.845150,598.475956,190.557238,0.000024
-79.414670,603.457316,190.583747,0.000029
-78.983981,608.438660,190.609913,0.000032
-78.554882,613.420128,190.637808,0.000033
