#x_m,y_m,z_m,kappa
166.840000,-61.220000,74.080000,-0.000293
170.086423,-65.019890,73.934212,-0.000184
173.332845,-68.819781,73.788424,-0.000106
176.581707,-72.617622,73.643264,-0.000053
179.830407,-76.415770,73.502227,-0.000018
183.079069,-80.213969,73.361643,0.000003
186.325698,-84.013817,73.218761,0.000015
189.572697,-87.813288,73.074284,0.000020
192.821006,-91.611476,72.925926,0.000021
196.069877,-95.409194,72.778665,0.000020
199.321254,-99.204914,72.635178,0.000017
202.571807,-103.001531,72.496098,0.000014
205.821215,-106.799243,72.359633,0.000011
209.070293,-110.597383,72.227239,0.000008
212.319766,-114.395202,72.095411,0.000006
215.573070,-118.189889,71.968142,0.000005
218.826226,-121.984624,71.838746,0.000004
222.075924,-125.782162,71.705132,0.000004
225.323620,-129.580941,71.559096,0.000005
228.569509,-133.380958,71.405232,0.000005
231.815708,-137.180680,71.250620,0.000006
235.064133,-140.978899,71.105682,0.000006
238.315516,-144.774484,70.958060,0.000005
241.567267,-148.569810,70.811983,0.000004
244.819605,-152.364792,70.670052,0.000001
248.072119,-156.159695,70.529652,-0.000002
251.324227,-159.955000,70.390544,-0.000006
254.576336,-163.750305,70.251436,-0.000009
257.829360,-167.544833,70.112512,-0.000012
261.080483,-171.340910,69.971397,-0.000015
264.330169,-175.138253,69.831224,-0.000016
267.579634,-178.935758,69.690384,-0.000016
270.827983,-182.734092,69.546145,-0.000014
274.079035,-186.530110,69.402094,-0.000010
277.328725,-190.327189,69.255540,-0.000006
280.571631,-194.130017,69.107304,-0.000001
283.813879,-197.933408,68.959148,0.000003
287.054407,-201.738303,68.812005,0.000007
290.299267,-205.540047,68.680333,0.000010
293.549623,-209.337262,68.553267,0.000012
296.802513,-213.132332,68.426718,0.000011
300.054835,-216.927671,68.294195,0.000010
303.307200,-220.722735,68.155090,0.000007
306.561027,-224.516423,68.012614,0.000003
309.813332,-228.311212,67.864484,-0.000001
313.065194,-232.106393,67.716651,-0.000005
316.315633,-235.902867,67.570837,-0.000008
319.565505,-239.700129,67.433017,-0.000011
322.814335,-243.498333,67.296678,-0.000013
326.059894,-247.299483,67.164634,-0.000015
329.304303,-251.101657,67.033772,-0.000017
332.548713,-254.903831,66.902909,-0.000019
335.800382,-258.699943,66.776550,-0.000022
339.053662,-262.494203,66.637930,-0.000025
342.305191,-266.289770,66.493834,-0.000029
345.554052,-270.087477,66.345306,-0.000033
348.800529,-273.887398,66.200796,-0.000038
352.046556,-277.687694,66.056014,-0.000042
355.292110,-281.488387,65.911014,-0.000046
358.535370,-285.291010,65.765083,-0.000049
361.778577,-289.093685,65.619346,-0.000051
365.020675,-292.897301,65.473568,-0.000052
368.261749,-296.701786,65.327799,-0.000051
371.502054,-300.506928,65.182177,-0.000050
374.740638,-304.313501,65.035933,-0.000047
377.976433,-308.122604,64.893852,-0.000044
381.210275,-311.933431,64.753516,-0.000039
384.442639,-315.745680,64.617953,-0.000034
387.676374,-319.557119,64.492689,-0.000029
390.911875,-323.367123,64.369335,-0.000023
394.147124,-327.177399,64.247758,-0.000018
397.383927,-330.986258,64.123441,-0.000012
400.615951,-334.798971,63.993267,-0.000008
403.846376,-338.612968,63.860913,-0.000003
407.073065,-342.429696,63.716864,0.000001
410.304121,-346.242515,63.567828,0.000005
413.537721,-350.053115,63.417385,0.000008
416.777979,-353.858303,63.272392,0.000012
420.018351,-357.663428,63.128204,0.000015
423.255078,-361.471775,62.987272,0.000019
426.486569,-365.284611,62.847467,0.000022
429.714067,-369.101105,62.715178,0.000024
432.945203,-372.914538,62.583578,0.000027
436.178005,-376.726561,62.452011,0.000028
439.410807,-380.538584,62.320444,0.000029
442.649932,-384.345038,62.183445,0.000029
445.894728,-388.146531,62.042443,0.000029
449.139962,-391.947647,61.901312,0.000028
452.384251,-395.749580,61.760561,0.000027
455.626502,-399.553288,61.621012,0.000027
458.865629,-403.359910,61.489250,0.000026
462.102841,-407.168236,61.360837,0.000025
465.336786,-410.979276,61.229534,0.000023
468.573094,-414.788484,61.103004,0.000020
471.810484,-418.596752,60.975965,0.000015
475.053325,-422.400219,60.844510,0.000009
478.299744,-426.200315,60.703682,0.000002
481.550739,-429.996441,60.562154,-0.000007
484.806640,-433.788302,60.419685,-0.000017
488.058378,-437.583713,60.276398,-0.000027
491.301109,-441.386797,60.131252,-0.000037
494.541711,-445.191300,59.977008,-0.000046
497.781817,-448.996131,59.820582,-0.000054
501.015690,-452.806727,59.676838,-0.000061
504.250571,-456.617139,59.550735,-0.000068
507.485023,-460.427888,59.423906,-0.000075
510.720387,-464.237801,59.294923,-0.000084
513.955236,-468.048038,59.162014,-0.000096
517.193529,-471.855458,59.032941,-0.000112
520.433288,-475.661751,58.907830,-0.000134
523.662895,-479.476589,58.779515,-0.000164
526.889657,-483.293769,58.648888,-0.000205
530.113275,-487.113570,58.517280,-0.000261
533.337835,-490.932640,58.387670,-0.000335
536.561859,-494.751998,58.253968,-0.000432
539.784522,-498.572429,58.118548,-0.000559
543.007184,-502.392861,57.983127,-0.000721
546.220120,-506.221662,57.854023,-0.000925
549.412553,-510.067692,57.726723,-0.001177
552.604648,-513.914000,57.599315,-0.001483
555.781796,-517.772413,57.468098,-0.001848
558.947595,-521.640106,57.337313,-0.002273
562.107084,-525.513030,57.209563,-0.002761
565.266572,-529.385954,57.081812,-0.003306
568.377383,-533.295694,56.954141,-0.003903
571.305249,-537.342875,56.830086,-0.004540
574.229120,-541.393025,56.705805,-0.005203
577.034532,-545.511938,56.571606,-0.005871
579.763075,-549.677820,56.432584,-0.006526
582.398665,-553.906804,56.292061,-0.007144
584.859736,-558.238621,56.147091,-0.007704
587.046069,-562.713215,55.998357,-0.008189
589.079564,-567.254853,55.849332,-0.008584
590.776027,-571.905351,55.701906,-0.008881
592.023751,-576.720938,55.552630,-0.009074
593.140480,-581.589010,55.404425,-0.009165
594.200398,-586.464101,55.257824,-0.009159
594.744213,-591.398362,55.123793,-0.009066
595.121572,-596.357556,54.989649,-0.008899
595.451758,-601.325962,54.854951,-0.008676
595.572226,-606.288097,54.731156,-0.008417
595.199999,-611.256452,54.628987,-0.008148
594.777316,-616.221904,54.531043,-0.007896
593.978756,-621.144316,54.449982,-0.007691
592.994420,-626.044497,54.377554,-0.007564
591.909210,-630.920290,54.329146,-0.007543
590.726460,-635.773178,54.291828,-0.007650
589.482422,-640.613085,54.262313,-0.007901
588.142298,-645.428402,54.249255,-0.008299
586.748072,-650.227613,54.247266,-0.008838
585.180806,-654.964930,54.255774,-0.009499
583.439879,-659.636429,54.240076,-0.010249
581.491164,-664.224407,54.247390,-0.011052
579.304250,-668.712459,54.276759,-0.011862
576.706930,-672.935689,54.311448,-0.012638
573.895329,-677.001497,54.353917,-0.013339
570.783792,-680.882589,54.402826,-0.013935
567.353816,-684.437478,54.451596,-0.014407
563.521005,-687.587065,54.501840,-0.014745
559.454142,-690.411402,54.558295,-0.014955
555.112671,-692.818030,54.646836,-0.015050
550.731502,-695.113924,54.711906,-0.015052
546.092368,-696.795665,54.778846,-0.014985
541.283712,-698.029639,54.859595,-0.014877
536.453606,-699.187176,54.950365,-0.014749
531.513606,-699.816073,55.064738,-0.014618
526.553209,-700.302137,55.180610,-0.014494
521.577819,-700.387036,55.309177,-0.014378
516.621567,-700.112605,55.457170,-0.014265
511.716169,-699.250124,55.614911,-0.014141
506.878425,-698.195338,55.763833,-0.013988
502.123684,-696.847171,55.908047,-0.013786
497.462118,-695.192946,56.069786,-0.013515
492.973171,-693.062846,56.246063,-0.013155
488.631009,-690.626436,56.401492,-0.012692
484.438471,-687.970357,56.543052,-0.012121
480.518877,-684.912086,56.670520,-0.011440
476.892471,-681.503992,56.777821,-0.010660
473.360193,-678.017669,56.882047,-0.009795
470.196024,-674.177561,56.979007,-0.008870
467.093022,-670.268573,57.070434,-0.007909
464.144980,-666.240962,57.151265,-0.006942
461.339433,-662.108712,57.226623,-0.005995
458.643027,-657.902532,57.311808,-0.005092
456.001646,-653.659441,57.396542,-0.004251
