#x_m,y_m,z_m,kappa
216.840000,-50.020000,606.420000,0.002212
220.127567,-46.253211,606.420000,0.001469
223.415133,-42.486422,606.420000,0.000921
226.706102,-38.722649,606.420000,0.000533
230.011024,-34.971074,606.416388,0.000264
233.323093,-31.225698,606.411385,0.000083
236.645330,-27.489180,606.406383,-0.000036
239.967088,-23.752227,606.401381,-0.000109
243.300073,-20.025206,606.400000,-0.000147
246.638039,-16.302601,606.400000,-0.000159
249.982268,-12.585609,606.400000,-0.000150
253.327351,-8.869381,606.400000,-0.000129
256.672714,-5.153403,606.400000,-0.000100
260.011431,-1.431465,606.398343,-0.000070
263.346269,2.293944,606.394450,-0.000043
266.679290,6.020978,606.387041,-0.000021
270.015384,9.745262,606.379633,-0.000004
273.351732,13.469309,606.369515,0.000007
276.688441,17.193009,606.355251,0.000013
280.023115,20.918499,606.348007,0.000014
283.357789,24.643990,606.340764,0.000011
286.694920,28.367142,606.357984,0.000005
290.026397,32.095456,606.371654,-0.000003
293.354922,35.826487,606.375930,-0.000013
296.684284,39.556773,606.379561,-0.000023
300.014101,43.286671,606.378428,-0.000032
303.343919,47.016568,606.377294,-0.000040
306.673896,50.746325,606.380632,-0.000042
310.009013,54.471484,606.382767,-0.000037
313.347178,58.193909,606.382161,-0.000019
316.688357,61.913624,606.381555,0.000018
320.032063,65.631034,606.374827,0.000082
323.373476,69.350480,606.365865,0.000184
326.712505,73.072025,606.362666,0.000336
330.062835,76.783360,606.373015,0.000553
333.415316,80.492766,606.381438,0.000851
336.773019,84.197508,606.381664,0.001246
340.125658,87.906864,606.367502,0.001753
343.479235,91.615363,606.356153,0.002386
346.837449,95.319573,606.342932,0.003155
350.187833,99.030580,606.333107,0.004064
353.518825,102.758761,606.329817,0.005110
356.822950,106.508632,606.329744,0.006285
359.987966,110.367185,606.329626,0.007569
363.107069,114.262241,606.321694,0.008940
366.087726,118.242291,606.320000,0.010364
368.768490,122.401897,606.335516,0.011805
371.219910,126.676234,606.353783,0.013222
373.283823,131.062000,606.366289,0.014572
374.932725,135.619947,606.380737,0.015814
376.141383,140.366644,606.406746,0.016914
376.852402,145.109368,606.405402,0.017842
377.266260,149.823153,606.402745,0.018580
377.033187,154.562856,606.397932,0.019117
376.171076,159.251387,606.402966,0.019457
374.918447,163.906276,606.398151,0.019610
373.028731,168.288532,606.378972,0.019593
370.754257,172.507303,606.347197,0.019429
368.066838,176.569869,606.323043,0.019143
365.003439,180.290783,606.312376,0.018760
361.529397,183.649620,606.267767,0.018303
357.814645,186.748413,606.212885,0.017792
353.734669,189.399040,606.188474,0.017245
349.437375,191.687753,606.137700,0.016676
344.979204,193.686095,606.090942,0.016097
340.398583,195.337583,606.077423,0.015518
335.638223,196.540402,606.049218,0.014944
330.804280,197.468920,606.011596,0.014381
325.908075,197.902156,606.004107,0.013829
320.978689,198.140132,606.001962,0.013288
316.042595,198.182390,606.000766,0.012755
311.157994,197.721788,606.010066,0.012226
306.266673,197.044903,606.019367,0.011695
301.431457,196.012645,606.022627,0.011159
296.708895,194.629580,606.042292,0.010613
292.026555,193.071416,606.065877,0.010054
287.392259,191.312247,606.087242,0.009480
282.864019,189.277794,606.123679,0.008891
278.387712,187.142469,606.167356,0.008284
274.075992,184.656622,606.194679,0.007660
269.799420,182.108285,606.220692,0.007016
265.705994,179.260921,606.245738,0.006348
261.638751,176.376247,606.269615,0.005652
257.627300,173.406616,606.299671,0.004921
253.680747,170.361062,606.335013,0.004147
249.860296,167.166936,606.373354,0.003325
246.138465,163.840338,606.389712,0.002448
242.417113,160.513171,606.406143,0.001512
238.741062,157.132249,606.429560,0.000516
235.090877,153.718783,606.445305,-0.000536
231.458248,150.283809,606.454678,-0.001635
227.845750,146.827790,606.463943,-0.002771
224.238399,143.369228,606.483479,-0.003925
220.565976,139.987071,606.512765,-0.005078
216.737061,136.803958,606.536878,-0.006208
212.835923,133.731195,606.550177,-0.007289
208.800706,130.868876,606.557319,-0.008297
204.669716,128.144239,606.567461,-0.009210
200.352140,125.763270,606.576221,-0.010007
195.926861,123.608089,606.585890,-0.010671
191.365468,121.731023,606.589733,-0.011191
186.779783,120.034946,606.588926,-0.011560
182.080790,118.853419,606.572087,-0.011780
177.267984,117.932301,606.554742,-0.011859
172.373991,117.387510,606.542939,-0.011810
167.482149,117.120385,606.522003,-0.011652
162.546062,117.404999,606.494669,-0.011407
157.620512,117.780353,606.458936,-0.011100
152.732383,118.331293,606.409980,-0.010756
147.866952,119.319911,606.350740,-0.010399
143.027524,120.450976,606.304109,-0.010049
138.279707,121.832274,606.253986,-0.009724
133.586166,123.429782,606.192538,-0.009437
129.002236,125.345469,606.128560,-0.009196
124.455828,127.386839,606.073311,-0.009005
119.943564,129.496136,606.011475,-0.008864
115.518740,131.769322,605.943523,-0.008768
111.288467,134.338633,605.854637,-0.008712
107.152968,137.067628,605.747874,-0.008689
103.154282,140.021623,605.620566,-0.008688
99.193083,143.019409,605.499667,-0.008701
95.314538,146.122467,605.383413,-0.008719
91.707729,149.504617,605.285128,-0.008733
88.370645,153.174032,605.198509,-0.008736
85.087157,156.897453,605.116667,-0.008721
81.887901,160.709897,605.039695,-0.008683
78.847348,164.620250,604.967399,-0.008616
76.142050,168.736520,604.914667,-0.008514
73.607552,172.994760,604.879706,-0.008372
71.197206,177.342831,604.864087,-0.008185
68.927978,181.765999,604.859681,-0.007950
66.886531,186.301537,604.864125,-0.007662
65.039147,190.906353,604.859082,-0.007320
63.504904,195.621629,604.833515,-0.006926
62.072682,200.373386,604.804501,-0.006484
60.787830,205.170349,604.764925,-0.006001
59.753275,210.048732,604.708786,-0.005487
58.746474,214.930484,604.654547,-0.004954
57.880119,219.842062,604.600444,-0.004416
57.243283,224.799182,604.565545,-0.003886
56.628748,229.758868,604.531583,-0.003379
56.052355,234.723578,604.499548,-0.002906
55.528540,239.694959,604.458994,-0.002475
55.031182,244.668685,604.410388,-0.002091
54.556709,249.644715,604.358906,-0.001758
54.101802,254.622648,604.313388,-0.001474
53.659552,259.601632,604.287252,-0.001236
53.223219,264.581070,604.266164,-0.001039
52.805436,269.561999,604.256177,-0.000878
52.453470,274.549134,604.256759,-0.000747
52.113483,279.537455,604.257148,-0.000641
51.774446,284.525843,604.255002,-0.000555
51.439818,289.514550,604.254805,-0.000486
51.113270,294.503827,604.257097,-0.000432
50.794037,299.493597,604.259794,-0.000390
50.476065,304.483452,604.260000,-0.000359
50.160586,309.473446,604.266718,-0.000337
49.847108,314.463545,604.282986,-0.000323
49.543268,319.454205,604.302979,-0.000315
49.241875,324.445025,604.318909,-0.000310
48.949145,329.436352,604.331466,-0.000307
48.663614,334.428055,604.345444,-0.000302
48.396739,339.420772,604.364275,-0.000296
48.136653,344.413858,604.386482,-0.000286
47.899652,349.408062,604.418983,-0.000274
47.666307,354.402419,604.450963,-0.000258
47.436527,359.396938,604.482810,-0.000239
47.216535,364.391939,604.515999,-0.000219
46.995989,369.386900,604.551602,-0.000197
46.774827,374.381820,604.589351,-0.000176
46.557435,379.376942,604.624192,-0.000155
46.346501,384.372379,604.655964,-0.000134
46.135816,389.367829,604.687447,-0.000114
45.927960,394.363405,604.715986,-0.000096
45.729551,399.359399,604.734519,-0.000078
45.533896,404.355503,604.752960,-0.000062
45.338242,409.351606,604.771400,-0.000047
45.139436,414.347580,604.794242,-0.000034
44.941903,419.343612,604.815513,-0.000024
44.744369,424.339645,604.836783,-0.000016
44.547349,429.335713,604.855567,-0.000011
44.350104,434.331768,604.873990,-0.000009
44.150182,439.327697,604.888330,-0.000011
43.950259,444.323627,604.902670,-0.000016
43.740250,449.319131,604.892909,-0.000024
43.528885,454.314554,604.868517,-0.000033
43.322194,459.310170,604.845243,-0.000042
43.119936,464.305982,604.821767,-0.000052
42.919333,469.301915,604.808065,-0.000061
42.723210,474.298031,604.796063,-0.000068
42.528185,479.294197,604.785545,-0.000073
42.338971,484.290576,604.772207,-0.000076
42.151168,489.287005,604.757645,-0.000076
41.965176,494.283491,604.742691,-0.000075
41.785486,499.280207,604.724316,-0.000071
41.603728,504.276860,604.710102,-0.000065
41.423046,509.273567,604.698779,-0.000058
41.242521,514.270280,604.687554,-0.000050
41.065375,519.267103,604.673854,-0.000041
40.891965,524.264049,604.657619,-0.000032
40.719670,529.261043,604.643361,-0.000023
40.547375,534.258038,604.629104,-0.000015
40.373534,539.254991,604.619379,-0.000007
40.201696,544.252020,604.612856,-0.000001
40.029859,549.249048,604.606333,0.000003
39.858479,554.246100,604.603506,0.000005
39.680695,559.242930,604.600798,0.000005
39.501775,564.239721,604.600000,0.000003
39.322586,569.236505,604.600000,0.000000
39.142324,574.233249,604.600000,-0.000004
38.957978,579.229842,604.600000,-0.000009
38.771019,584.226334,604.601308,-0.000012
38.588398,589.222977,604.605024,-0.000015
38.416188,594.219995,604.611031,-0.000016
38.244858,599.217045,604.617309,-0.000016
38.074247,604.214119,604.624886,-0.000014
37.905799,609.211263,604.634563,-0.000011
37.737537,614.208422,604.640640,-0.000007
37.566396,619.205469,604.649615,-0.000003
37.393883,624.202458,604.661067,0.000001
37.221237,629.199442,604.672289,0.000004
37.043955,634.196255,604.675765,0.000006
36.869035,639.193158,604.668824,0.000006
36.693217,644.190031,604.661367,0.000006
36.517529,649.186922,604.665641,0.000005
36.340131,654.183729,604.667794,0.000004
36.163579,659.180548,604.663602,0.000003
35.987352,664.177368,604.655591,0.000001
35.812430,669.174259,604.646776,0.000000
35.637685,674.171173,604.641177,-0.000001
35.466089,679.168207,604.631489,-0.000001
35.294658,684.165246,604.621475,-0.000001
35.119576,689.162139,604.604435,-0.000001
34.943014,694.158979,604.586729,-0.000001
34.765301,699.155783,604.569813,-0.000000
34.587907,704.152597,604.553115,0.000000
34.415713,709.149598,604.542618,0.000001
34.239827,714.146465,604.535649,0.000002
34.065637,719.143395,604.530778,0.000003
33.890461,724.140303,604.525014,0.000004
33.719740,729.137379,604.519359,0.000004
33.549940,734.134487,604.514580,0.000005
33.374981,739.131409,604.509866,0.000005
33.197923,744.128254,604.504091,0.000004
33.018918,749.125024,604.496198,0.000004
32.840181,754.121788,604.480905,0.000003
32.660933,759.118526,604.462308,0.000001
32.481730,764.115264,604.443277,0.000000
32.307997,769.112183,604.421484,-0.000001
32.137163,774.109202,604.398943,-0.000002
31.965124,779.106176,604.376640,-0.000003
31.790033,784.103018,604.352699,-0.000003
31.612240,789.099769,604.329229,-0.000003
31.432669,794.096460,604.305884,-0.000003
31.253915,799.093178,604.281710,-0.000003
31.079791,804.090081,604.257803,-0.000002
30.905812,809.087006,604.237079,-0.000001
30.733939,814.084010,604.219838,-0.000001
30.562230,819.081021,604.202935,-0.000000
30.390254,824.078024,604.186930,0.000000
30.214122,829.074892,604.173620,0.000000
30.037826,834.071755,604.160175,0.000000
29.859857,839.068532,604.146285,-0.000000
29.679759,844.065201,604.130015,-0.000001
29.504499,849.062089,604.120803,-0.000001
29.329516,854.058996,604.113117,-0.000002
29.155309,859.055929,604.105431,-0.000002
28.982317,864.052918,604.100735,-0.000002
28.809150,869.049912,604.100000,-0.000001
28.636194,874.046915,604.100000,-0.000000
28.458647,879.043746,604.103281,0.000001
28.281475,884.040572,604.113912,0.000002
28.104984,889.037392,604.133506,0.000003
27.933206,894.034375,604.153099,0.000004
27.761217,899.031314,604.176881,0.000004
27.590604,904.028264,604.204464,0.000002
27.419882,909.025186,604.237346,-0.000001
27.240465,914.021818,604.266180,-0.000007
27.057565,919.018369,604.288826,-0.000016
26.873323,924.014842,604.318308,-0.000031
26.698436,929.011618,604.355488,-0.000054
26.526110,934.008492,604.391544,-0.000088
26.349556,939.005164,604.432113,-0.000140
26.173359,944.001831,604.474908,-0.000215
25.997412,948.998516,604.516682,-0.000322
25.825181,953.995471,604.538216,-0.000469
25.654248,958.992490,604.555778,-0.000664
25.484196,963.989542,604.571023,-0.000918
25.314139,968.986580,604.585911,-0.001236
25.144683,973.983637,604.599540,-0.001627
24.962751,978.980205,604.600000,-0.002095
24.798109,983.977102,604.595355,-0.002642
24.660515,988.974575,604.580487,-0.003271
24.561841,993.972208,604.561167,-0.003983
24.542315,998.966757,604.547046,-0.004777
24.635625,1003.953976,604.535897,-0.005652
24.891962,1008.931305,604.527946,-0.006610
25.216687,1013.903718,604.513020,-0.007648
25.854287,1018.831485,604.482223,-0.008762
26.579259,1023.747609,604.451080,-0.009942
27.488186,1028.622024,604.439157,-0.011174
28.660406,1033.446451,604.430477,-0.012429
30.112730,1038.175847,604.471772,-0.013668
31.852779,1042.796173,604.471683,-0.014840
34.006106,1047.211372,604.457557,-0.015882
36.315633,1051.531950,604.423761,-0.016725
39.203307,1055.372470,604.350707,-0.017302
42.435659,1058.849111,604.293328,-0.017557
45.990809,1061.857499,604.258126,-0.017453
49.907323,1064.343749,604.207386,-0.016977
54.134451,1066.371343,604.095240,-0.016147
58.552932,1067.940970,603.978670,-0.015007
63.225266,1069.116374,603.848543,-0.013622
68.034993,1070.006109,603.723737,-0.012073
72.949535,1070.516849,603.595758,-0.010445
77.926551,1070.763162,603.473328,-0.008818
82.920813,1070.871136,603.361175,-0.007261
87.918145,1070.925955,603.262315,-0.005828
92.916704,1070.934521,603.147635,-0.004555
97.914757,1070.922352,603.016987,-0.003463
102.912790,1070.918745,602.884128,-0.002555
