# x_m,y_m
-4.311561,-4.500027
-7.919548,-1.039517
-11.528651,2.419830
-15.138803,5.878082
-18.749938,9.335307
-22.361992,12.791572
-25.974898,16.246946
-29.588592,19.701498
-33.203007,23.155294
-36.818078,26.608403
-40.433740,30.060894
-44.049927,33.512834
-47.666575,36.964292
-51.283617,40.415336
-54.900989,43.866035
-58.518626,47.316456
-62.136462,50.766668
-65.754433,54.216740
-69.372472,57.666739
-72.990515,61.116734
-76.608497,64.566794
-80.226352,68.016986
-83.844016,71.467379
-87.461423,74.918041
-91.078508,78.369041
-94.695205,81.820447
-98.311451,85.272326
-101.927179,88.724748
-105.542323,92.177780
-109.156820,95.631491
-112.770603,99.085948
-116.383608,102.541219
-119.995768,105.997374
-123.607018,109.454478
-127.217301,112.912593
-130.826619,116.371715
-134.435001,119.831814
-138.042476,123.292858
-141.649074,126.754816
-145.254824,130.217657
-148.859757,133.681349
-152.463901,137.145862
-156.067286,140.611164
-159.669942,144.077224
-163.271899,147.544011
-166.873186,151.011493
-170.473834,154.479640
-174.073872,157.948419
-177.673330,161.417800
-181.272238,164.887752
-184.870624,168.358245
-188.468390,171.829381
-192.065272,175.301432
-195.659319,178.776417
-199.237495,182.267685
-202.765246,185.809750
-206.204345,189.437920
-209.531313,193.169222
-212.732590,197.008810
-215.792450,200.961893
-218.693039,205.033213
-221.414272,209.226547
-223.934127,213.543878
-226.224937,217.986792
-228.241665,222.560432
-229.937192,227.262435
-231.262141,232.080570
-232.131947,237.000795
-232.571264,241.976290
-232.634757,246.975434
-232.386802,251.968611
-231.882626,256.942133
-231.176114,261.892366
-230.321739,266.818996
-229.375241,271.728820
-228.383988,276.629440
-227.383270,281.526597
-226.429446,286.433099
-225.591574,291.361525
-224.895912,296.311855
-224.351872,301.281037
-223.967517,306.264687
-223.751319,311.259301
-223.719791,316.259102
-223.902695,321.253654
-224.315689,326.235591
-224.936105,331.197302
-225.737514,336.130279
-226.710355,341.033071
-227.854578,345.900025
-229.178996,350.719647
-230.691241,355.484100
-232.386737,360.187158
-234.255029,364.823853
-236.286192,369.391682
-238.470016,373.888569
-240.796754,378.313171
-243.257154,382.664956
-245.842335,386.943768
-248.543742,391.150165
