#x_m,y_m,z_m,kappa
-5.540000,119.300000,2227.100000,-0.001152
-0.599099,118.534232,2227.100000,-0.001019
4.341803,117.768465,2227.100000,-0.000948
9.281422,116.994368,2227.100000,-0.000919
14.218133,116.201534,2227.100000,-0.000907
19.154249,115.405062,2227.100000,-0.000890
24.088090,114.594615,2227.100000,-0.000852
29.020885,113.777999,2227.106086,-0.000785
33.953703,112.961539,2227.113180,-0.000691
38.884460,112.132550,2227.120273,-0.000577
43.814951,111.301956,2227.127367,-0.000453
48.745242,110.470212,2227.136964,-0.000332
53.675240,109.636762,2227.146259,-0.000221
58.605574,108.805366,2227.143483,-0.000128
63.535909,107.973970,2227.140708,-0.000054
68.467055,107.147661,2227.144865,0.000002
73.399620,106.329973,2227.152641,0.000043
78.332323,105.513032,2227.164051,0.000072
83.265538,104.699038,2227.178585,0.000093
88.199246,103.887689,2227.175306,0.000108
93.132867,103.075781,2227.169885,0.000119
98.066541,102.264202,2227.164463,0.000127
103.001512,101.460821,2227.153160,0.000133
107.937445,100.663400,2227.140402,0.000138
112.873776,99.868431,2227.127643,0.000142
117.809337,99.068648,2227.114885,0.000144
122.746273,98.277714,2227.104769,0.000145
127.683520,97.488617,2227.100000,0.000145
132.622286,96.708905,2227.100000,0.000143
137.562755,95.939709,2227.100000,0.000139
142.503217,95.170460,2227.100000,0.000134
147.443679,94.401211,2227.100000,0.000128
152.384062,93.631468,2227.100000,0.000120
157.325825,92.870657,2227.100000,0.000110
162.268185,92.113693,2227.100000,0.000100
167.210545,91.356730,2227.100000,0.000089
172.153124,90.601213,2227.100000,0.000078
177.095979,89.847494,2227.100000,0.000067
182.039789,89.100081,2227.100000,0.000056
186.983628,88.352873,2227.100000,0.000045
191.927772,87.607673,2227.100000,0.000036
196.872063,86.863431,2227.100000,0.000028
201.816469,86.119944,2227.099509,0.000021
206.759921,85.370176,2227.095876,0.000015
211.703032,84.618151,2227.092242,0.000011
216.645961,83.864926,2227.088609,0.000008
221.589132,83.113316,2227.084976,0.000007
226.532618,82.363797,2227.081342,0.000006
231.476876,81.619414,2227.083604,0.000005
236.420645,80.871814,2227.089321,0.000006
241.364379,80.124007,2227.095037,0.000006
246.308431,79.378298,2227.100000,0.000008
251.252341,78.631557,2227.100000,0.000010
256.196671,77.887679,2227.100000,0.000012
261.140214,77.138626,2227.100000,0.000015
266.083555,76.388230,2227.100000,0.000019
271.026474,75.635006,2227.100000,0.000023
275.969810,74.884431,2227.100000,0.000027
280.913635,74.137112,2227.100000,0.000031
285.857935,73.392966,2227.100000,0.000036
290.802243,72.648875,2227.100000,0.000041
295.746976,71.907587,2227.100000,0.000046
300.692073,71.168692,2227.100000,0.000053
305.637180,70.429832,2227.100000,0.000062
310.582298,69.691053,2227.100000,0.000074
315.527454,68.952525,2227.100000,0.000088
320.472572,68.213743,2227.100000,0.000105
325.417689,67.474961,2227.100000,0.000125
330.362796,66.736108,2227.100000,0.000147
335.308026,65.998092,2227.100000,0.000170
340.253461,65.261464,2227.100000,0.000194
345.199063,64.525963,2227.100000,0.000218
350.146228,63.801256,2227.097589,0.000241
355.096314,63.097230,2227.090591,0.000262
360.048103,62.405145,2227.082483,0.000281
365.000064,61.714249,2227.074375,0.000297
369.952025,61.023353,2227.066267,0.000310
374.905162,60.340887,2227.059105,0.000319
379.858791,59.662465,2227.043145,0.000326
384.814097,58.996273,2227.032813,0.000330
389.772823,58.355768,2227.027170,0.000330
394.731870,57.717727,2227.020732,0.000328
399.690916,57.079686,2227.014294,0.000321
404.650446,56.445525,2227.007856,0.000312
409.611770,55.825713,2227.002372,0.000299
414.574907,55.220185,2227.000000,0.000283
419.539906,54.629755,2227.000000,0.000264
424.505670,54.045824,2227.000000,0.000244
429.471451,53.462036,2227.000000,0.000221
434.437601,52.881427,2227.000000,0.000198
439.404222,52.304895,2226.997111,0.000174
444.371567,51.734618,2226.995504,0.000149
449.339230,51.167125,2226.997986,0.000125
454.307295,50.603210,2227.004059,0.000102
459.275643,50.041866,2227.015311,0.000079
464.244269,49.483049,2227.031653,0.000058
469.212904,48.924334,2227.039731,0.000038
474.181540,48.365639,2227.046186,0.000020
479.150317,47.808195,2227.038834,0.000004
484.119360,47.253189,2227.023578,-0.000010
489.088204,46.696324,2227.013091,-0.000022
494.056583,46.135415,2227.003391,-0.000032
499.024138,45.567007,2226.999053,-0.000040
503.991434,44.996324,2226.992842,-0.000046
508.958753,44.425836,2226.986632,-0.000049
513.926558,43.859532,2226.980421,-0.000051
518.894195,43.291770,2226.986216,-0.000051
523.861812,42.723829,2226.992884,-0.000049
528.829093,42.152983,2226.999552,-0.000045
533.795679,41.576015,2226.997516,-0.000040
538.762238,40.998792,2226.994854,-0.000034
543.728690,40.420647,2226.992191,-0.000027
548.694626,39.838137,2226.986808,-0.000019
553.660180,39.252402,2226.978834,-0.000011
558.626110,38.669905,2226.970861,-0.000004
563.592225,38.089019,2226.962888,0.000003
568.558804,37.512291,2226.964387,0.000009
573.526231,36.943117,2226.964575,0.000014
578.492383,36.362894,2226.966849,0.000017
583.458574,35.782964,2226.966391,0.000018
588.425091,35.205786,2226.959590,0.000017
