#x_m,y_m,z_m,kappa
197.200000,4.340000,25.000000,-0.001304
201.432770,1.678565,25.014853,-0.001033
205.665539,-0.982871,25.029707,-0.000829
209.898309,-3.644306,25.044560,-0.000677
214.131078,-6.305741,25.059414,-0.000563
218.366242,-8.963375,25.073896,-0.000473
222.599091,-11.624693,25.085694,-0.000394
226.830186,-14.288808,25.094757,-0.000321
231.062588,-16.950868,25.099209,-0.000251
235.294193,-19.614211,25.100000,-0.000185
239.525303,-22.278343,25.100000,-0.000125
243.756871,-24.941746,25.100000,-0.000071
247.987989,-27.605872,25.100000,-0.000025
252.221006,-30.266984,25.100000,0.000015
256.455557,-32.925656,25.100000,0.000049
260.690707,-35.583373,25.099096,0.000079
264.927216,-38.238901,25.092306,0.000107
269.164094,-40.893756,25.070600,0.000134
273.401274,-43.548112,25.046394,0.000161
277.638563,-46.202304,25.023198,0.000187
281.876522,-48.855471,25.006288,0.000213
286.114811,-51.508142,24.997696,0.000238
290.359980,-54.149756,24.988064,0.000261
294.607340,-56.787827,24.974528,0.000281
298.866081,-59.407305,24.952441,0.000298
303.125041,-62.026423,24.930264,0.000312
307.393435,-64.630106,24.914428,0.000324
311.670483,-67.219695,24.904614,0.000335
315.949103,-69.806728,24.895593,0.000347
320.227818,-72.393583,24.883838,0.000362
324.513168,-74.969481,24.868865,0.000380
328.799609,-77.543578,24.853628,0.000405
333.088693,-80.113214,24.839425,0.000437
337.386474,-82.668243,24.826726,0.000475
341.686052,-85.220257,24.812779,0.000520
345.987293,-87.769458,24.797417,0.000568
350.292270,-90.312365,24.778867,0.000618
354.605471,-92.841177,24.759476,0.000664
358.923201,-95.362286,24.741857,0.000705
363.253853,-97.860854,24.726731,0.000734
367.598036,-100.335370,24.710633,0.000751
371.948333,-102.799037,24.693735,0.000752
376.321131,-105.222649,24.674298,0.000735
380.725139,-107.589638,24.643493,0.000703
385.140192,-109.935771,24.605059,0.000654
389.555246,-112.281904,24.566624,0.000591
393.970299,-114.628037,24.528190,0.000516
398.388149,-116.968970,24.496852,0.000430
402.818642,-119.286069,24.473033,0.000335
407.255372,-121.591391,24.447766,0.000228
411.693215,-123.894592,24.431993,0.000107
416.131477,-126.196996,24.419784,-0.000033
420.569749,-128.499382,24.407608,-0.000201
425.007780,-130.802129,24.403534,-0.000406
429.441970,-133.112062,24.408960,-0.000661
433.877637,-135.419013,24.433414,-0.000980
438.312060,-137.727938,24.498917,-0.001382
442.742804,-140.044009,24.559203,-0.001883
447.172562,-142.362013,24.617348,-0.002502
451.599550,-144.685195,24.659288,-0.003260
456.020298,-147.020118,24.697167,-0.004173
460.403639,-149.422926,24.743197,-0.005256
464.733371,-151.918737,24.797011,-0.006518
469.036307,-154.457860,24.834417,-0.007962
473.287384,-157.082962,24.840260,-0.009578
477.426233,-159.864940,24.830431,-0.011339
481.490266,-162.757252,24.812023,-0.013201
485.367064,-165.866477,24.782031,-0.015100
488.950981,-169.311396,24.708307,-0.016950
492.351857,-172.909391,24.622702,-0.018650
495.232133,-176.851944,24.531447,-0.020089
497.428398,-181.189308,24.446704,-0.021159
499.203247,-185.691911,24.379279,-0.021767
499.852201,-190.439940,24.345712,-0.021850
499.986857,-195.214627,24.322558,-0.021379
499.107557,-199.965884,24.319739,-0.020369
497.385948,-204.509266,24.337789,-0.018871
494.929514,-208.791000,24.365954,-0.016969
492.268107,-212.953611,24.389765,-0.014761
489.363980,-216.972587,24.413250,-0.012353
486.077324,-220.708258,24.443171,-0.009845
482.636302,-224.332192,24.454956,-0.007326
479.113151,-227.876728,24.480125,-0.004864
475.550608,-231.384363,24.510259,-0.002515
472.009101,-234.912757,24.522198,-0.000318
468.481437,-238.455077,24.544505,0.001698
465.061464,-242.086316,24.569758,0.003508
461.737298,-245.802152,24.578678,0.005092
458.597331,-249.682917,24.560471,0.006431
455.605003,-253.665392,24.531289,0.007505
452.829140,-257.799757,24.498397,0.008296
450.300025,-262.079391,24.466950,0.008786
448.213642,-266.586400,24.442759,0.008965
446.232010,-271.157449,24.418130,0.008828
444.602732,-275.836923,24.400978,0.008382
443.430086,-280.661437,24.400000,0.007646
442.612616,-285.560899,24.400000,0.006651
442.048333,-290.519658,24.400000,0.005440
441.568749,-295.482152,24.400000,0.004066
441.319640,-300.463652,24.398564,0.002586
441.247039,-305.462421,24.405239,0.001059
441.159985,-310.458109,24.394742,-0.000460
440.880313,-315.441750,24.377440,-0.001921
440.548496,-320.423194,24.353908,-0.003286
439.983923,-325.376967,24.324983,-0.004528
439.071286,-330.273579,24.292703,-0.005629
438.081960,-335.156594,24.261962,-0.006585
436.785529,-339.981115,24.240986,-0.007396
435.342794,-344.757901,24.225863,-0.008068
433.844760,-349.513771,24.212868,-0.008612
432.273935,-354.235475,24.204183,-0.009036
430.094517,-358.720289,24.220379,-0.009349
427.799181,-363.155215,24.242449,-0.009557
425.209393,-367.391546,24.272319,-0.009665
422.494435,-371.545729,24.299221,-0.009678
419.482726,-375.493762,24.329543,-0.009600
416.251892,-379.290732,24.365917,-0.009439
412.886875,-382.959488,24.405896,-0.009203
409.252477,-386.356867,24.460916,-0.008905
405.527623,-389.666478,24.522929,-0.008560
401.697150,-392.837224,24.589344,-0.008185
397.551471,-395.612462,24.662048,-0.007795
393.358263,-398.326515,24.736910,-0.007407
389.105204,-400.937739,24.807954,-0.007035
384.784829,-403.441450,24.874084,-0.006689
380.439609,-405.898928,24.945422,-0.006377
375.996867,-408.165422,25.029674,-0.006104
371.482911,-410.303293,25.117890,-0.005871
366.913701,-412.319366,25.197348,-0.005676
362.280240,-414.176267,25.266821,-0.005518
357.609703,-415.947588,25.338172,-0.005391
352.890316,-417.579919,25.399647,-0.005291
348.122333,-419.071763,25.451342,-0.005215
343.325760,-420.475250,25.494711,-0.005157
338.508084,-421.797183,25.541427,-0.005114
333.658569,-422.982945,25.597001,-0.005083
328.771104,-424.002455,25.659232,-0.005063
323.862047,-424.908520,25.707615,-0.005049
318.930589,-425.713103,25.751377,-0.005042
313.982396,-426.394981,25.775293,-0.005039
309.021840,-426.951960,25.791942,-0.005040
304.047981,-427.401219,25.799320,-0.005044
299.058098,-427.674316,25.789429,-0.005052
294.067213,-427.815299,25.774287,-0.005063
289.073810,-427.786500,25.759872,-0.005078
284.079109,-427.714302,25.739657,-0.005095
279.083846,-427.589657,25.714596,-0.005114
274.096435,-427.304814,25.701423,-0.005134
269.124463,-426.857986,25.681945,-0.005151
264.176905,-426.217463,25.652037,-0.005163
259.243267,-425.452449,25.610341,-0.005167
254.321655,-424.612071,25.561280,-0.005159
249.407176,-423.728989,25.507953,-0.005137
244.542420,-422.592084,25.439266,-0.005097
239.714993,-421.304513,25.367275,-0.005036
234.906160,-419.955235,25.295182,-0.004952
230.167742,-418.396103,25.220784,-0.004841
225.435975,-416.816220,25.145157,-0.004704
220.750506,-415.088022,25.062091,-0.004538
216.086435,-413.291978,24.976471,-0.004345
211.503877,-411.308168,24.922969,-0.004126
207.005156,-409.138221,24.884505,-0.003882
202.510702,-406.959359,24.846326,-0.003618
198.046222,-404.719386,24.818315,-0.003337
193.629436,-402.380647,24.807460,-0.003045
189.236742,-399.997791,24.800000,-0.002747
184.907057,-397.499981,24.794077,-0.002448
180.580089,-394.997598,24.787403,-0.002155
176.292712,-392.425961,24.777939,-0.001873
172.027213,-389.817967,24.750735,-0.001605
167.777649,-387.183964,24.717899,-0.001357
163.534633,-384.539315,24.687615,-0.001130
159.302541,-381.877108,24.660886,-0.000928
155.075502,-379.206832,24.645673,-0.000750
150.849569,-376.534781,24.645510,-0.000598
146.627307,-373.856880,24.659505,-0.000470
142.409784,-371.171463,24.683735,-0.000365
138.192698,-368.485330,24.705848,-0.000281
133.977939,-365.795574,24.732377,-0.000214
129.765508,-363.102201,24.764656,-0.000162
125.551107,-360.411903,24.796582,-0.000121
121.335533,-357.723510,24.832526,-0.000089
117.118474,-355.037536,24.874041,-0.000061
112.902283,-352.350248,24.918797,-0.000035
108.687167,-349.661273,24.963018,-0.000007
104.476617,-346.965055,24.999144,0.000024
100.267882,-344.265927,25.031009,0.000061
96.060193,-341.565105,25.056597,0.000106
