#x_m,y_m,z_m
196.380000,4.840000,25.000000
200.613624,2.179939,25.013822
204.847248,-0.480123,25.027644
209.080873,-3.140184,25.041466
213.312237,-5.803775,25.061817
217.548150,-8.460112,25.080134
221.784047,-11.116473,25.098429
226.020739,-13.771705,25.100000
230.255499,-16.430015,25.100000
234.483587,-19.098907,25.100000
238.712455,-21.766584,25.100000
242.946334,-24.426327,25.100000
247.180213,-27.086070,25.100000
251.414092,-29.745813,25.100000
255.649015,-32.403883,25.100000
259.885335,-35.059683,25.094879
264.121044,-37.716423,25.084204
268.353598,-40.378173,25.067087
272.585182,-43.041427,25.046428
276.818474,-45.701930,25.019660
281.056258,-48.355293,24.997022
285.300867,-50.997788,24.980354
289.547771,-53.636631,24.968077
293.794948,-56.275050,24.957848
298.048402,-58.903254,24.950789
302.302919,-61.529719,24.941952
306.559293,-64.153011,24.931478
310.829550,-66.753804,24.922359
315.107770,-69.341487,24.913976
319.391811,-71.919586,24.910462
323.679293,-74.491935,24.903068
327.967343,-77.063327,24.893895
332.255718,-79.634150,24.879311
336.549807,-82.195456,24.860304
340.845749,-84.753652,24.841369
345.143267,-87.309206,24.825717
349.444713,-89.858165,24.814231
353.750421,-92.399833,24.801765
358.071651,-94.914496,24.781823
362.407847,-97.403462,24.756800
366.747329,-99.886505,24.731461
371.107784,-102.332128,24.701029
375.493184,-104.732989,24.665023
379.894795,-107.104209,24.629059
384.299954,-109.468862,24.593595
388.710203,-111.823914,24.556324
393.122940,-114.174252,24.518095
397.542940,-116.511012,24.478664
401.968754,-118.836963,24.438628
406.402725,-121.147544,24.414973
410.838331,-123.455056,24.395475
415.274354,-125.761766,24.375978
419.711160,-128.066973,24.365253
424.150915,-130.366408,24.381600
428.589489,-132.668030,24.406676
433.026364,-134.972791,24.441250
437.462011,-137.279656,24.490334
441.896787,-139.588172,24.537206
446.321788,-141.915241,24.598176
450.737333,-144.260046,24.644834
455.149339,-146.611420,24.687766
459.550062,-148.982761,24.728363
463.857021,-151.513050,24.758607
468.106572,-154.142851,24.781207
472.316097,-156.834820,24.782966
476.469064,-159.613970,24.788296
480.495030,-162.569617,24.768164
484.326382,-165.762779,24.713619
487.992202,-169.130587,24.635170
491.471034,-172.632342,24.565817
494.546514,-176.454258,24.503605
497.186799,-180.537634,24.440104
499.129185,-184.860144,24.377447
499.879537,-189.648734,24.341062
500.194221,-194.468122,24.318394
499.524575,-199.260033,24.310330
497.856682,-203.843479,24.322913
495.610345,-208.185836,24.347110
493.040798,-212.381346,24.382554
489.955412,-216.275368,24.420788
486.668046,-220.027935,24.454002
483.262463,-223.675607,24.476909
479.749786,-227.230619,24.486057
476.187824,-230.738729,24.505774
472.629623,-234.250930,24.537878
469.085495,-237.777318,24.564533
465.618545,-241.374797,24.573196
462.241830,-245.053490,24.592074
459.038723,-248.879752,24.583085
456.054185,-252.869265,24.552233
453.263374,-257.004993,24.505105
450.727875,-261.276898,24.476440
448.536715,-265.748952,24.463069
446.438658,-270.267770,24.443720
444.900384,-274.981557,24.418313
443.648999,-279.792564,24.405656
442.607876,-284.651757,24.400000
441.957855,-289.583736,24.400000
441.633315,-294.554847,24.400000
441.444629,-299.544625,24.400000
441.351289,-304.541254,24.393009
441.274548,-309.539904,24.383405
441.073851,-314.529996,24.372256
440.649847,-319.506846,24.346757
440.112008,-324.470444,24.323648
439.306260,-329.391175,24.294944
438.340342,-334.291724,24.258215
437.176553,-339.139560,24.233158
435.845563,-343.940049,24.219749
434.290185,-348.684805,24.210557
432.574241,-353.364309,24.210115
430.597593,-357.940327,24.223702
428.281176,-362.352559,24.248227
425.744227,-366.630072,24.271984
423.111904,-370.845930,24.295255
420.191083,-374.879173,24.325151
417.082315,-378.778744,24.369087
413.656989,-382.377384,24.416383
410.065152,-385.836137,24.471283
406.247712,-389.029413,24.526111
402.343834,-392.134790,24.579900
398.350810,-395.110511,24.638777
394.140800,-397.801168,24.707013
389.920545,-400.478106,24.776094
385.676037,-403.112580,24.848113
381.255693,-405.423460,24.930610
376.825161,-407.716485,25.013975
372.318739,-409.875141,25.103134
367.761547,-411.926119,25.189108
363.161442,-413.864330,25.269938
358.493962,-415.630302,25.341749
353.775491,-417.270894,25.403762
349.012354,-418.778299,25.452123
344.215354,-420.178692,25.498391
339.403508,-421.515281,25.547238
334.571219,-422.769076,25.601393
329.692570,-423.842967,25.649416
324.795303,-424.814616,25.691597
319.857552,-425.583586,25.727228
314.907174,-426.251632,25.754584
309.941426,-426.776401,25.769194
304.956794,-427.123220,25.765032
299.966602,-427.401649,25.752592
294.974783,-427.651744,25.736819
289.982985,-427.821634,25.724663
284.993828,-427.847279,25.718008
280.006271,-427.547775,25.711575
275.022478,-427.168424,25.703570
270.044680,-426.743292,25.685371
265.066882,-426.318161,25.667172
260.116413,-425.699924,25.628372
255.194124,-424.889898,25.576636
250.300502,-423.873870,25.511956
245.406880,-422.857841,25.447276
240.552853,-421.704191,25.382031
