#x_m,y_m,z_m,kappa
-767.620000,-635.660000,50.280000,-0.002380
-767.581160,-630.664557,50.287394,-0.002624
-767.542320,-625.669114,50.294788,-0.002998
-767.494216,-620.673260,50.300000,-0.003440
-767.423989,-615.676424,50.300000,-0.003875
-767.321377,-610.680870,50.300000,-0.004228
-767.121186,-605.688754,50.300000,-0.004441
-766.839206,-600.699136,50.307010,-0.004482
-766.470743,-595.714307,50.332882,-0.004357
-766.081623,-590.730849,50.358753,-0.004099
-765.642368,-585.752035,50.404639,-0.003763
-765.158996,-580.778490,50.483390,-0.003406
-764.650609,-575.806669,50.562140,-0.003077
-764.105575,-570.838982,50.650099,-0.002810
-763.524507,-565.875828,50.747652,-0.002618
-762.914731,-560.916580,50.841094,-0.002505
-762.197658,-555.972817,50.946593,-0.002463
-761.379793,-551.044350,51.067530,-0.002487
-760.511847,-546.124591,51.223324,-0.002573
-759.598862,-541.213654,51.397061,-0.002727
-758.670617,-536.305919,51.571547,-0.002961
-757.666555,-531.413995,51.750465,-0.003294
-756.560410,-526.541977,51.881600,-0.003750
-755.430003,-521.674097,51.968855,-0.004352
-754.246175,-516.820437,52.074675,-0.005120
-752.996208,-511.982886,52.205736,-0.006065
-751.717063,-507.153622,52.355964,-0.007183
-750.356119,-502.348671,52.499172,-0.008452
-748.866753,-497.583438,52.660531,-0.009830
-747.340115,-492.832161,52.821843,-0.011252
-745.599988,-488.173816,52.995114,-0.012636
-743.650710,-483.609161,53.190757,-0.013888
-741.258134,-479.356891,53.350464,-0.014911
-738.446937,-475.515145,53.479945,-0.015617
-735.088231,-472.225300,53.611142,-0.015939
-731.486770,-469.212136,53.771949,-0.015842
-727.516111,-466.636325,53.905911,-0.015326
-723.168395,-464.643314,54.070214,-0.014426
-718.580360,-463.122122,54.285248,-0.013205
-713.818055,-461.896146,54.506889,-0.011748
-708.946523,-460.968923,54.762070,-0.010146
-704.022336,-460.229733,55.043013,-0.008489
-699.080059,-459.597719,55.344229,-0.006857
-694.123256,-459.062388,55.687989,-0.005310
-689.164604,-458.548963,56.053339,-0.003895
-684.200929,-458.086708,56.429480,-0.002640
-679.238839,-457.617011,56.821733,-0.001558
-674.276505,-457.144764,57.207064,-0.000651
-669.321615,-456.618009,57.605610,0.000087
-664.370755,-456.061808,58.014562,0.000665
-659.431640,-455.424428,58.422168,0.001099
-654.503144,-454.702778,58.822782,0.001404
-649.578157,-453.958807,59.224113,0.001596
-644.673764,-453.099667,59.644600,0.001693
-639.782174,-452.175189,60.078333,0.001709
-634.899708,-451.195841,60.502784,0.001663
-630.024226,-450.183017,60.925133,0.001568
-625.168167,-449.076909,61.360740,0.001440
-620.313622,-447.964980,61.797463,0.001291
-615.465704,-446.825480,62.233646,0.001131
-610.623743,-445.657652,62.664709,0.000969
-605.783497,-444.483666,63.103616,0.000811
-600.941011,-443.320487,63.546790,0.000659
-596.103206,-442.136926,63.986708,0.000513
-591.269811,-440.930093,64.412136,0.000373
-586.437272,-439.722141,64.844036,0.000234
-581.605543,-438.513227,65.282240,0.000091
-576.776609,-437.299129,65.736804,-0.000059
-571.947070,-436.084864,66.184268,-0.000221
-567.117290,-434.870298,66.628115,-0.000395
-562.288680,-433.650199,67.068753,-0.000582
-557.461896,-432.423743,67.511127,-0.000777
-552.634905,-431.203144,67.967286,-0.000973
-547.808149,-429.988416,68.442452,-0.001160
-542.982783,-428.767981,68.916929,-0.001325
-538.147998,-427.585626,69.381117,-0.001452
-533.275536,-426.576062,69.822268,-0.001525
