#x_m,y_m,z_m,kappa
-112.540000,-94.240000,14.180000,0.000037
-114.956902,-89.862979,14.176226,0.000029
-117.373804,-85.485959,14.172452,0.000024
-119.790705,-81.108938,14.168678,0.000020
-122.204501,-76.730215,14.162252,0.000017
-124.616433,-72.350497,14.141594,0.000015
-127.030996,-67.972244,14.119034,0.000014
-129.447093,-63.594840,14.096174,0.000012
-131.871002,-59.221725,14.076126,0.000010
-134.300568,-54.851731,14.060873,0.000008
-136.724836,-50.478795,14.050869,0.000006
-139.144634,-46.103383,14.039482,0.000004
-141.562342,-41.726811,14.028708,0.000003
-143.978638,-37.349458,14.017523,0.000002
-146.396823,-32.973159,14.000861,0.000002
-148.815007,-28.596860,13.984199,0.000002
-151.231708,-24.219756,13.963632,0.000002
-153.648043,-19.842444,13.945121,0.000002
-156.064526,-15.465206,13.928868,0.000001
-158.484927,-11.090241,13.903475,-0.000001
-160.906958,-6.716141,13.882865,-0.000003
-163.330809,-2.342968,13.872257,-0.000005
-165.754659,2.030206,13.861650,-0.000007
-168.178311,6.403486,13.850307,-0.000008
-170.599339,10.778182,13.828281,-0.000008
-173.018998,15.153627,13.804752,-0.000008
-175.434028,19.531630,13.783071,-0.000006
-177.850216,23.909021,13.767402,-0.000003
-180.259991,28.289965,13.759732,0.000001
-182.672841,32.669226,13.753684,0.000004
-185.089532,37.046349,13.742737,0.000008
-187.509591,41.421600,13.724187,0.000011
-189.929231,45.797082,13.705056,0.000013
-192.348391,50.172834,13.686673,0.000014
-194.766864,54.548979,13.670344,0.000016
-197.187655,58.923843,13.654177,0.000017
-199.614611,63.295302,13.641971,0.000020
-202.040711,67.667025,13.613462,0.000025
-204.460475,72.042471,13.603869,0.000031
-206.880169,76.417961,13.594783,0.000041
-209.298164,80.794379,13.583584,0.000053
-211.714471,85.171718,13.570999,0.000067
-214.130678,89.549113,13.558606,0.000083
-216.548268,93.925737,13.546105,0.000100
-218.967038,98.301369,13.513057,0.000117
-221.392865,102.673401,13.494873,0.000133
-223.822616,107.043239,13.477144,0.000147
-226.262184,111.407607,13.462305,0.000157
-228.703574,115.770964,13.446625,0.000163
-231.144940,120.134335,13.431043,0.000165
-233.585432,124.498202,13.418513,0.000161
-236.036004,128.856390,13.409966,0.000153
-238.497664,133.208297,13.402607,0.000140
-240.968942,137.554795,13.393358,0.000124
-243.445733,141.898183,13.382304,0.000105
-245.918618,146.243800,13.368952,0.000085
-248.393565,150.588244,13.353905,0.000065
-250.867391,154.933316,13.333391,0.000046
-253.341218,159.278389,13.312877,0.000029
-255.814412,163.623826,13.293935,0.000015
-258.284126,167.971259,13.280394,0.000005
-260.753015,172.319166,13.268634,-0.000002
-263.221583,176.667263,13.263941,-0.000005
-265.689271,181.015859,13.258936,-0.000005
-268.154496,185.365850,13.251982,-0.000003
-270.619314,189.716057,13.236801,-0.000000
-273.083742,194.066484,13.221069,0.000004
-275.549140,198.416351,13.202464,0.000007
-278.016838,202.764904,13.181479,0.000009
-280.484684,207.113381,13.163627,0.000011
-282.954107,211.460985,13.151859,0.000011
-285.423253,215.808758,13.143307,0.000009
-287.895571,220.154686,13.127357,0.000006
-290.370341,224.499189,13.105277,0.000003
-292.845466,228.843499,13.082886,-0.000001
-295.316509,233.190188,13.067639,-0.000004
-297.787091,237.537135,13.051936,-0.000006
-300.257150,241.884381,13.036568,-0.000007
-302.727209,246.231627,13.021200,-0.000007
-305.197074,250.578987,13.007032,-0.000005
-307.666383,254.926672,12.996288,-0.000003
-310.130783,259.277125,12.985726,-0.000001
-312.591722,263.629519,12.974430,0.000002
-315.053101,267.981650,12.961533,0.000004
-317.519274,272.331057,12.944782,0.000005
-319.992364,276.676545,12.925059,0.000005
-322.466521,281.021431,12.904527,0.000005
-324.942712,285.365172,12.885739,0.000004
-327.417055,289.709980,12.871961,0.000005
-329.891399,294.054788,12.858183,0.000008
-332.362794,298.401273,12.845677,0.000013
-334.828345,302.751065,12.831276,0.000022
-337.293771,307.100928,12.816097,0.000036
-339.757258,311.451890,12.800773,0.000054
-342.222168,315.802023,12.780053,0.000077
-344.689677,320.150681,12.759260,0.000103
-347.157728,324.499033,12.738833,0.000133
-349.627989,328.846165,12.728074,0.000164
-352.098193,333.193330,12.717514,0.000195
-354.568944,337.540187,12.708206,0.000224
-357.041419,341.886033,12.704460,0.000247
-359.524848,346.225547,12.700888,0.000265
-362.023691,350.556037,12.700000,0.000273
-364.531744,354.881238,12.700000,0.000271
-367.043174,359.204499,12.700000,0.000258
-369.579015,363.513403,12.694218,0.000232
-372.112559,367.823731,12.688411,0.000194
-374.658867,372.126670,12.680824,0.000144
-377.219269,376.421263,12.677394,0.000083
-379.780259,380.715476,12.681284,0.000011
-382.341132,385.009859,12.672815,-0.000071
-384.898336,389.306414,12.665013,-0.000161
-387.452492,393.604784,12.665035,-0.000258
-390.002146,397.905823,12.667209,-0.000362
-392.542874,402.212141,12.671579,-0.000472
-395.084903,406.517678,12.680569,-0.000585
-397.626932,410.823214,12.689559,-0.000702
-400.154751,415.136985,12.700034,-0.000821
-402.632854,419.479285,12.718429,-0.000942
-405.106186,423.824366,12.735832,-0.001064
-407.578217,428.170128,12.753143,-0.001188
-409.987719,432.549104,12.770804,-0.001316
-412.365838,436.944824,12.789489,-0.001449
-414.743956,441.340545,12.808174,-0.001593
-417.091184,445.752940,12.827363,-0.001752
-419.380498,450.196738,12.841988,-0.001933
-421.605145,454.674122,12.851849,-0.002143
-423.786605,459.172114,12.847823,-0.002392
-425.953220,463.677385,12.840512,-0.002687
-428.111758,468.186617,12.831415,-0.003038
-430.257942,472.701973,12.822318,-0.003452
-432.241751,477.283815,12.809727,-0.003938
-434.173428,481.887737,12.791088,-0.004499
-436.086853,486.500065,12.772449,-0.005138
-437.896909,491.156271,12.750598,-0.005853
-439.547729,495.865684,12.727938,-0.006638
-441.083333,500.614650,12.701974,-0.007482
-442.517588,505.385980,12.685593,-0.008368
-443.869033,510.175584,12.677041,-0.009272
-444.862126,514.997532,12.664699,-0.010170
-445.436107,519.912713,12.659852,-0.011033
-445.878529,524.860832,12.659251,-0.011835
-446.264110,529.815001,12.662372,-0.012555
-446.144710,534.744528,12.677364,-0.013177
-445.574848,539.590284,12.694588,-0.013697
-444.188812,544.277569,12.700000,-0.014117
-442.545606,548.888145,12.700000,-0.014448
-440.791748,553.470397,12.700000,-0.014706
-438.708149,557.881614,12.700000,-0.014910
-436.143677,562.060862,12.705086,-0.015076
-433.495303,566.185755,12.710975,-0.015217
-430.558125,570.106840,12.720601,-0.015337
-427.269198,573.714893,12.736704,-0.015436
-423.744416,577.025995,12.740000,-0.015508
-420.067706,580.174940,12.740444,-0.015542
-415.813215,582.703728,12.746461,-0.015527
-411.499237,585.117304,12.755850,-0.015452
-407.056836,587.186498,12.781104,-0.015307
-402.442450,588.814971,12.811954,-0.015087
-397.650607,589.920023,12.828735,-0.014788
-392.824356,590.759729,12.846664,-0.014408
-387.904516,591.193971,12.862261,-0.013949
-382.964786,591.406210,12.872520,-0.013412
-378.057044,591.145530,12.884017,-0.012800
-373.162996,590.504016,12.899397,-0.012118
-368.309581,589.523535,12.914655,-0.011373
-363.487542,588.363128,12.921562,-0.010572
-358.794248,586.786578,12.935575,-0.009728
-354.133596,585.093917,12.951396,-0.008853
-349.607120,583.012640,12.957937,-0.007961
-345.134910,580.815973,12.954444,-0.007068
-340.704542,578.540940,12.944823,-0.006191
-336.373144,576.061085,12.929616,-0.005344
-332.085587,573.497942,12.903089,-0.004541
-327.827194,570.881613,12.868681,-0.003793
-323.604563,568.207703,12.834012,-0.003110
-319.417098,565.476180,12.798431,-0.002497
-315.246922,562.718430,12.762351,-0.001958
-311.082699,559.951624,12.720622,-0.001492
-306.924898,557.174882,12.681999,-0.001097
-302.769262,554.394754,12.644489,-0.000767
-298.607640,551.623602,12.609391,-0.000497
-294.443762,548.855796,12.577566,-0.000278
-290.274882,546.095472,12.560219,-0.000100
-286.104425,543.337526,12.545747,0.000048
-281.931191,540.583817,12.524578,0.000177
-277.751371,537.840079,12.497125,0.000301
-273.567176,535.103031,12.468183,0.000432
-269.378983,532.372054,12.451442,0.000585
-265.189435,529.643152,12.433919,0.000774
-260.997768,526.917450,12.422957,0.001012
-256.801955,524.198151,12.413681,0.001313
-252.600251,521.487938,12.409960,0.001686
-248.396269,518.781440,12.404592,0.002144
-244.183789,516.088481,12.395541,0.002692
-239.957111,513.417859,12.387693,0.003336
-235.718805,510.765550,12.382364,0.004076
-231.449064,508.168096,12.384879,0.004910
-227.151011,505.619836,12.393646,0.005830
-222.780799,503.210556,12.400000,0.006820
-218.319654,500.993028,12.400000,0.007863
-213.792824,498.938770,12.400000,0.008931
-209.226166,496.989859,12.400000,0.009995
-204.573073,495.297622,12.402575,0.011023
-199.884144,493.790692,12.410565,0.011983
-195.101697,492.604211,12.424447,0.012846
-190.262119,491.870166,12.438453,0.013590
-185.346914,491.753219,12.454671,0.014202
-180.441679,492.016094,12.476216,0.014680
-175.631110,492.606552,12.502383,0.015028
-170.861810,493.546142,12.523197,0.015261
-166.123730,495.056344,12.543705,0.015398
-161.507186,496.810764,12.566931,0.015456
-157.213575,499.102875,12.591270,0.015452
-153.007115,501.621746,12.609561,0.015395
-148.800656,504.140616,12.627852,0.015288
-144.814851,507.045843,12.644077,0.015128
-141.275809,510.460832,12.657021,0.014905
-137.969966,514.095350,12.676487,0.014607
-135.174376,518.095923,12.702918,0.014223
-132.611774,522.288605,12.722295,0.013743
-130.083441,526.500636,12.743262,0.013162
-128.065376,531.000755,12.770685,0.012479
-126.428005,535.659948,12.800585,0.011701
-125.116142,540.393939,12.824869,0.010840
-123.987005,545.188747,12.850307,0.009913
-123.197126,550.100064,12.873650,0.008940
-122.582642,555.047235,12.890164,0.007943
-122.205626,560.013803,12.908710,0.006947
-122.032323,564.993809,12.931617,0.005974
-122.017551,569.992083,12.952016,0.005046
-122.014656,574.990078,12.967283,0.004181
-122.092746,579.988405,12.981381,0.003391
-122.189077,584.986745,12.994232,0.002685
-122.292986,589.985324,13.000000,0.002065
-122.431352,594.983407,13.000000,0.001529
-122.567791,599.981539,13.000000,0.001067
-122.703563,604.979688,13.000000,0.000668
-122.841708,609.977766,13.000000,0.000317
-122.986814,614.975640,13.000000,-0.000004
-123.135957,619.973400,13.000000,-0.000309
