#x_m,y_m,z_m,kappa
-141.880000,56.580000,11.780000,0.003502
-143.604822,61.273044,11.770995,0.003370
-145.329643,65.966087,11.761990,0.003589
-147.054556,70.659097,11.752985,0.004034
-148.779112,75.352245,11.746718,0.004552
-150.502569,80.045807,11.743398,0.004990
-152.226313,84.739261,11.739204,0.005223
-153.952239,89.431919,11.735858,0.005178
-155.666229,94.128747,11.717591,0.004843
-157.391332,98.821630,11.709321,0.004267
-159.122993,103.512173,11.706053,0.003539
-160.846021,108.205883,11.702784,0.002762
-162.566454,112.900545,11.700000,0.002028
-164.283173,117.596574,11.700000,0.001401
-166.000541,122.292366,11.700000,0.000911
-167.719490,126.987587,11.700000,0.000558
-169.441579,131.681662,11.700000,0.000322
-171.163668,136.375738,11.700000,0.000175
-172.885434,141.069932,11.700000,0.000089
-174.606109,145.764530,11.700000,0.000041
-176.326919,150.459078,11.700000,0.000014
-178.050777,155.152510,11.700000,-0.000003
-179.776052,159.845422,11.700000,-0.000017
-181.500517,164.538626,11.700000,-0.000031
-183.224142,169.232135,11.700000,-0.000048
-184.947767,173.925645,11.700000,-0.000066
-186.670861,178.619349,11.700000,-0.000088
-188.389587,183.314662,11.700000,-0.000114
-190.109428,188.009568,11.700000,-0.000142
-191.829270,192.704473,11.700000,-0.000173
-193.549357,197.399289,11.700000,-0.000206
-195.268156,202.094571,11.700000,-0.000242
-196.986216,206.790123,11.700000,-0.000281
-198.703192,211.486072,11.700000,-0.000323
-200.374831,216.197008,11.702559,-0.000370
-202.037785,220.910814,11.705610,-0.000421
-203.700617,225.624665,11.708661,-0.000478
-205.363286,230.338576,11.711712,-0.000539
-207.025951,235.052488,11.714763,-0.000604
-208.687878,239.766670,11.717814,-0.000670
-210.339045,244.484069,11.720000,-0.000734
-211.961178,249.210166,11.721615,-0.000793
-213.565244,253.942581,11.727192,-0.000843
-215.143778,258.683529,11.732769,-0.000878
-216.706575,263.429871,11.738347,-0.000897
-218.214531,268.193568,11.740420,-0.000897
-219.668133,272.975111,11.741723,-0.000877
-221.121734,277.756655,11.743027,-0.000837
-222.533446,282.551483,11.748486,-0.000781
-223.922219,287.353231,11.759552,-0.000712
-225.300034,292.157921,11.771898,-0.000634
-226.650443,296.970691,11.781844,-0.000552
-227.974635,301.791589,11.788109,-0.000470
-229.312787,306.608767,11.790848,-0.000393
-230.658867,311.423830,11.792152,-0.000322
-232.004947,316.238893,11.793455,-0.000258
-233.348093,321.054744,11.794759,-0.000202
-234.685981,325.872034,11.796062,-0.000151
-236.021815,330.689888,11.797366,-0.000105
-237.358136,335.507609,11.798670,-0.000059
-238.694546,340.325305,11.799973,-0.000010
-240.005727,345.150305,11.800000,0.000044
-241.322326,349.973829,11.796818,0.000109
-242.642888,354.796264,11.793112,0.000187
-243.963349,359.618715,11.792728,0.000283
-245.285208,364.440778,11.793532,0.000402
-246.606819,369.262914,11.794335,0.000547
-247.941617,374.081288,11.794185,0.000724
-249.287003,378.896587,11.790537,0.000939
-250.638833,383.710119,11.781373,0.001198
-251.988344,388.524287,11.772210,0.001506
-253.386375,393.322510,11.768042,0.001868
-254.785807,398.120324,11.761054,0.002287
-256.226188,402.902265,11.745764,0.002766
