# x_m,y_m,kappa_radpm
1.831680,-8.048423,-0.00055268
-3.047964,-9.125942,-0.00089726
-7.932388,-10.181510,-0.00125629
-12.823258,-11.206712,-0.00153605
-17.721778,-12.194740,-0.00171895
-22.628591,-13.140852,-0.00185438
-27.543991,-14.041436,-0.00199543
-32.468157,-14.892872,-0.00215904
-37.401240,-15.691079,-0.00233576
-42.343314,-16.431645,-0.00251473
-47.294318,-17.110052,-0.00269345
-52.254021,-17.721753,-0.00287409
-57.222011,-18.262148,-0.00305794
-62.197685,-18.726570,-0.00324070
-67.180232,-19.110403,-0.00341247
-72.168624,-19.409270,-0.00357158
-77.161636,-19.618993,-0.00374771
-82.157838,-19.734809,-0.00401173
-87.155487,-19.749728,-0.00444688
-92.152197,-19.652824,-0.00506566
-97.144567,-19.429384,-0.00570872
-102.128272,-19.064823,-0.00607266
-107.098879,-18.551091,-0.00598459
-112.052633,-17.889714,-0.00569340
-116.986007,-17.086245,-0.00572192
-121.893978,-16.139738,-0.00630988
-126.768858,-15.038166,-0.00712394
-131.601238,-13.765114,-0.00764126
-136.382168,-12.310238,-0.00771622
-141.104227,-10.672526,-0.00764137
-145.760449,-8.854814,-0.00775537
-150.342329,-6.856919,-0.00815150
-154.838611,-4.673467,-0.00871914
-159.235391,-2.296106,-0.00932156
-163.516844,0.283432,-0.00990193
-167.665644,3.071746,-0.01048080
-171.662782,6.073629,-0.01108579
-175.487457,9.292102,-0.01167395
-179.118083,12.727474,-0.01212829
-182.534535,16.375677,-0.01235185
-185.720262,20.227247,-0.01235392
-188.662952,24.267960,-0.01221153
-191.354157,28.480594,-0.01197027
-193.788983,32.846656,-0.01166571
-195.965060,37.347802,-0.01145834
-197.878703,41.967177,-0.01160547
-199.519632,46.690118,-0.01215168
-200.870456,51.503087,-0.01272780
-201.914231,56.391178,-0.01287068
-202.643624,61.336437,-0.01255029
-203.061826,66.318648,-0.01218595
-203.174565,71.317506,-0.01215045
-202.982176,76.313696,-0.01246736
-202.478156,81.287942,-0.01298639
-201.651941,86.219148,-0.01363350
-200.491169,91.082921,-0.01441411
-198.982636,95.850718,-0.01531053
-197.113568,100.489340,-0.01627043
-194.873790,104.960691,-0.01723058
-192.258372,109.222489,-0.01807794
-189.270571,113.230941,-0.01863026
-185.924466,116.945311,-0.01875886
-182.245332,120.331887,-0.01857054
-178.266331,123.363895,-0.01841895
-174.023028,126.016416,-0.01867145
-169.549666,128.259821,-0.01943126
-164.879860,130.057112,-0.02049301
-160.050693,131.366967,-0.02160006
-155.106899,132.148527,-0.02274329
-150.103339,132.362502,-0.02417939
-145.107472,131.967993,-0.02618873
-140.204789,130.920342,-0.02884449
-135.506513,129.176950,-0.03191075
-131.151879,126.713874,-0.03477293
-127.294234,123.547804,-0.03640655
-124.068726,119.750671,-0.03575422
-121.555770,115.445284,-0.03259752
-119.762017,110.781335,-0.02784367
-118.628204,105.903114,-0.02263370
-118.053279,100.923795,-0.01750917
-117.917250,95.914986,-0.01247627
-118.094079,90.910615,-0.00742035
-118.456187,85.918139,-0.00228304
-118.874862,80.930444,0.00295862
-119.219323,75.936145,0.00828650
-119.356280,70.929711,0.01363659
-119.151127,65.923345,0.01898713
-118.471524,60.959697,0.02435551
-117.195778,56.120458,0.02949854
-115.229186,51.525474,0.03373429
-112.525764,47.322655,0.03655931
-109.104687,43.674338,0.03835988
-105.051971,40.742247,0.03973969
-100.508016,38.665385,0.04026086
-95.647063,37.528997,0.03880096
-90.652239,37.339983,0.03534239
-85.690106,38.030872,0.03134160
-80.892579,39.493479,0.02808652
