#x_m,y_m,z_m
31.860000,-149.480000,14.300000
26.976138,-150.550972,14.286748
22.092361,-151.622330,14.273497
17.208708,-152.694254,14.260245
12.324895,-153.765451,14.246993
7.440731,-154.834443,14.224011
2.556104,-155.900672,14.191839
-2.328547,-156.966789,14.159666
-7.213410,-158.031933,14.132993
-12.098446,-159.096279,14.113770
-16.983599,-160.160090,14.094546
-21.868844,-161.223856,14.076164
-26.754217,-162.287913,14.062828
-31.638158,-163.358490,14.049492
-36.521809,-164.430372,14.034666
-41.404820,-165.505093,14.014639
-46.287856,-166.579694,13.994211
-51.172343,-167.647744,13.972716
-56.058329,-168.709272,13.966126
-60.944316,-169.770800,13.959536
-65.830108,-170.833080,13.956968
-70.715389,-171.897369,13.966851
-75.601026,-172.960469,13.960689
-80.486334,-174.025154,13.949765
-85.371644,-175.089826,13.938841
-90.256872,-176.154886,13.929500
-95.142052,-177.220171,13.921134
-100.027570,-178.283981,13.920000
-104.913134,-179.347586,13.920000
-109.798078,-180.414012,13.920000
-114.682741,-181.481716,13.920000
-119.567473,-182.549091,13.920356
-124.452166,-183.616288,13.932882
-129.337089,-184.682568,13.938205
-134.223135,-185.743910,13.934046
-139.109290,-186.804762,13.929888
-143.995355,-187.866027,13.925729
-148.881321,-188.927743,13.921571
-153.766577,-189.992717,13.924071
-158.651393,-191.059696,13.929793
-163.535515,-192.129837,13.935516
-168.419564,-193.200310,13.941238
-173.303620,-194.270752,13.947113
-178.187849,-195.340358,13.956994
-183.072691,-196.407133,13.962463
-187.958313,-197.470287,13.965797
-192.844505,-198.530825,13.968340
-197.730580,-199.591942,13.971220
-202.615923,-200.656503,13.975379
-207.500082,-201.726420,13.979537
-212.382630,-202.803650,13.980341
-217.266999,-203.872616,13.984345
-222.152100,-204.938299,13.988350
-227.037352,-206.003281,13.992355
-231.923263,-207.065246,13.996360
-236.809506,-208.125698,14.000000
-241.695720,-209.186308,14.000000
-246.582327,-210.245086,13.997943
-251.468502,-211.305821,13.993785
-256.354266,-212.368447,13.989626
-261.239981,-213.431294,13.985505
-266.125423,-214.495397,13.982985
-271.010515,-215.561092,13.986580
-275.895446,-216.627518,13.992983
-280.780378,-217.693944,13.999387
-285.665309,-218.760369,14.005791
-290.550247,-219.826766,14.015492
-295.435559,-220.891472,14.024261
-300.320870,-221.956178,14.033030
-305.206182,-223.020884,14.041799
-310.091493,-224.085590,14.050568
-314.976572,-225.151359,14.059337
-319.861081,-226.219736,14.068106
-324.744955,-227.291011,14.074207
-329.629220,-228.360496,14.073541
-334.513790,-229.428595,14.072419
-339.398195,-230.497451,14.069924
-344.282527,-231.566652,14.066804
-349.167728,-232.631638,14.054377
-354.053463,-233.694010,14.031928
-358.939601,-234.754510,14.006664
-363.824529,-235.820578,13.983854
-368.708522,-236.891181,13.970752
-373.592349,-237.962579,13.959095
-378.476969,-239.030370,13.947438
-383.362183,-240.095459,13.935781
-388.247955,-241.157997,13.928236
-393.133242,-242.222814,13.927908
-398.018528,-243.287631,13.927579
-402.903113,-244.355594,13.933215
-407.787626,-245.423860,13.940934
-412.671778,-246.492948,13.965851
-417.556851,-247.557598,14.000655
-422.441690,-248.623058,14.038725
-427.327663,-249.682423,14.088625
-432.215472,-250.732677,14.145726
-437.104782,-251.775691,14.204275
-441.995008,-252.814489,14.260542
-446.885746,-253.849920,14.317069
-451.802698,-254.702942,14.385365
-456.689151,-255.323923,14.533975
-461.641677,-255.747019,14.629572
-466.595015,-256.131416,14.725181
-471.562340,-256.366054,14.828949
-476.527143,-256.352760,14.941324
-481.497265,-256.106401,15.083184
-486.431989,-255.590632,15.242068
-491.311905,-254.670847,15.400878
-496.145844,-253.571076,15.567848
-500.918544,-252.252193,15.735953
-505.598101,-250.649563,15.907392
-510.176679,-248.695308,16.101297
-514.697906,-246.629759,16.300439
-519.077946,-244.304746,16.483259
-523.271810,-241.676640,16.627202
-527.337689,-238.820907,16.758811
-531.361755,-235.888956,16.900563
-535.185208,-232.696441,17.050153
-538.723133,-229.197599,17.202447
-542.134543,-225.570251,17.335661
-545.348334,-221.803696,17.460159
-548.477039,-217.978939,17.594019
-551.397390,-213.982948,17.735341
-554.029281,-209.745546,17.886978
-556.347623,-205.357417,18.033236
-558.576478,-200.931295,18.170459
-560.358073,-196.306280,18.318349
-561.901781,-191.586216,18.464853
-563.424516,-186.863418,18.626277
-564.276099,-181.980483,18.804731
-564.978729,-177.073754,18.958281
-565.541788,-172.141031,19.113845
