#x_m,y_m,z_m,kappa
102.080000,-26.140000,18.800000,0.000339
101.280921,-21.204308,18.807258,0.000165
100.481843,-16.268615,18.814517,0.000030
99.682798,-11.332914,18.818781,-0.000074
98.886464,-6.396767,18.813795,-0.000151
98.092823,-1.460184,18.808809,-0.000207
97.307405,3.477707,18.803823,-0.000245
96.523268,8.415804,18.800000,-0.000266
95.752783,13.356052,18.803948,-0.000274
94.991641,18.297750,18.808189,-0.000271
94.230499,23.239448,18.812431,-0.000262
93.472990,28.181687,18.819934,-0.000248
92.720531,33.124680,18.829260,-0.000235
91.976410,38.068935,18.833913,-0.000222
91.235040,43.013616,18.836381,-0.000212
90.491945,47.958045,18.836043,-0.000204
89.757651,52.903780,18.835704,-0.000199
89.028657,57.850309,18.838810,-0.000195
88.302818,62.797281,18.834485,-0.000193
87.582042,67.744987,18.824183,-0.000192
86.867982,72.693680,18.811800,-0.000192
86.158646,77.643087,18.806175,-0.000193
85.454329,82.593191,18.800550,-0.000194
84.760018,87.544725,18.800000,-0.000196
84.065983,92.496301,18.800000,-0.000198
83.372370,97.447934,18.800000,-0.000199
82.684608,102.400385,18.800000,-0.000201
81.997449,107.352920,18.800000,-0.000201
81.312515,112.305749,18.800000,-0.000199
80.635359,117.259621,18.800000,-0.000197
79.971506,122.215290,18.800000,-0.000192
79.316446,127.172135,18.800000,-0.000186
78.674229,132.130719,18.800000,-0.000180
78.032013,137.089302,18.800000,-0.000173
77.392131,142.048187,18.800000,-0.000166
76.752503,147.007105,18.800000,-0.000161
76.114910,151.966282,18.800000,-0.000158
75.474272,156.925046,18.800000,-0.000158
74.833634,161.883809,18.800000,-0.000160
74.200812,166.843571,18.800000,-0.000164
73.577811,171.804589,18.800000,-0.000171
72.957366,176.765924,18.800000,-0.000178
72.337226,181.727298,18.800000,-0.000185
71.719266,186.688949,18.800000,-0.000191
71.109186,191.651531,18.798087,-0.000194
70.502790,196.614540,18.795000,-0.000193
69.901549,201.578179,18.791914,-0.000186
69.310444,206.543059,18.788828,-0.000172
68.726485,211.508781,18.785741,-0.000149
68.154499,216.475910,18.782122,-0.000117
67.591570,221.444085,18.774153,-0.000074
67.027686,226.412151,18.766876,-0.000018
66.467950,231.380680,18.754760,0.000052
65.910884,236.349514,18.741973,0.000137
65.354590,241.318443,18.732712,0.000240
64.798397,246.287386,18.724373,0.000364
64.240558,251.256139,18.718578,0.000511
63.671926,256.223632,18.712773,0.000686
63.100837,261.190846,18.707925,0.000896
62.529747,266.158059,18.703078,0.001148
61.944558,271.123355,18.699329,0.001453
61.311609,276.081954,18.695833,0.001820
60.655919,281.037728,18.692338,0.002262
59.943331,285.985935,18.686520,0.002792
59.192790,290.928922,18.679677,0.003419
58.429398,295.869850,18.672834,0.004153
57.596561,300.797884,18.672392,0.004997
56.724172,305.717597,18.679150,0.005950
55.810207,310.624970,18.680941,0.007000
54.709633,315.492433,18.683664,0.008126
53.421990,320.305432,18.686787,0.009294
51.915238,325.034029,18.683185,0.010457
50.285750,329.730479,18.676287,0.011557
48.335627,334.283700,18.656587,0.012526
46.102580,338.668304,18.622246,0.013293
43.483830,342.812432,18.615559,0.013787
40.572833,346.745275,18.624748,0.013948
37.152970,350.225038,18.647700,0.013733
33.439113,353.403845,18.673528,0.013119
29.266454,355.956004,18.693320,0.012112
24.886253,358.233019,18.706440,0.010744
20.338770,360.199493,18.719292,0.009075
15.613887,361.750641,18.722496,0.007184
10.782754,363.010838,18.731225,0.005168
5.920435,364.155758,18.725568,0.003135
1.055743,365.287731,18.700902,0.001193
-3.789367,366.470764,18.684010,-0.000553
-8.560509,367.844070,18.653999,-0.002007
-13.310639,369.307014,18.619993,-0.003091
-17.897486,371.135110,18.598868,-0.003740
-22.364614,373.274694,18.572491,-0.003915
-26.685461,375.714448,18.543574,-0.003597
-30.862683,378.430273,18.518045,-0.002787
-34.909267,381.348430,18.475311,-0.001508
-38.849945,384.419198,18.434466,0.000203
-42.734813,387.560582,18.431283,0.002293
-46.609849,390.713699,18.428308,0.004694
-50.477724,393.875344,18.393785,0.007329
-54.389367,396.973718,18.357907,0.010105
-58.444425,399.804004,18.360232,0.012918
-62.569339,402.420697,18.356208,0.015656
-66.937043,404.546680,18.327060,0.018197
-71.401974,406.262092,18.297896,0.020424
-76.097496,407.202207,18.270233,0.022227
-80.807072,407.381879,18.284774,0.023523
-85.493781,406.682053,18.265286,0.024259
-89.994141,405.142658,18.253180,0.024421
-94.161661,402.858500,18.266887,0.024038
-97.991058,399.965156,18.281969,0.023175
-101.234550,396.334680,18.305522,0.021927
-104.068171,392.327745,18.317146,0.020403
-106.379336,387.972105,18.320000,0.018717
-108.324800,383.410222,18.334886,0.016976
-109.912965,378.693070,18.378284,0.015270
-111.218093,373.887464,18.397994,0.013667
-112.302493,369.017368,18.387599,0.012216
-113.231773,364.117974,18.375693,0.010942
-113.902138,359.172372,18.366437,0.009854
-114.455883,354.213191,18.348586,0.008946
-114.850365,349.240591,18.309348,0.008202
-115.080164,344.256832,18.240845,0.007601
-115.058910,339.266575,18.160082,0.007117
-114.947848,334.276822,18.085617,0.006722
-114.691895,329.290877,18.028418,0.006391
-114.270308,324.318536,17.968005,0.006101
-113.661870,319.364526,17.900699,0.005832
-112.970016,314.420517,17.846316,0.005566
-112.067489,309.511243,17.805658,0.005292
-111.012691,304.632335,17.763117,0.005001
-109.896784,299.765183,17.721810,0.004688
-108.602895,294.940915,17.692919,0.004353
-107.171963,290.155178,17.684190,0.003997
-105.674639,285.388674,17.684189,0.003625
-104.065125,280.659191,17.672930,0.003245
-102.326876,275.972127,17.681106,0.002862
-100.570973,271.291407,17.699335,0.002485
-98.764841,266.629229,17.720593,0.002121
-96.925693,261.980435,17.751069,0.001775
-95.071455,257.337845,17.795031,0.001451
-93.191631,252.705607,17.856198,0.001150
-91.304163,248.076285,17.913240,0.000873
-89.408226,243.450462,17.967577,0.000617
-87.498328,238.830517,18.027709,0.000379
-85.573088,234.217028,18.102851,0.000156
-83.626868,229.612183,18.188832,-0.000055
-81.690678,225.003112,18.268537,-0.000257
-79.761924,220.390957,18.349920,-0.000453
-77.854740,215.770080,18.431050,-0.000642
-75.953055,211.146880,18.509888,-0.000826
-74.077212,206.513104,18.588647,-0.001005
-72.227747,201.868354,18.657876,-0.001179
-70.390627,197.218973,18.721297,-0.001349
-68.579583,192.559763,18.773204,-0.001515
-66.848522,187.870647,18.808612,-0.001680
-65.183069,183.158651,18.841358,-0.001845
-63.533232,178.440645,18.869879,-0.002011
-61.883394,173.722639,18.898399,-0.002181
-60.319695,168.975329,18.922620,-0.002355
-58.831515,164.202375,18.945613,-0.002534
-57.343336,159.429421,18.968605,-0.002718
-55.878426,154.650535,18.990597,-0.002906
-54.552903,149.832494,18.999963,-0.003097
-53.337393,144.983846,18.999397,-0.003293
-52.170330,140.125964,18.992987,-0.003494
-51.060061,135.254785,18.981779,-0.003705
-50.049104,130.360628,18.963377,-0.003930
-49.138488,125.451981,18.950477,-0.004180
-48.334909,120.522955,18.935926,-0.004465
-47.731090,115.560685,18.927373,-0.004798
-47.179490,110.595222,18.918947,-0.005193
-46.630993,105.629577,18.910520,-0.005662
-46.266946,100.651413,18.900791,-0.006217
-46.031068,95.665236,18.889777,-0.006865
-45.858863,90.673629,18.880646,-0.007609
-45.811435,85.684178,18.880000,-0.008444
-45.974777,80.702978,18.872316,-0.009359
-46.417614,75.745346,18.850201,-0.010331
-46.906919,70.787878,18.821532,-0.011330
-47.791301,65.922006,18.795494,-0.012316
-49.011068,61.109969,18.782654,-0.013244
-50.499516,56.410598,18.787470,-0.014065
-52.137153,51.781578,18.795336,-0.014730
-54.488648,47.510180,18.781627,-0.015198
-57.187207,43.406728,18.757419,-0.015437
-60.217657,39.563453,18.721682,-0.015430
-63.693141,36.125167,18.724924,-0.015178
-67.561026,33.051944,18.742947,-0.014698
-71.646220,30.319645,18.735011,-0.014021
-76.119051,28.133982,18.714629,-0.013190
-80.657251,26.083824,18.702942,-0.012255
-85.310299,24.324699,18.700000,-0.011263
-90.013601,22.699706,18.700000,-0.010260
-94.832307,21.404132,18.704149,-0.009286
-99.689464,20.262272,18.710389,-0.008369
-104.575572,19.233403,18.716629,-0.007528
-109.495970,18.388851,18.727203,-0.006773
-114.449505,17.745455,18.752957,-0.006107
-119.405208,17.120963,18.769916,-0.005525
-124.373820,16.594790,18.786754,-0.005019
-129.359773,16.263321,18.794176,-0.004577
-134.348391,15.971560,18.800000,-0.004186
-139.344022,15.796083,18.800000,-0.003835
-144.338944,15.680639,18.800000,-0.003510
-149.334567,15.648696,18.800000,-0.003204
-154.331035,15.725860,18.800000,-0.002907
-159.325518,15.908911,18.800000,-0.002615
-164.318211,16.135638,18.800000,-0.002325
-169.307190,16.451352,18.800000,-0.002039
-174.294667,16.791007,18.800000,-0.001757
-179.277157,17.205901,18.800000,-0.001483
-184.258248,17.640091,18.800000,-0.001223
-189.238862,18.079442,18.800000,-0.000980
-194.218361,18.531299,18.800000,-0.000759
-199.197022,18.992353,18.800000,-0.000563
-204.174740,19.463703,18.800036,-0.000395
-209.152920,19.929939,18.803556,-0.000254
-214.132229,20.384009,18.807076,-0.000141
-219.112684,20.825584,18.810595,-0.000053
-224.093128,21.267159,18.814115,0.000012
-229.073795,21.706063,18.819855,0.000058
-234.054887,22.139959,18.829491,0.000089
-239.036681,22.565358,18.847286,0.000108
-244.018776,22.986918,18.870954,0.000118
-249.001099,23.406264,18.886223,0.000122
-253.983457,23.825602,18.894883,0.000124
-258.966243,24.239685,18.905036,0.000124
-263.949570,24.646975,18.918230,0.000125
-268.932432,25.059289,18.935950,0.000125
-273.915330,25.471432,18.952290,0.000126
-278.898705,25.878346,18.962711,0.000126
-283.882081,26.285260,18.973133,0.000124
-288.865457,26.692174,18.983555,0.000119
-293.848888,27.098405,18.993222,0.000112
-298.833502,27.489815,18.991630,0.000100
-303.818224,27.879780,18.986809,0.000084
-308.804582,28.247779,18.964404,0.000064
-313.791217,28.611755,18.938993,0.000042
-318.777852,28.975732,18.913583,0.000019
-323.763926,29.347574,18.894859,-0.000004
-328.749538,29.725897,18.877988,-0.000024
-333.735187,30.103689,18.860391,-0.000041
-338.720731,30.482869,18.843422,-0.000054
-343.705457,30.872773,18.831306,-0.000062
-348.690005,31.265058,18.821935,-0.000065
-353.674082,31.663541,18.817911,-0.000065
-358.658015,32.063683,18.811266,-0.000062
-363.641879,32.464704,18.804621,-0.000059
-368.625895,32.863940,18.800000,-0.000056
-373.609533,33.268049,18.800000,-0.000056
-378.593170,33.672159,18.800000,-0.000059
-383.577066,34.073028,18.800000,-0.000068
-388.561516,34.466923,18.800000,-0.000083
-393.546138,34.858636,18.800000,-0.000104
-398.530533,35.253198,18.800000,-0.000133
-403.514692,35.650716,18.800000,-0.000170
-408.498664,36.050583,18.800000,-0.000215
-413.482257,36.455130,18.800000,-0.000270
-418.465031,36.869521,18.800000,-0.000335
-423.447432,37.288511,18.800000,-0.000412
-428.429838,37.707435,18.800000,-0.000500
-433.412244,38.126359,18.800000,-0.000602
-438.393046,38.560936,18.798353,-0.000716
-443.371664,39.018100,18.795288,-0.000844
-448.349893,39.479598,18.792222,-0.000984
-453.326653,39.957518,18.789157,-0.001137
-458.299213,40.478925,18.786092,-0.001301
-463.270562,41.012227,18.783026,-0.001476
-468.241802,41.546268,18.780167,-0.001659
-473.202849,42.151704,18.788114,-0.001850
-478.155478,42.825739,18.790069,-0.002047
-483.102221,43.547972,18.788969,-0.002247
-488.043756,44.304655,18.811044,-0.002447
-492.976133,45.102412,18.828480,-0.002644
-497.886075,46.016236,18.868694,-0.002833
-502.788150,46.975406,18.916340,-0.003010
-507.683240,47.971495,18.954283,-0.003170
-512.560385,49.059881,18.983369,-0.003308
-517.424017,50.211499,18.995866,-0.003421
-522.256405,51.483968,19.000500,-0.003505
-527.023044,52.966773,19.004242,-0.003559
-531.775575,54.498275,19.007984,-0.003580
-536.499745,56.124343,19.013723,-0.003570
-541.205468,57.804422,19.022866,-0.003527
-545.885774,59.558530,19.032009,-0.003455
-550.524502,61.411056,19.042990,-0.003353
-555.127455,63.349214,19.052167,-0.003225
-559.693026,65.375726,19.062821,-0.003073
-564.213204,67.508329,19.070785,-0.002900
-568.716163,69.680302,19.081498,-0.002710
-573.181928,71.922318,19.088618,-0.002506
-577.594852,74.268312,19.092579,-0.002293
-581.970057,76.687964,19.088908,-0.002075
-586.345263,79.107616,19.085237,-0.001858
-590.720468,81.527268,19.081565,-0.001646
-595.079383,83.975295,19.075475,-0.001444
-599.412414,86.468663,19.062886,-0.001254
-603.715908,89.013821,19.032189,-0.001079
-608.015807,91.565193,19.014040,-0.000922
-612.309473,94.127131,19.004871,-0.000782
-616.600216,96.693998,19.000400,-0.000661
-620.882857,99.274455,19.000000,-0.000557
-625.163808,101.857734,19.000000,-0.000470
-629.444696,104.441118,19.000000,-0.000399
-633.725308,107.024959,19.000000,-0.000344
-637.995951,109.625230,19.000000,-0.000303
-642.264623,112.228741,19.000000,-0.000276
-646.532791,114.833082,19.000000,-0.000261
-650.799864,117.439229,19.000000,-0.000257
-655.065715,120.047379,19.000000,-0.000263
-659.328834,122.659965,19.000000,-0.000278
-663.588175,125.278648,19.000000,-0.000299
-667.847517,127.897331,19.000000,-0.000324
-672.108293,130.513654,19.000000,-0.000351
-676.363902,133.138302,19.000000,-0.000378
-680.608805,135.780249,19.000000,-0.000402
-684.856253,138.418195,19.000000,-0.000420
-689.085671,141.084636,19.000000,-0.000432
-693.314997,143.751219,19.000000,-0.000435
-697.530855,146.438992,19.000000,-0.000430
-701.729251,149.154160,19.000000,-0.000416
-705.919851,151.881473,19.000000,-0.000393
-710.106242,154.615326,19.000000,-0.000361
-714.291071,157.351588,19.000000,-0.000316
-718.477645,160.085169,19.000000,-0.000257
-722.660860,162.823791,19.003266,-0.000180
-726.842440,165.564905,19.006674,-0.000076
-731.020264,168.311751,19.010082,0.000060
-735.187809,171.074208,19.013490,0.000239
-739.352652,173.840767,19.016898,0.000470
-743.516751,176.608425,19.020933,0.000762
-747.672312,179.388695,19.034896,0.001121
-751.823701,182.175187,19.052574,0.001551
-755.969565,184.969924,19.071105,0.002053
-760.127864,187.744191,19.085218,0.002627
-764.314190,190.473903,19.093632,0.003268
-768.501493,193.202176,19.100000,0.003971
-772.723865,195.862151,19.100000,0.004732
-777.002375,198.421559,19.100000,0.005548
-781.356917,200.851532,19.100000,0.006416
-785.783785,203.147092,19.105140,0.007337
-790.329609,205.201904,19.116200,0.008308
-794.974449,207.014081,19.128720,0.009325
-799.672519,208.673950,19.148235,0.010377
-804.424099,210.191114,19.175200,0.011443
-809.223276,211.415038,19.193295,0.012492
-814.051453,212.500265,19.210251,0.013482
-818.932615,213.355781,19.233334,0.014361
-823.824224,213.718856,19.267878,0.015074
-828.694470,213.470715,19.303629,0.015569
-833.537009,212.842203,19.320000,0.015805
-838.261986,211.615810,19.326765,0.015755
-842.806619,209.822411,19.335027,0.015415
-847.145071,207.485405,19.364510,0.014804
-851.241100,204.726191,19.368616,0.013960
-855.039761,201.515666,19.336522,0.012938
-858.701450,198.144112,19.309858,0.011801
-862.177659,194.581263,19.300000,0.010615
-865.449679,190.812365,19.300000,0.009441
-868.615971,186.951620,19.300000,0.008330
-871.669790,182.997009,19.300000,0.007318
-874.671488,179.001839,19.300000,0.006429
-877.581776,174.938044,19.300000,0.005672
-880.435496,170.833506,19.300000,0.005043
-883.245685,166.698608,19.300000,0.004529
-885.965467,162.507553,19.300000,0.004110
-888.652250,158.296032,19.300594,0.003763
-891.204969,154.004989,19.305629,0.003462
-893.703825,149.679933,19.310665,0.003183
-896.108888,145.299820,19.323248,0.002906
-898.479525,140.901376,19.355203,0.002611
-900.705174,136.428951,19.374982,0.002282
-902.828893,131.902985,19.397422,0.001906
-904.939827,127.371347,19.415544,0.001469
-907.027051,122.828794,19.439057,0.000957
-909.082346,118.271308,19.463313,0.000355
-911.117124,113.704456,19.478775,-0.000357
-913.129806,109.127657,19.485503,-0.001199
-915.128761,104.544837,19.491987,-0.002198
-917.136001,99.965765,19.493556,-0.003381
-919.147184,95.389052,19.495125,-0.004775
-921.179959,90.823030,19.496693,-0.006404
-923.257613,86.279776,19.498262,-0.008282
-925.463391,81.802627,19.499831,-0.010403
-927.797565,77.393123,19.500000,-0.012738
-930.304997,73.091531,19.500000,-0.015225
-933.001077,68.935099,19.500000,-0.017762
-935.949539,65.042978,19.500000,-0.020213
-939.269005,61.585633,19.500000,-0.022418
-942.904140,58.602659,19.500000,-0.024205
-946.829265,56.335383,19.500000,-0.025421
-951.160640,54.896590,19.500000,-0.025954
-955.657912,54.275653,19.500000,-0.025751
-960.280071,54.888249,19.500000,-0.024832
-964.743359,56.754563,19.515094,-0.023281
-968.959223,59.271343,19.521492,-0.021236
-972.874803,62.312797,19.527095,-0.018864
-976.618336,65.600937,19.532698,-0.016331
-980.172008,69.100112,19.561929,-0.013790
-983.590726,72.733359,19.575958,-0.011357
-986.887044,76.486297,19.594569,-0.009112
-990.116674,80.299778,19.612118,-0.007098
-993.282773,84.166046,19.620000,-0.005331
-996.337297,88.123733,19.620000,-0.003801
-999.376151,92.093643,19.628815,-0.002488
-1002.414124,96.064047,19.667823,-0.001363
-1005.458313,100.029642,19.699822,-0.000397
-1008.559208,103.950901,19.720066,0.000441
-1011.693723,107.844889,19.733801,0.001179
-1014.845492,111.724268,19.748215,0.001844
-1018.057933,115.553621,19.781357,0.002461
-1021.292858,119.364318,19.811556,0.003051
-1024.613414,123.098973,19.851141,0.003635
-1027.989297,126.784002,19.898814,0.004229
-1031.395222,130.441603,19.936454,0.004849
-1034.874840,134.027289,19.947475,0.005505
-1038.533832,137.415540,19.994788,0.006204
-1042.204414,140.791194,20.044431,0.006950
-1045.947866,144.083881,20.088808,0.007743
-1049.794064,147.265398,20.146401,0.008581
-1053.793193,150.221831,20.203186,0.009458
-1057.825737,153.129984,20.256874,0.010363
-1062.166951,155.555180,20.277690,0.011285
-1066.557277,157.891835,20.293048,0.012206
-1071.079789,159.921175,20.307369,0.013104
-1075.728061,161.676414,20.317739,0.013953
-1080.475832,163.009017,20.322105,0.014722
-1085.318851,163.994233,20.329538,0.015379
-1090.185678,164.601850,20.343522,0.015890
-1095.075980,164.936581,20.370593,0.016225
-1099.953042,164.549915,20.380000,0.016363
-1104.773519,163.658329,20.360588,0.016289
-1109.518057,162.379951,20.324689,0.016002
-1114.031082,160.335905,20.303044,0.015513
-1118.360881,157.987151,20.276162,0.014842
-1122.496195,155.255689,20.246218,0.014020
-1126.422017,152.221192,20.223143,0.013081
-1130.266299,149.093898,20.204718,0.012064
-1133.810869,145.630872,20.200000,0.011006
-1137.128467,141.911878,20.200000,0.009941
-1140.256640,138.016285,20.200000,0.008896
-1143.268623,134.037557,20.200000,0.007895
-1146.148090,129.956997,20.200000,0.006955
-1148.906293,125.790380,20.200000,0.006086
-1151.576936,121.567688,20.200000,0.005295
-1154.175749,117.298015,20.200000,0.004582
-1156.722318,112.997915,20.203575,0.003944
-1159.195477,108.655068,20.209459,0.003376
-1161.608961,104.276771,20.215342,0.002870
-1163.989026,99.880781,20.220000,0.002417
-1166.305841,95.452069,20.222973,0.002007
-1168.558281,90.988925,20.235306,0.001634
-1170.782328,86.512024,20.264642,0.001290
-1172.981202,82.022006,20.279431,0.000972
-1175.178684,77.531157,20.290179,0.000676
-1177.351831,73.028435,20.297046,0.000403
-1179.526868,68.526924,20.300000,0.000152
-1181.697199,64.023158,20.300000,-0.000074
-1183.890416,59.530422,20.300000,-0.000275
-1186.100361,55.045663,20.300000,-0.000448
-1188.320478,50.566068,20.300000,-0.000592
-1190.584684,46.108345,20.300000,-0.000707
-1192.869950,41.661749,20.300000,-0.000792
-1195.161677,37.218457,20.300000,-0.000848
-1197.477101,32.787349,20.300000,-0.000877
-1199.837348,28.379786,20.300812,-0.000879
-1202.231598,23.990657,20.307014,-0.000858
-1204.639028,19.608759,20.315651,-0.000816
-1207.074384,15.242240,20.331548,-0.000758
-1209.528718,10.886376,20.344103,-0.000686
-1211.987919,6.533257,20.357610,-0.000605
-1214.487919,2.203370,20.372255,-0.000519
-1217.005325,-2.116540,20.386416,-0.000434
-1219.523807,-6.435837,20.398870,-0.000353
-1222.032606,-10.760838,20.400000,-0.000280
-1224.535929,-15.089035,20.400000,-0.000216
-1227.035353,-19.419481,20.400000,-0.000165
-1229.535804,-23.749331,20.400000,-0.000128
-1232.038360,-28.077967,20.400000,-0.000103
-1234.545341,-32.404051,20.400000,-0.000090
-1237.049721,-36.731637,20.400000,-0.000087
-1239.553083,-41.059812,20.400000,-0.000093
-1242.054307,-45.389221,20.400000,-0.000105
-1244.551074,-49.721206,20.400000,-0.000121
-1247.048542,-54.052787,20.399359,-0.000140
-1249.545135,-58.384868,20.395718,-0.000160
-1252.051229,-62.711298,20.391641,-0.000181
-1254.587321,-67.019973,20.386875,-0.000202
-1257.123102,-71.328828,20.382109,-0.000226
-1259.658883,-75.637683,20.377343,-0.000251
-1262.196130,-79.945674,20.380257,-0.000279
