#x_m,y_m,z_m,kappa
130.680000,-35.940000,170.700000,0.000107
128.006790,-40.165352,170.718541,0.000099
125.333580,-44.390704,170.737082,0.000096
122.660369,-48.616055,170.755623,0.000095
119.987159,-52.841407,170.774164,0.000094
117.313628,-57.066559,170.791477,0.000093
114.634446,-61.288140,170.800000,0.000089
111.947188,-65.504609,170.800000,0.000083
109.259930,-69.721078,170.800000,0.000073
106.572673,-73.937547,170.800000,0.000063
103.888586,-78.156035,170.800000,0.000051
101.205416,-82.375099,170.800000,0.000040
98.526607,-86.596934,170.800000,0.000031
95.849979,-90.820151,170.800000,0.000022
93.172101,-95.042576,170.800000,0.000015
90.494188,-99.264979,170.800000,0.000008
87.814469,-103.486230,170.800000,0.000004
85.133854,-107.706913,170.800000,-0.000000
82.456481,-111.929639,170.796558,-0.000003
79.781481,-116.153871,170.789136,-0.000005
77.101509,-120.374944,170.775477,-0.000005
74.419582,-124.594768,170.759373,-0.000004
71.734063,-128.812278,170.738052,-0.000003
69.048458,-133.029743,170.720100,-0.000001
66.363972,-137.247930,170.705750,0.000001
63.683391,-141.468630,170.705754,0.000003
61.004695,-145.690513,170.717736,0.000005
58.325999,-149.912397,170.729719,0.000006
55.646870,-154.134004,170.742629,0.000007
52.966223,-158.354646,170.756858,0.000007
50.283342,-162.573886,170.766103,0.000007
47.604612,-166.795767,170.769970,0.000005
44.925870,-171.017630,170.776290,0.000004
42.246769,-175.239260,170.783674,0.000002
39.567722,-179.460926,170.791057,-0.000001
36.888504,-183.682488,170.796415,-0.000004
34.209354,-187.904101,170.800000,-0.000008
31.531384,-192.126475,170.800000,-0.000013
28.851210,-196.347454,170.800000,-0.000020
26.171001,-200.568410,170.800000,-0.000028
23.491378,-204.789727,170.797283,-0.000039
20.810855,-209.010462,170.791436,-0.000051
18.130739,-213.231448,170.782331,-0.000066
15.451791,-217.453169,170.769726,-0.000082
12.772937,-221.674950,170.755426,-0.000101
10.090419,-225.894409,170.741903,-0.000121
7.407901,-230.113869,170.728380,-0.000142
4.723009,-234.331822,170.716975,-0.000163
2.035980,-238.548418,170.707474,-0.000183
-0.661508,-242.758274,170.691433,-0.000202
-3.364110,-246.964854,170.677068,-0.000217
-6.073069,-251.167287,170.655929,-0.000229
-8.782028,-255.369720,170.634790,-0.000237
-11.491464,-259.571843,170.613166,-0.000240
-14.211212,-263.767270,170.584142,-0.000238
-16.941006,-267.956115,170.553694,-0.000232
-19.688573,-272.133303,170.521379,-0.000221
-22.442775,-276.306169,170.488074,-0.000208
-25.196612,-280.479254,170.451480,-0.000193
-27.952324,-284.651109,170.413861,-0.000176
-30.712956,-288.819709,170.375269,-0.000160
-33.471901,-292.989346,170.330677,-0.000144
-36.229000,-297.160152,170.280179,-0.000130
-38.988123,-301.329566,170.225637,-0.000117
-41.748210,-305.498318,170.169168,-0.000106
-44.512370,-309.664417,170.116048,-0.000097
-47.281662,-313.827121,170.063758,-0.000088
-50.057071,-317.985626,170.002288,-0.000081
-52.832693,-322.143986,169.940478,-0.000075
-55.608314,-326.302345,169.878669,-0.000070
-58.384882,-330.460050,169.815691,-0.000065
-61.161968,-334.617286,169.745235,-0.000062
-63.936290,-338.776392,169.676285,-0.000059
-66.709293,-342.936273,169.600889,-0.000057
-69.484223,-347.094825,169.523303,-0.000055
-72.264246,-351.249777,169.436028,-0.000053
-75.045043,-355.404156,169.345995,-0.000051
-77.827328,-359.557430,169.251126,-0.000049
-80.613416,-363.708065,169.152770,-0.000046
-83.399932,-367.858532,169.059553,-0.000042
-86.186272,-372.009180,168.969428,-0.000038
-88.968004,-376.163054,168.884748,-0.000033
-91.755182,-380.313307,168.802637,-0.000027
-94.545331,-384.461555,168.720565,-0.000022
-97.335868,-388.609278,168.626908,-0.000016
-100.123389,-392.758774,168.521195,-0.000010
-102.915005,-396.905350,168.408743,-0.000006
-105.706138,-401.052236,168.295803,-0.000002
-108.492867,-405.201974,168.178603,0.000002
-111.279359,-409.351865,168.061188,0.000004
-114.066323,-413.501452,167.944264,0.000006
-116.855775,-417.649350,167.826923,0.000008
-119.640847,-421.800268,167.712397,0.000011
-122.425484,-425.951492,167.598334,0.000017
-125.210120,-430.102717,167.484272,0.000026
-127.993820,-434.254545,167.369299,0.000039
-130.776520,-438.406975,167.251886,0.000058
-133.565936,-442.554738,167.129338,0.000084
-136.356128,-446.701971,167.006515,0.000117
-139.148069,-450.847941,166.881586,0.000157
-141.945999,-454.989389,166.744029,0.000205
-144.729756,-459.141022,166.624064,0.000258
-147.513369,-463.292778,166.505044,0.000318
-150.294813,-467.446120,166.390499,0.000381
-153.074927,-471.600435,166.278702,0.000446
-155.852286,-475.756680,166.169917,0.000512
-158.608198,-479.926842,166.059538,0.000576
-161.325207,-484.122515,165.951713,0.000637
-164.037700,-488.321146,165.843667,0.000692
-166.744735,-492.523383,165.736476,0.000739
-169.445802,-496.729563,165.630218,0.000776
-172.146870,-500.935743,165.523959,0.000802
-174.805942,-505.168142,165.421838,0.000816
-177.416406,-509.430947,165.328999,0.000816
-180.004575,-513.707757,165.242091,0.000804
-182.583841,-517.990201,165.157374,0.000780
-185.158199,-522.275582,165.074092,0.000746
-187.693626,-526.584049,164.993376,0.000704
-190.212118,-530.902390,164.911493,0.000655
-192.708951,-535.233572,164.832699,0.000603
-195.207059,-539.564069,164.754942,0.000548
-197.696133,-543.899804,164.684637,0.000493
-200.174875,-548.241549,164.622088,0.000438
-202.653617,-552.583294,164.559538,0.000381
