#x_m,y_m,z_m
166.840000,-61.220000,74.080000
170.086423,-65.019890,73.934212
173.332845,-68.819781,73.788424
176.581707,-72.617622,73.643264
179.830407,-76.415770,73.502227
183.079069,-80.213969,73.361643
186.325698,-84.013817,73.218761
189.572697,-87.813288,73.074284
192.821006,-91.611476,72.925926
196.069877,-95.409194,72.778665
199.321254,-99.204914,72.635178
202.571807,-103.001531,72.496098
205.821215,-106.799243,72.359633
209.070293,-110.597383,72.227239
212.319766,-114.395202,72.095411
215.573070,-118.189889,71.968142
218.826226,-121.984624,71.838746
222.075924,-125.782162,71.705132
225.323620,-129.580941,71.559096
228.569509,-133.380958,71.405232
231.815708,-137.180680,71.250620
235.064133,-140.978899,71.105682
238.315516,-144.774484,70.958060
241.567267,-148.569810,70.811983
244.819605,-152.364792,70.670052
248.072119,-156.159695,70.529652
251.324227,-159.955000,70.390544
254.576336,-163.750305,70.251436
257.829360,-167.544833,70.112512
261.080483,-171.340910,69.971397
264.330169,-175.138253,69.831224
267.579634,-178.935758,69.690384
270.827983,-182.734092,69.546145
274.079035,-186.530110,69.402094
277.328725,-190.327189,69.255540
280.571631,-194.130017,69.107304
283.813879,-197.933408,68.959148
287.054407,-201.738303,68.812005
290.299267,-205.540047,68.680333
293.549623,-209.337262,68.553267
296.802513,-213.132332,68.426718
300.054835,-216.927671,68.294195
303.307200,-220.722735,68.155090
306.561027,-224.516423,68.012614
309.813332,-228.311212,67.864484
313.065194,-232.106393,67.716651
316.315633,-235.902867,67.570837
319.565505,-239.700129,67.433017
322.814335,-243.498333,67.296678
326.059894,-247.299483,67.164634
329.304303,-251.101657,67.033772
332.548713,-254.903831,66.902909
335.800382,-258.699943,66.776550
339.053662,-262.494203,66.637930
342.305191,-266.289770,66.493834
345.554052,-270.087477,66.345306
348.800529,-273.887398,66.200796
352.046556,-277.687694,66.056014
355.292110,-281.488387,65.911014
358.535370,-285.291010,65.765083
361.778577,-289.093685,65.619346
365.020675,-292.897301,65.473568
368.261749,-296.701786,65.327799
371.502054,-300.506928,65.182177
374.740638,-304.313501,65.035933
377.976433,-308.122604,64.893852
381.210275,-311.933431,64.753516
384.442639,-315.745680,64.617953
387.676374,-319.557119,64.492689
390.911875,-323.367123,64.369335
394.147124,-327.177399,64.247758
397.383927,-330.986258,64.123441
400.615951,-334.798971,63.993267
403.846376,-338.612968,63.860913
407.073065,-342.429696,63.716864
410.304121,-346.242515,63.567828
413.537721,-350.053115,63.417385
416.777979,-353.858303,63.272392
420.018351,-357.663428,63.128204
423.255078,-361.471775,62.987272
426.486569,-365.284611,62.847467
429.714067,-369.101105,62.715178
432.945203,-372.914538,62.583578
436.178005,-376.726561,62.452011
439.410807,-380.538584,62.320444
442.649932,-384.345038,62.183445
445.894728,-388.146531,62.042443
449.139962,-391.947647,61.901312
452.384251,-395.749580,61.760561
455.626502,-399.553288,61.621012
458.865629,-403.359910,61.489250
462.102841,-407.168236,61.360837
465.336786,-410.979276,61.229534
468.573094,-414.788484,61.103004
471.810484,-418.596752,60.975965
475.053325,-422.400219,60.844510
478.299744,-426.200315,60.703682
481.550739,-429.996441,60.562154
484.806640,-433.788302,60.419685
488.058378,-437.583713,60.276398
491.301109,-441.386797,60.131252
494.541711,-445.191300,59.977008
497.781817,-448.996131,59.820582
501.015690,-452.806727,59.676838
504.250571,-456.617139,59.550735
507.485023,-460.427888,59.423906
510.720387,-464.237801,59.294923
513.955236,-468.048038,59.162014
517.193529,-471.855458,59.032941
520.433288,-475.661751,58.907830
523.662895,-479.476589,58.779515
526.889657,-483.293769,58.648888
530.113275,-487.113570,58.517280
533.337835,-490.932640,58.387670
536.561859,-494.751998,58.253968
539.784522,-498.572429,58.118548
543.007184,-502.392861,57.983127
546.220120,-506.221662,57.854023
549.412553,-510.067692,57.726723
552.604648,-513.914000,57.599315
555.781796,-517.772413,57.468098
558.947595,-521.640106,57.337313
562.107084,-525.513030,57.209563
565.266572,-529.385954,57.081812
568.377383,-533.295694,56.954141
571.305249,-537.342875,56.830086
574.229120,-541.393025,56.705805
577.034532,-545.511938,56.571606
579.763075,-549.677820,56.432584
582.398665,-553.906804,56.292061
584.859736,-558.238621,56.147091
587.046069,-562.713215,55.998357
589.079564,-567.254853,55.849332
590.776027,-571.905351,55.701906
592.023751,-576.720938,55.552630
593.140480,-581.589010,55.404425
594.200398,-586.464101,55.257824
594.744213,-591.398362,55.123793
595.121572,-596.357556,54.989649
595.451758,-601.325962,54.854951
595.572226,-606.288097,54.731156
595.199999,-611.256452,54.628987
594.777316,-616.221904,54.531043
593.978756,-621.144316,54.449982
592.994420,-626.044497,54.377554
591.909210,-630.920290,54.329146
590.726460,-635.773178,54.291828
589.482422,-640.613085,54.262313
588.142298,-645.428402,54.249255
586.748072,-650.227613,54.247266
585.180806,-654.964930,54.255774
583.439879,-659.636429,54.240076
581.491164,-664.224407,54.247390
579.304250,-668.712459,54.276759
576.706930,-672.935689,54.311448
573.895329,-677.001497,54.353917
570.783792,-680.882589,54.402826
567.353816,-684.437478,54.451596
563.521005,-687.587065,54.501840
559.454142,-690.411402,54.558295
555.112671,-692.818030,54.646836
550.731502,-695.113924,54.711906
546.092368,-696.795665,54.778846
541.283712,-698.029639,54.859595
536.453606,-699.187176,54.950365
531.513606,-699.816073,55.064738
526.553209,-700.302137,55.180610
521.577819,-700.387036,55.309177
516.621567,-700.112605,55.457170
511.716169,-699.250124,55.614911
506.878425,-698.195338,55.763833
502.123684,-696.847171,55.908047
497.462118,-695.192946,56.069786
492.973171,-693.062846,56.246063
488.631009,-690.626436,56.401492
484.438471,-687.970357,56.543052
480.518877,-684.912086,56.670520
476.892471,-681.503992,56.777821
473.360193,-678.017669,56.882047
470.196024,-674.177561,56.979007
467.093022,-670.268573,57.070434
464.144980,-666.240962,57.151265
461.339433,-662.108712,57.226623
458.643027,-657.902532,57.311808
456.001646,-653.659441,57.396542
453.394974,-649.393712,57.462489
450.803903,-645.118545,57.527537
448.223345,-640.837018,57.591980
445.696599,-636.523330,57.660139
443.193870,-632.195813,57.731145
440.720148,-627.851666,57.810295
438.254303,-623.502868,57.883708
435.784640,-619.156095,57.951504
433.310328,-614.812090,58.026811
430.827685,-610.472899,58.109500
428.348561,-606.131678,58.193518
425.859968,-601.796143,58.279384
423.350130,-597.473234,58.366099
420.813148,-593.166632,58.457507
418.232527,-588.886483,58.553751
415.586332,-584.646674,58.649117
412.840437,-580.472278,58.741248
410.033710,-576.337795,58.833652
407.142126,-572.261922,58.921247
404.216027,-568.209402,59.010476
401.282509,-564.161891,59.100166
398.314839,-560.142068,59.187815
395.130660,-556.296615,59.259384
391.902656,-552.488109,59.327284
388.580183,-548.760318,59.387354
385.147410,-545.130223,59.442665
381.576722,-541.637830,59.465433
377.835032,-538.342067,59.497155
374.069787,-535.076411,59.545375
370.180715,-531.959967,59.652109
366.097932,-529.117283,59.781851
361.836065,-526.545712,59.923930
357.440391,-524.209264,60.054633
352.879171,-522.214254,60.177944
348.250595,-520.373711,60.300612
343.547536,-518.757919,60.427070
338.785209,-517.344847,60.559846
333.892506,-516.425780,60.699401
328.952984,-515.693259,60.844316
324.012580,-514.968345,60.990069
319.061412,-514.331874,61.140456
314.101856,-513.760166,61.289221
309.124429,-513.320544,61.443458
304.150351,-512.857132,61.609661
299.177988,-512.380596,61.786831
294.220276,-511.829990,61.971959
289.320493,-510.974076,62.176165
284.432681,-510.022198,62.395425
279.582508,-508.883583,62.619072
274.850489,-507.391697,62.845216
270.313763,-505.413042,63.076462
265.897738,-503.109555,63.315993
261.483929,-500.801790,63.555605
257.360551,-498.034919,63.801121
253.505342,-494.914078,64.050579
249.705625,-491.700631,64.301698
245.939518,-488.453763,64.553760
242.443235,-484.929587,64.822695
239.334209,-481.052363,65.088932
236.406854,-477.041041,65.341303
233.868972,-472.786495,65.551865
231.742655,-468.294196,65.757480
229.716318,-463.748595,65.965050
227.779231,-459.160628,66.173444
226.165302,-454.438340,66.390052
224.675261,-449.674819,66.606700
223.311119,-444.869519,66.818871
221.946243,-440.064104,67.029132
220.579324,-435.259460,67.243959
219.204910,-430.457318,67.467239
217.824233,-425.657500,67.701384
216.427762,-420.862689,67.944679
215.015292,-416.072776,68.185668
213.603204,-411.282762,68.421863
212.190582,-406.492748,68.654872
210.728480,-401.718007,68.888849
209.155975,-396.982737,69.139161
207.346380,-392.349925,69.404720
205.206457,-387.862637,69.664147
202.790719,-383.509936,69.910078
200.247864,-379.253140,70.157104
197.282276,-375.282864,70.398281
194.104492,-371.456339,70.623777
190.712917,-367.821780,70.839256
187.102719,-364.400032,71.058278
183.174657,-361.354451,71.277569
179.082763,-358.500766,71.492354
174.947629,-355.719893,71.706255
170.772818,-353.005832,71.919345
166.478351,-350.515531,72.132680
161.954892,-348.494816,72.356371
157.305616,-346.702552,72.583472
152.594876,-345.105620,72.810076
147.744763,-343.995951,73.022651
142.856192,-342.992633,73.232292
137.945361,-342.156603,73.452079
133.000641,-341.536495,73.674970
128.044419,-341.000277,73.901612
123.066256,-340.618675,74.107969
118.083159,-340.274849,74.312704
113.095396,-339.985870,74.505126
108.107165,-339.702466,74.696812
103.123213,-339.362203,74.887870
98.144866,-338.952182,75.064309
93.177037,-338.453990,75.224386
88.225519,-337.796856,75.355993
83.283637,-337.091338,75.482728
78.398489,-336.096985,75.581629
73.543777,-334.955737,75.671636
68.779791,-333.504568,75.734094
64.127644,-331.715954,75.786690
59.483502,-329.896154,75.836322
54.988318,-327.758540,75.867813
50.665195,-325.265423,75.880453
46.418316,-322.662626,75.889695
42.330575,-319.821996,75.886027
38.377200,-316.774890,75.871021
34.493376,-313.641153,75.849032
30.748277,-310.352467,75.809754
27.192222,-306.848598,75.747076
23.786117,-303.214679,75.684437
20.561055,-299.417849,75.621849
17.609851,-295.393976,75.551890
14.831957,-291.253335,75.466404
12.254221,-286.997126,75.372558
10.014158,-282.561043,75.279653
8.195299,-277.921288,75.178449
6.498777,-273.246280,75.067370
5.298453,-268.442284,74.958195
4.342982,-263.578581,74.845897
3.884476,-258.631280,74.715430
3.843233,-253.674647,74.588452
4.108980,-248.718441,74.471808
4.899625,-243.830262,74.352937
5.976809,-238.976020,74.232424
7.386479,-234.198937,74.134969
8.892342,-229.452261,74.054619
10.691895,-224.790338,74.010409
12.540830,-220.145617,73.975413
14.391365,-215.501182,73.956912
16.258548,-210.863535,73.971643
18.135760,-206.229881,73.988991
20.004122,-201.592825,74.023545
21.859164,-196.950417,74.073045
23.708693,-192.306273,74.162072
25.537337,-187.654849,74.288986
27.365980,-183.003424,74.415900
29.177807,-178.346140,74.571674
30.891978,-173.656202,74.769185
32.558542,-168.950780,74.981620
34.203766,-164.238740,75.202790
35.437222,-159.424355,75.495621
36.320970,-154.531240,75.821706
37.012416,-149.634631,76.151741
37.544890,-144.709261,76.503356
37.206173,-139.771385,76.864331
36.619286,-134.855334,77.221669
35.821343,-129.983592,77.577183
34.688051,-125.166668,77.947332
33.304737,-120.400275,78.319306
31.102734,-115.965089,78.668128
28.765687,-111.590946,79.013516
26.408823,-107.230072,79.358003
23.761778,-103.032672,79.684045
20.869419,-98.995139,80.003256
17.776016,-95.093077,80.336991
14.411548,-91.445263,80.671293
10.821105,-88.022233,81.009917
6.881945,-85.020135,81.338751
2.883787,-82.078350,81.661912
-1.252805,-79.328114,81.987895
-5.521210,-76.764056,82.320555
-9.896035,-74.379082,82.665351
-14.334045,-72.108623,83.020977
-18.830782,-69.952965,83.372486
-23.335421,-67.813617,83.721315
-27.871641,-65.736416,84.046772
-32.417684,-63.679184,84.363364
-36.963575,-61.621106,84.676656
-41.514887,-59.575495,84.986526
