#x_m,y_m,z_m,kappa
-361.860000,-549.080000,777.460000,0.000176
-360.623012,-553.921306,777.635593,0.000172
-359.386024,-558.762613,777.811185,0.000180
-358.148824,-563.603833,777.987704,0.000196
-356.907115,-568.443255,778.182456,0.000215
-355.663118,-573.282135,778.375711,0.000233
-354.414620,-578.120663,778.544863,0.000245
-353.162920,-582.958491,778.710420,0.000250
-351.902619,-587.794771,778.854421,0.000245
-350.636098,-592.629818,778.986680,0.000231
-349.356522,-597.461513,779.117573,0.000211
-348.074127,-602.292440,779.249488,0.000187
-346.785795,-607.121777,779.381357,0.000161
-345.497395,-611.951117,779.512510,0.000137
-344.209052,-616.780690,779.635300,0.000114
-342.918786,-621.609855,779.754020,0.000096
-341.627147,-626.438895,779.863108,0.000080
-340.335507,-631.267934,779.972196,0.000069
-339.042854,-636.096926,780.070432,0.000062
-337.750938,-640.926159,780.166642,0.000058
-336.459270,-645.755450,780.263220,0.000057
-335.167923,-650.584817,780.360290,0.000060
-333.873640,-655.413455,780.454831,0.000066
-332.577773,-660.241727,780.546472,0.000075
-331.278996,-665.069305,780.633268,0.000087
-329.978990,-669.896703,780.710463,0.000103
-328.677707,-674.723825,780.782905,0.000121
-327.374915,-679.550658,780.847501,0.000142
-326.071707,-684.377411,780.909940,0.000166
-324.768341,-689.204131,780.971509,0.000191
-323.463604,-694.030555,781.025699,0.000219
-322.152218,-698.855214,781.074981,0.000248
-320.838962,-703.679489,781.109781,0.000279
-319.522329,-708.502863,781.141408,0.000313
-318.176449,-713.318032,781.168643,0.000351
-316.815525,-718.128948,781.204883,0.000395
-315.450883,-722.938812,781.244517,0.000448
-314.083844,-727.747996,781.286120,0.000513
-312.716804,-732.557180,781.327723,0.000594
-311.349764,-737.366364,781.369327,0.000693
-309.971363,-742.172357,781.403699,0.000814
-308.574897,-746.972971,781.437344,0.000961
-307.159202,-751.767891,781.472868,0.001137
-305.715912,-756.554594,781.523035,0.001343
-304.267008,-761.339599,781.575839,0.001582
-302.790535,-766.115979,781.630175,0.001857
-301.287427,-770.883806,781.679398,0.002170
-299.771127,-775.647358,781.727272,0.002526
-298.202613,-780.393830,781.765867,0.002930
-296.540894,-785.106422,781.787669,0.003389
-294.786203,-789.786568,781.800734,0.003912
-292.972313,-794.444290,781.798398,0.004506
-291.084585,-799.070780,781.791793,0.005183
-289.083994,-803.649283,781.767801,0.005953
-287.064113,-808.220199,781.733409,0.006824
-284.883433,-812.714528,781.730367,0.007802
-282.481038,-817.096472,781.738685,0.008889
-280.040826,-821.453760,781.738259,0.010080
-277.451549,-825.718747,781.718962,0.011363
-274.643590,-829.833850,781.672543,0.012714
-271.459652,-833.649939,781.494659,0.014100
-268.136803,-837.333570,781.271891,0.015475
-264.554510,-840.783909,780.974829,0.016781
-260.732078,-843.924876,780.623374,0.017951
-256.569221,-846.570182,780.201045,0.018913
-252.208289,-848.803614,779.815809,0.019597
-247.491883,-850.233173,779.463950,0.019939
-242.660734,-851.019891,779.128224,0.019889
-237.759401,-851.359820,778.750844,0.019417
-232.948154,-850.697153,778.147767,0.018515
-228.233514,-849.344480,777.425604,0.017197
-223.597172,-847.783926,776.710373,0.015501
-219.302637,-845.419519,775.974650,0.013476
