#x_m,y_m,z_m,kappa
-122.640000,-47.280000,130.220000,-0.000782
-118.671250,-50.320933,130.212877,-0.000697
-114.705425,-53.365767,130.210751,-0.000629
-110.745628,-56.418571,130.216127,-0.000574
-106.785405,-59.470824,130.218977,-0.000526
-102.819795,-62.516096,130.215317,-0.000477
-98.847998,-65.553315,130.211657,-0.000424
-94.876676,-68.591151,130.207997,-0.000364
-90.905642,-71.629358,130.204337,-0.000300
-86.930091,-74.661597,130.200676,-0.000236
-82.958927,-77.699601,130.200000,-0.000176
-78.992383,-80.743688,130.200000,-0.000124
-75.025839,-83.787775,130.200000,-0.000083
-71.059752,-86.832459,130.200000,-0.000052
-67.088151,-89.869929,130.200000,-0.000031
-63.110956,-92.900081,130.200000,-0.000018
-59.133833,-95.930326,130.200000,-0.000012
-55.159875,-98.964713,130.200000,-0.000011
-51.188151,-102.002023,130.200000,-0.000012
-47.229180,-105.055723,130.203650,-0.000015
-43.260778,-108.097191,130.220100,-0.000019
-39.284595,-111.128516,130.242999,-0.000022
-35.307775,-114.159014,130.265124,-0.000025
-31.335779,-117.195761,130.289437,-0.000027
-27.365976,-120.235300,130.319476,-0.000027
-23.398814,-123.278171,130.359652,-0.000025
-19.430662,-126.319829,130.390273,-0.000022
-15.463358,-129.362668,130.409535,-0.000017
-11.500169,-132.410850,130.431851,-0.000012
-7.536844,-135.458987,130.435620,-0.000005
-3.573426,-138.507008,130.437915,0.000001
0.388529,-141.556990,130.421674,0.000006
4.352214,-144.604710,130.402821,0.000011
8.320089,-147.646970,130.385286,0.000014
12.295100,-150.679922,130.369346,0.000017
16.267987,-153.715665,130.353053,0.000018
20.236676,-156.756909,130.336438,0.000019
24.205365,-159.798153,130.319822,0.000020
28.174054,-162.839397,130.303207,0.000021
32.143008,-165.880301,130.288665,0.000021
36.107420,-168.927120,130.277106,0.000022
40.075170,-171.969611,130.271334,0.000022
44.045458,-175.008804,130.266448,0.000022
48.015692,-178.048058,130.258159,0.000020
51.986474,-181.086600,130.251846,0.000018
55.959807,-184.121775,130.240435,0.000015
59.933392,-187.156616,130.228377,0.000011
63.906580,-190.191974,130.216319,0.000006
67.882303,-193.224017,130.207822,0.000002
71.858944,-196.254857,130.202641,-0.000002
75.830716,-199.292095,130.208294,-0.000005
79.802487,-202.329333,130.213947,-0.000007
83.772434,-205.368946,130.223533,-0.000007
87.741425,-208.409801,130.235177,-0.000007
91.711446,-211.449298,130.249616,-0.000005
95.682418,-214.487532,130.268236,-0.000004
99.652219,-217.527133,130.301627,-0.000002
103.619751,-220.569432,130.351897,-0.000002
107.588413,-223.609934,130.418124,-0.000002
